section	key	value	extra
summary	rows	308837	
summary	positive_rows	283912	
summary	sum	1000001.143999893	
summary	min_positive	0.013000	
summary	max	307.646000	chr15:75450000-75460000
summary	coordinate_sha256	7ff5eaca9cce5216fde042838522204b6672aa4faf9d454270ababf636e4d9fc	
small_value	0.013000	228	
small_value	0.026000	945	
small_value	0.039000	167	
small_value	0.052000	505	
small_value	0.066000	149	
small_value	0.079000	432	
small_value	0.092000	128	
small_value	0.105000	343	
small_value	0.118000	148	
small_value	0.131000	346	
small_value	0.144000	143	
small_value	0.157000	377	
small_value	0.170000	171	
small_value	0.184000	448	
small_value	0.197000	183	
small_value	0.210000	515	
small_value	0.223000	233	
small_value	0.236000	633	
small_value	0.249000	271	
small_value	0.262000	759	
small_value	0.275000	301	
small_value	0.288000	918	
small_value	0.302000	356	
small_value	0.315000	1058	
small_value	0.328000	407	
small_value	0.341000	1123	
small_value	0.354000	413	
small_value	0.367000	1403	
small_value	0.380000	500	
small_value	0.393000	1550	
small_value	0.406000	588	
small_value	0.420000	1732	
small_value	0.433000	601	
small_value	0.446000	1907	
small_value	0.459000	673	
small_value	0.472000	1985	
small_value	0.485000	785	
small_value	0.498000	2250	
small_value	0.511000	832	
small_value	0.524000	2334	
chromosome	chr1	95174.161000	24896
chromosome	chr10	44217.218000	13380
chromosome	chr11	53594.886000	13509
chromosome	chr12	49133.362000	13328
chromosome	chr13	21582.369000	11437
chromosome	chr14	34288.672000	10705
chromosome	chr15	30241.999000	10200
chromosome	chr16	42218.650000	9034
chromosome	chr17	55914.252000	8326
chromosome	chr18	17632.690000	8038
chromosome	chr19	68141.177000	5862
chromosome	chr2	71942.894000	24220
chromosome	chr20	27701.950000	6445
chromosome	chr21	11409.594000	4671
chromosome	chr22	23819.500000	5082
chromosome	chr3	55638.471000	19830
chromosome	chr4	38302.953000	19022
chromosome	chr5	46915.160000	18154
chromosome	chr6	53197.237000	17081
chromosome	chr7	48637.222000	15935
chromosome	chr8	37702.011000	14514
chromosome	chr9	40595.770000	13840
chromosome	chrX	31971.092000	15605
chromosome	chrY	27.854000	5723
top_bin	1	307.646000	chr15:75450000-75460000
top_bin	2	280.534000	chr16:30650000-30660000
top_bin	3	270.728000	chr16:22190000-22200000
top_bin	4	257.001000	chr19:5900000-5910000
top_bin	5	250.289000	chr17:8150000-8160000
top_bin	6	240.299000	chr7:100420000-100430000
top_bin	7	231.554000	chr7:105010000-105020000
top_bin	8	230.912000	chr19:55650000-55660000
top_bin	9	230.597000	chr16:30370000-30380000
top_bin	10	230.086000	chr10:74820000-74830000
top_bin	11	228.316000	chrX:310000-320000
top_bin	12	226.376000	chr19:54190000-54200000
top_bin	13	215.140000	chr1:15520000-15530000
top_bin	14	214.957000	chr19:41260000-41270000
top_bin	15	211.142000	chr19:12790000-12800000
top_bin	16	206.933000	chr13:110710000-110720000
top_bin	17	206.356000	chr6:41070000-41080000
top_bin	18	205.098000	chr19:39400000-39410000
top_bin	19	204.862000	chr19:49870000-49880000
top_bin	20	204.101000	chr19:47510000-47520000
top_bin	21	204.075000	chr19:42260000-42270000
top_bin	22	200.024000	chr19:55330000-55340000
top_bin	23	198.175000	chr19:38850000-38860000
top_bin	24	194.609000	chr17:28950000-28960000
top_bin	25	194.203000	chr19:35740000-35750000
top_bin	26	189.234000	chr19:49640000-49650000
top_bin	27	189.090000	chr6:33410000-33420000
top_bin	28	187.045000	chr19:18520000-18530000
top_bin	29	186.966000	chr3:120090000-120100000
top_bin	30	185.943000	chr11:66310000-66320000
top_bin	31	185.786000	chr19:58570000-58580000
top_bin	32	185.354000	chr11:65610000-65620000
top_bin	33	182.653000	chr17:7300000-7310000
top_bin	34	182.640000	chr1:30710000-30720000
top_bin	35	181.840000	chr3:9390000-9400000
top_bin	36	181.066000	chr17:7840000-7850000
top_bin	37	180.922000	chr19:7920000-7930000
top_bin	38	177.278000	chr19:48630000-48640000
top_bin	39	177.186000	chr1:58780000-58790000
top_bin	40	176.452000	chr2:96530000-96540000
top_bin	41	176.242000	chr11:64770000-64780000
top_bin	42	172.191000	chr16:30920000-30930000
top_bin	43	170.801000	chr5:176530000-176540000
top_bin	44	170.316000	chr2:231700000-231710000
top_bin	45	170.185000	chr11:65110000-65120000
top_bin	46	169.254000	chr20:35610000-35620000
top_bin	47	167.825000	chr4:102820000-102830000
top_bin	48	167.681000	chr2:30140000-30150000
top_bin	49	167.183000	chr19:44890000-44900000
top_bin	50	167.038000	chr6:142940000-142950000
top_bin	51	166.907000	chr18:50280000-50290000
top_bin	52	166.737000	chr2:240560000-240570000
top_bin	53	166.134000	chr19:10560000-10570000
top_bin	54	165.242000	chr7:21420000-21430000
top_bin	55	164.534000	chr2:44160000-44170000
top_bin	56	163.236000	chr12:6850000-6860000
top_bin	57	162.607000	chr17:58510000-58520000
top_bin	58	162.384000	chr11:690000-700000
top_bin	59	162.293000	chr14:105490000-105500000
top_bin	60	161.991000	chr6:26020000-26030000
top_bin	61	161.755000	chr11:64240000-64250000
top_bin	62	161.178000	chr10:102390000-102400000
top_bin	63	161.126000	chr11:64300000-64310000
top_bin	64	161.047000	chr19:54130000-54140000
top_bin	65	160.719000	chr22:38700000-38710000
top_bin	66	157.809000	chr9:136480000-136490000
top_bin	67	157.691000	chr19:14000000-14010000
top_bin	68	156.747000	chr6:89080000-89090000
top_bin	69	155.737000	chr6:30610000-30620000
top_bin	70	154.479000	chr11:123060000-123070000
top_bin	71	154.374000	chr21:33640000-33650000
top_bin	72	154.046000	chr14:24110000-24120000
top_bin	73	153.902000	chr19:10650000-10660000
top_bin	74	153.705000	chr9:79570000-79580000
top_bin	75	153.509000	chr10:132530000-132540000
top_bin	76	153.417000	chr10:102500000-102510000
top_bin	77	153.351000	chr2:152710000-152720000
top_bin	78	152.892000	chr17:2400000-2410000
top_bin	79	152.604000	chr16:350000-360000
top_bin	80	151.935000	chr6:32970000-32980000
top_bin	81	151.450000	chr19:43460000-43470000
top_bin	82	150.244000	chr11:66280000-66290000
top_bin	83	150.139000	chr5:177420000-177430000
top_bin	84	150.034000	chr9:129880000-129890000
top_bin	85	149.444000	chr11:58570000-58580000
top_bin	86	149.248000	chr2:74450000-74460000
top_bin	87	149.235000	chr14:99480000-99490000
top_bin	88	149.051000	chr14:64500000-64510000
top_bin	89	148.907000	chr17:7480000-7490000
