metric	value
records_in_sam	2000
mapped_records	2000
primary_mapped_records	2000
secondary_records	0
supplementary_records	0
chr22.mapped_records	2000
chr22.min_alignment_pos	27079126
chr22.max_reference_end	27080624
chr22.covered_span	1499
chr22.mapq_min	60
chr22.mapq_median	60.0
chr22.mapq_max	60
cigar.100M1D50M	4
cigar.101M1D49M	2
cigar.103M1D47M	6
cigar.104M1D46M	4
cigar.105M1D45M	2
cigar.106M1D44M	3
cigar.107M1D43M	5
cigar.108M1D42M	4
cigar.109M1D41M	6
cigar.10M1D140M	1
cigar.110M1D40M	1
cigar.111M1D39M	4
cigar.112M1D38M	3
cigar.114M1D36M	2
cigar.115M1D35M	7
cigar.116M1D34M	1
cigar.117M1D33M	3
cigar.118M1D32M	3
cigar.119M1D31M	1
cigar.11M1D139M	5
cigar.120M1D30M	3
cigar.121M1D29M	3
cigar.122M1D28M	1
cigar.123M1D27M	3
cigar.124M1D26M	2
cigar.125M1D25M	3
cigar.126M1D24M	3
cigar.127M1D23M	3
cigar.128M1D22M	7
cigar.129M1D21M	3
cigar.12M1D138M	1
cigar.130M1D20M	4
cigar.131M1D19M	1
cigar.132M1D18M	3
cigar.133M1D17M	2
cigar.135M1D15M	2
cigar.136M14S	1
cigar.136M1D14M	3
cigar.137M1D13M	2
cigar.138M12S	1
cigar.138M1D12M	1
cigar.139M1D11M	3
cigar.13M1D137M	1
cigar.140M1D10M	3
cigar.141M1D9M	3
cigar.141M9S	1
cigar.142M1D8M	4
cigar.143M1D7M	2
cigar.144M1D6M	2
cigar.145M1D5M	1
cigar.145M5S	2
cigar.146M4S	2
cigar.148M2S	3
cigar.14M1D136M	2
cigar.150M	1630
cigar.16M1D134M	4
cigar.17M1D133M	3
cigar.18M1D132M	2
cigar.19M1D131M	2
cigar.20M1D130M	4
cigar.21M1D129M	7
cigar.22M1D128M	1
cigar.23M1D127M	1
cigar.24M1D126M	3
cigar.25M1D125M	2
cigar.26M1D124M	1
cigar.27M1D123M	2
cigar.28M1D122M	2
cigar.29M1D121M	3
cigar.30M1D120M	2
cigar.31M1D119M	1
cigar.32M1D118M	4
cigar.33M1D117M	1
cigar.34M1D116M	3
cigar.35M1D115M	2
cigar.36M1D114M	1
cigar.37M1D113M	3
cigar.38M1D112M	4
cigar.39M1D111M	1
cigar.40M1D110M	3
cigar.41M1D109M	3
cigar.42M1D108M	2
cigar.43M1D107M	3
cigar.44M1D106M	4
cigar.45M1D105M	1
cigar.46M1D104M	1
cigar.47M1D103M	3
cigar.48M1D102M	3
cigar.49M1D101M	3
cigar.4M1D146M	1
cigar.4S146M	2
cigar.50M1D100M	3
cigar.51M1D99M	1
cigar.52M1D98M	2
cigar.53M1D97M	2
cigar.54M1D96M	2
cigar.55M1D95M	2
cigar.56M1D94M	3
cigar.57M1D93M	3
cigar.58M1D92M	4
cigar.59M1D91M	3
cigar.5M1D145M	3
cigar.5S145M	2
cigar.5S97M1D48M	1
cigar.60M1D90M	3
cigar.61M1D89M	2
cigar.62M1D88M	3
cigar.63M1D87M	1
cigar.64M1D86M	1
cigar.66M1D84M	1
cigar.67M1D83M	1
cigar.68M1D82M	8
cigar.69M1D81M	2
cigar.6M1D144M	2
cigar.6S144M	1
cigar.71M1D79M	2
cigar.72M1D78M	1
cigar.73M1D77M	1
cigar.74M1D76M	1
cigar.75M1D75M	2
cigar.76M1D74M	2
cigar.77M1D73M	3
cigar.78M1D72M	1
cigar.79M1D71M	4
cigar.7M1D143M	2
cigar.80M1D70M	2
cigar.82M1D68M	2
cigar.83M1D67M	1
cigar.84M1D66M	2
cigar.85M1D65M	4
cigar.86M1D64M	2
cigar.87M1D63M	2
cigar.88M1D62M	3
cigar.89M1D61M	1
cigar.8M1D142M	3
cigar.8S142M	1
cigar.90M1D60M	2
cigar.91M1D59M	6
cigar.92M1D58M	4
cigar.94M1D56M	1
cigar.95M1D55M	3
cigar.96M1D54M	7
cigar.97M1D53M	2
cigar.98M1D52M	6
cigar.99M1D51M	2
cigar.9M1D141M	3
D1.events	354
