#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr22	1	50818468	2000	1499	0.00294972	0.00590148	20	60
chr1	1	248956422	0	0	0	0	0	0
chr1_KI270706v1_random	1	175055	0	0	0	0	0	0
chr1_KI270707v1_random	1	32032	0	0	0	0	0	0
chr1_KI270708v1_random	1	127682	0	0	0	0	0	0
chr1_KI270709v1_random	1	66860	0	0	0	0	0	0
chr1_KI270710v1_random	1	40176	0	0	0	0	0	0
chr1_KI270711v1_random	1	42210	0	0	0	0	0	0
chr1_KI270712v1_random	1	176043	0	0	0	0	0	0
chr1_KI270713v1_random	1	40745	0	0	0	0	0	0
chr1_KI270714v1_random	1	41717	0	0	0	0	0	0
chr1_GL383518v1_alt	1	182439	0	0	0	0	0	0
chr1_GL383519v1_alt	1	110268	0	0	0	0	0	0
chr1_GL383520v2_alt	1	366580	0	0	0	0	0	0
chr1_KI270759v1_alt	1	425601	0	0	0	0	0	0
chr1_KI270760v1_alt	1	109528	0	0	0	0	0	0
chr1_KI270761v1_alt	1	165834	0	0	0	0	0	0
chr1_KI270762v1_alt	1	354444	0	0	0	0	0	0
chr1_KI270763v1_alt	1	911658	0	0	0	0	0	0
chr1_KI270764v1_alt	1	50258	0	0	0	0	0	0
chr1_KI270765v1_alt	1	185285	0	0	0	0	0	0
chr1_KI270766v1_alt	1	256271	0	0	0	0	0	0
chr1_KI270892v1_alt	1	162212	0	0	0	0	0	0
chr2	1	242193529	0	0	0	0	0	0
chr2_KI270715v1_random	1	161471	0	0	0	0	0	0
chr2_KI270716v1_random	1	153799	0	0	0	0	0	0
chr2_GL383521v1_alt	1	143390	0	0	0	0	0	0
chr2_GL383522v1_alt	1	123821	0	0	0	0	0	0
chr2_GL582966v2_alt	1	96131	0	0	0	0	0	0
chr2_KI270767v1_alt	1	161578	0	0	0	0	0	0
chr2_KI270768v1_alt	1	110099	0	0	0	0	0	0
chr2_KI270769v1_alt	1	120616	0	0	0	0	0	0
chr2_KI270770v1_alt	1	136240	0	0	0	0	0	0
chr2_KI270771v1_alt	1	110395	0	0	0	0	0	0
chr2_KI270772v1_alt	1	133041	0	0	0	0	0	0
chr2_KI270773v1_alt	1	70887	0	0	0	0	0	0
chr2_KI270774v1_alt	1	223625	0	0	0	0	0	0
chr2_KI270775v1_alt	1	138019	0	0	0	0	0	0
chr2_KI270776v1_alt	1	174166	0	0	0	0	0	0
chr2_KI270893v1_alt	1	161218	0	0	0	0	0	0
chr2_KI270894v1_alt	1	214158	0	0	0	0	0	0
chr3	1	198295559	0	0	0	0	0	0
chr3_GL000221v1_random	1	155397	0	0	0	0	0	0
chr3_GL383526v1_alt	1	180671	0	0	0	0	0	0
chr3_JH636055v2_alt	1	173151	0	0	0	0	0	0
chr3_KI270777v1_alt	1	173649	0	0	0	0	0	0
chr3_KI270778v1_alt	1	248252	0	0	0	0	0	0
chr3_KI270779v1_alt	1	205312	0	0	0	0	0	0
chr3_KI270780v1_alt	1	224108	0	0	0	0	0	0
chr3_KI270781v1_alt	1	113034	0	0	0	0	0	0
chr3_KI270782v1_alt	1	162429	0	0	0	0	0	0
chr3_KI270783v1_alt	1	109187	0	0	0	0	0	0
chr3_KI270784v1_alt	1	184404	0	0	0	0	0	0
chr3_KI270895v1_alt	1	162896	0	0	0	0	0	0
chr3_KI270924v1_alt	1	166540	0	0	0	0	0	0
chr3_KI270934v1_alt	1	163458	0	0	0	0	0	0
chr3_KI270935v1_alt	1	197351	0	0	0	0	0	0
chr3_KI270936v1_alt	1	164170	0	0	0	0	0	0
chr3_KI270937v1_alt	1	165607	0	0	0	0	0	0
chr4	1	190214555	0	0	0	0	0	0
chr4_GL000008v2_random	1	209709	0	0	0	0	0	0
chr4_GL000257v2_alt	1	586476	0	0	0	0	0	0
chr4_GL383527v1_alt	1	164536	0	0	0	0	0	0
chr4_GL383528v1_alt	1	376187	0	0	0	0	0	0
chr4_KI270785v1_alt	1	119912	0	0	0	0	0	0
chr4_KI270786v1_alt	1	244096	0	0	0	0	0	0
chr4_KI270787v1_alt	1	111943	0	0	0	0	0	0
chr4_KI270788v1_alt	1	158965	0	0	0	0	0	0
chr4_KI270789v1_alt	1	205944	0	0	0	0	0	0
chr4_KI270790v1_alt	1	220246	0	0	0	0	0	0
chr4_KI270896v1_alt	1	378547	0	0	0	0	0	0
chr4_KI270925v1_alt	1	555799	0	0	0	0	0	0
chr5	1	181538259	0	0	0	0	0	0
chr5_GL000208v1_random	1	92689	0	0	0	0	0	0
chr5_GL339449v2_alt	1	1612928	0	0	0	0	0	0
chr5_GL383530v1_alt	1	101241	0	0	0	0	0	0
chr5_GL383531v1_alt	1	173459	0	0	0	0	0	0
chr5_GL383532v1_alt	1	82728	0	0	0	0	0	0
chr5_GL949742v1_alt	1	226852	0	0	0	0	0	0
chr5_KI270791v1_alt	1	195710	0	0	0	0	0	0
chr5_KI270792v1_alt	1	179043	0	0	0	0	0	0
chr5_KI270793v1_alt	1	126136	0	0	0	0	0	0
chr5_KI270794v1_alt	1	164558	0	0	0	0	0	0
chr5_KI270795v1_alt	1	131892	0	0	0	0	0	0
chr5_KI270796v1_alt	1	172708	0	0	0	0	0	0
chr5_KI270897v1_alt	1	1144418	0	0	0	0	0	0
chr5_KI270898v1_alt	1	130957	0	0	0	0	0	0
chr6	1	170805979	0	0	0	0	0	0
chr6_GL000250v2_alt	1	4672374	0	0	0	0	0	0
chr6_GL000251v2_alt	1	4795265	0	0	0	0	0	0
chr6_GL000252v2_alt	1	4604811	0	0	0	0	0	0
chr6_GL000253v2_alt	1	4677643	0	0	0	0	0	0
chr6_GL000254v2_alt	1	4827813	0	0	0	0	0	0
chr6_GL000255v2_alt	1	4606388	0	0	0	0	0	0
chr6_GL000256v2_alt	1	4929269	0	0	0	0	0	0
chr6_GL383533v1_alt	1	124736	0	0	0	0	0	0
chr6_KB021644v2_alt	1	185823	0	0	0	0	0	0
chr6_KI270758v1_alt	1	76752	0	0	0	0	0	0
chr6_KI270797v1_alt	1	197536	0	0	0	0	0	0
chr6_KI270798v1_alt	1	271782	0	0	0	0	0	0
chr6_KI270799v1_alt	1	152148	0	0	0	0	0	0
chr6_KI270800v1_alt	1	175808	0	0	0	0	0	0
chr6_KI270801v1_alt	1	870480	0	0	0	0	0	0
chr6_KI270802v1_alt	1	75005	0	0	0	0	0	0
chr7	1	159345973	0	0	0	0	0	0
chr7_GL383534v2_alt	1	119183	0	0	0	0	0	0
chr7_KI270803v1_alt	1	1111570	0	0	0	0	0	0
chr7_KI270804v1_alt	1	157952	0	0	0	0	0	0
chr7_KI270805v1_alt	1	209988	0	0	0	0	0	0
chr7_KI270806v1_alt	1	158166	0	0	0	0	0	0
chr7_KI270807v1_alt	1	126434	0	0	0	0	0	0
chr7_KI270808v1_alt	1	271455	0	0	0	0	0	0
chr7_KI270809v1_alt	1	209586	0	0	0	0	0	0
chr7_KI270899v1_alt	1	190869	0	0	0	0	0	0
chr8	1	145138636	0	0	0	0	0	0
chr8_KI270810v1_alt	1	374415	0	0	0	0	0	0
chr8_KI270811v1_alt	1	292436	0	0	0	0	0	0
chr8_KI270812v1_alt	1	282736	0	0	0	0	0	0
chr8_KI270813v1_alt	1	300230	0	0	0	0	0	0
chr8_KI270814v1_alt	1	141812	0	0	0	0	0	0
chr8_KI270815v1_alt	1	132244	0	0	0	0	0	0
chr8_KI270816v1_alt	1	305841	0	0	0	0	0	0
chr8_KI270817v1_alt	1	158983	0	0	0	0	0	0
chr8_KI270818v1_alt	1	145606	0	0	0	0	0	0
chr8_KI270819v1_alt	1	133535	0	0	0	0	0	0
chr8_KI270820v1_alt	1	36640	0	0	0	0	0	0
chr8_KI270821v1_alt	1	985506	0	0	0	0	0	0
chr8_KI270822v1_alt	1	624492	0	0	0	0	0	0
chr8_KI270900v1_alt	1	318687	0	0	0	0	0	0
chr8_KI270901v1_alt	1	136959	0	0	0	0	0	0
chr8_KI270926v1_alt	1	229282	0	0	0	0	0	0
chr9	1	138394717	0	0	0	0	0	0
chr9_KI270717v1_random	1	40062	0	0	0	0	0	0
chr9_KI270718v1_random	1	38054	0	0	0	0	0	0
chr9_KI270719v1_random	1	176845	0	0	0	0	0	0
chr9_KI270720v1_random	1	39050	0	0	0	0	0	0
chr9_GL383539v1_alt	1	162988	0	0	0	0	0	0
chr9_GL383540v1_alt	1	71551	0	0	0	0	0	0
chr9_GL383541v1_alt	1	171286	0	0	0	0	0	0
chr9_GL383542v1_alt	1	60032	0	0	0	0	0	0
chr9_KI270823v1_alt	1	439082	0	0	0	0	0	0
chr10	1	133797422	0	0	0	0	0	0
chr10_GL383545v1_alt	1	179254	0	0	0	0	0	0
chr10_GL383546v1_alt	1	309802	0	0	0	0	0	0
chr10_KI270824v1_alt	1	181496	0	0	0	0	0	0
chr10_KI270825v1_alt	1	188315	0	0	0	0	0	0
chr11	1	135086622	0	0	0	0	0	0
chr11_KI270721v1_random	1	100316	0	0	0	0	0	0
chr11_GL383547v1_alt	1	154407	0	0	0	0	0	0
chr11_JH159136v1_alt	1	200998	0	0	0	0	0	0
chr11_JH159137v1_alt	1	191409	0	0	0	0	0	0
chr11_KI270826v1_alt	1	186169	0	0	0	0	0	0
chr11_KI270827v1_alt	1	67707	0	0	0	0	0	0
chr11_KI270829v1_alt	1	204059	0	0	0	0	0	0
chr11_KI270830v1_alt	1	177092	0	0	0	0	0	0
chr11_KI270831v1_alt	1	296895	0	0	0	0	0	0
chr11_KI270832v1_alt	1	210133	0	0	0	0	0	0
chr11_KI270902v1_alt	1	106711	0	0	0	0	0	0
chr11_KI270903v1_alt	1	214625	0	0	0	0	0	0
chr11_KI270927v1_alt	1	218612	0	0	0	0	0	0
chr12	1	133275309	0	0	0	0	0	0
chr12_GL383549v1_alt	1	120804	0	0	0	0	0	0
chr12_GL383550v2_alt	1	169178	0	0	0	0	0	0
chr12_GL383551v1_alt	1	184319	0	0	0	0	0	0
chr12_GL383552v1_alt	1	138655	0	0	0	0	0	0
chr12_GL383553v2_alt	1	152874	0	0	0	0	0	0
chr12_GL877875v1_alt	1	167313	0	0	0	0	0	0
chr12_GL877876v1_alt	1	408271	0	0	0	0	0	0
chr12_KI270833v1_alt	1	76061	0	0	0	0	0	0
chr12_KI270834v1_alt	1	119498	0	0	0	0	0	0
chr12_KI270835v1_alt	1	238139	0	0	0	0	0	0
chr12_KI270836v1_alt	1	56134	0	0	0	0	0	0
chr12_KI270837v1_alt	1	40090	0	0	0	0	0	0
chr12_KI270904v1_alt	1	572349	0	0	0	0	0	0
chr13	1	114364328	0	0	0	0	0	0
chr13_KI270838v1_alt	1	306913	0	0	0	0	0	0
chr13_KI270839v1_alt	1	180306	0	0	0	0	0	0
chr13_KI270840v1_alt	1	191684	0	0	0	0	0	0
chr13_KI270841v1_alt	1	169134	0	0	0	0	0	0
chr13_KI270842v1_alt	1	37287	0	0	0	0	0	0
chr13_KI270843v1_alt	1	103832	0	0	0	0	0	0
chr14	1	107043718	0	0	0	0	0	0
chr14_GL000009v2_random	1	201709	0	0	0	0	0	0
chr14_GL000194v1_random	1	191469	0	0	0	0	0	0
chr14_GL000225v1_random	1	211173	0	0	0	0	0	0
chr14_KI270722v1_random	1	194050	0	0	0	0	0	0
chr14_KI270723v1_random	1	38115	0	0	0	0	0	0
chr14_KI270724v1_random	1	39555	0	0	0	0	0	0
