# effect-size isoform-usage ranking; no replicate-based p-values
rank	gene_id	gene_symbol	expressed_isoforms	sampleA_gene_NumReads	sampleB_gene_NumReads	max_abs_usage_delta	total_variation	top_transcript	top_sampleA_usage	top_sampleB_usage	top_sampleA_NumReads	top_sampleB_NumReads	top_sampleA_TPM	top_sampleB_TPM	top_log2FC_normalized_reads	top_usage_delta_sampleB_minus_A
1	ENSG00000136167.15	LCP1	3	679	657	0.201385	0.201385	ENST00000323076	0.781782	0.983167	530.83	645.941	668.286	898.472	0.291804	0.201385
2	ENSG00000067225.21	PKM	10	592.001	591	0.18006	0.206337	ENST00000335181	0.847559	0.667499	501.756	394.492	1042.97	905.988	-0.33822	-0.18006
3	ENSG00000089157.16	RPLP0	5	514	543.999	0.175471	0.175471	ENST00000392514	0.828128	0.652657	425.658	355.045	2126.6	1959.81	-0.252933	-0.175471
4	ENSG00000156508.19	EEF1A1	7	3432.86	3429	0.166404	0.167509	ENST00000677236	0.217056	0.38346	745.125	1314.89	2023.44	3945.07	0.828003	0.166404
5	ENSG00000206503.15	HLA-A	9	586.086	553.763	0.131602	0.143292	ENST00000376809	0.980929	0.849327	574.909	470.326	1911.11	1727.39	-0.280923	-0.131602
6	ENSG00000174444.15	RPL4	8	539	589	0.128879	0.211856	ENST00000568588	0.24187	0.112992	130.368	66.552	345.032	194.604	-0.960354	-0.128879
7	ENSG00000111640.15	GAPDH	2	1006.75	999.98	0.11334	0.11334	ENST00000229239	0.694145	0.807485	698.834	807.469	2884.19	3681.97	0.217129	0.11334
8	ENSG00000075624.17	ACTB	8	2392.74	2442	0.0867611	0.102656	ENST00000646664	0.691326	0.778087	1654.16	1900.09	4523.63	5741	0.208653	0.0867611
9	ENSG00000205542.11	TMSB4X	3	922.115	956.74	0.0781304	0.0781304	ENST00000380635	0.251219	0.173089	231.653	165.601	1913.98	1511.7	-0.475327	-0.0781304
10	ENSG00000074800.16	ENO1	4	576	587.001	0.0576246	0.0855087	ENST00000645609	0.00766319	0.0652878	4.414	38.324	12.0173	115.276	3.09993	0.0576246
11	ENSG00000133112.17	TPT1	7	566	536.001	0.0481784	0.0906203	ENST00000442760	0.0481784	0	27.269	0	178.653	0	-8.1868	-0.0481784
12	ENSG00000184009.13	ACTG1	3	830.261	760	0.0264109	0.0264109	ENST00000573283	0.833084	0.859495	691.677	653.216	1770.26	1847.12	-0.0738295	0.0264109
13	ENSG00000211896.7	IGHG1	2	1926.79	1912.51	0.0215262	0.0215262	ENST00000390548	0.156075	0.134549	300.724	257.326	542.242	512.642	-0.216071	-0.0215262
14	ENSG00000166710.23	B2M	5	1250	1123.26	0.0199211	0.0199211	ENST00000648006	0.782786	0.802707	978.483	901.65	6031.3	6140.45	-0.10927	0.0199211
15	ENSG00000167658.16	EEF2	3	554	542	0.0186162	0.0186162	ENST00000600794	0	0.0186162	0	10.09	0	466.845	6.76948	0.0186162
16	ENSG00000019582.17	CD74	5	1233	1217	0.0165598	0.0165598	ENST00000009530	0.121525	0.138085	149.84	168.049	456.206	565.293	0.174055	0.0165598
17	ENSG00000234745.14	HLA-B	8	716.568	732.389	0.00413578	0.00939928	ENST00000497377	0	0.00413578	0	3.029	0	4.49238	5.06397	0.00413578
18	ENSG00000204287.14	HLA-DRA	2	534	570	0.00332931	0.00332931	ENST00000374982	0.0409363	0.037607	21.86	21.436	101.606	110.086	-0.0194748	-0.00332931
