gene_symbol	gene_id	annotated_isoforms	sampleA_assigned_reads	sampleB_assigned_reads	max_abs_usage_delta	total_variation	robust_score	top_transcript	top_transcript_A_reads	top_transcript_B_reads	top_transcript_A_usage	top_transcript_B_usage	top_transcript_signed_delta_B_minus_A
DEFB110	ENSG00000203970.3	2	198.000000	193.000000	1.000000	1.000000	13.892444	ENST00000371148.2	0.000000	193.000000	0.000000	1.000000	1.000000
RPL27	ENSG00000131469.8	8	140.000000	113.000000	0.150920	0.150920	1.604297	ENST00000253788.5	26.452381	38.404762	0.188946	0.339865	0.150920
GSPT1	ENSG00000103342.8	10	50.000000	39.000000	0.218651	0.218651	1.365474	ENST00000434724.2	14.702381	19.995238	0.294048	0.512698	0.218651
AK2	ENSG00000004455.12	13	30.000000	29.000000	0.243678	0.307389	1.312247	ENST00000373449.2	12.000000	18.666667	0.400000	0.643678	0.243678
DEK	ENSG00000124795.10	8	58.000000	43.000000	0.191025	0.196258	1.252636	ENST00000397239.3	37.516667	19.600000	0.646839	0.455814	-0.191025
DHX15	ENSG00000109606.8	10	53.000000	43.000000	0.177885	0.177885	1.166470	ENST00000336812.4	39.666667	24.533333	0.748428	0.570543	-0.177885
HLA-B	ENSG00000234745.5	7	121.000000	81.000000	0.129256	0.193416	1.163300	ENST00000463574.1	29.333333	9.166667	0.242424	0.113169	-0.129256
NPLOC4	ENSG00000182446.9	21	55.000000	54.000000	0.148256	0.229111	1.089457	ENST00000331134.6	32.023810	23.435714	0.582251	0.433995	-0.148256
ZNF148	ENSG00000163848.14	11	21.833333	26.000000	0.227124	0.227124	1.061265	ENST00000360647.4	18.766667	16.442857	0.859542	0.632418	-0.227124
STX7	ENSG00000079950.9	4	24.000000	20.000000	0.236806	0.236806	1.059027	ENST00000367941.2	22.083333	13.666667	0.920139	0.683333	-0.236806
CSNK2A2	ENSG00000070770.4	6	21.000000	23.000000	0.228261	0.228261	1.046023	ENST00000563307.1	10.500000	16.750000	0.500000	0.728261	0.228261
EEF1A1	ENSG00000156508.13	9	2255.000000	2254.000000	0.021794	0.021794	1.034712	ENST00000309268.6	500.882143	451.535714	0.222121	0.200326	-0.021794
EEF1A1P5	ENSG00000196205.7	2	646.000000	654.000000	0.040638	0.040638	1.032883	ENST00000436459.2	248.500000	225.000000	0.384675	0.344037	-0.040638
CTSC	ENSG00000109861.11	9	57.000000	30.000000	0.186383	0.195806	1.020860	ENST00000527018.1	3.309524	7.333333	0.058062	0.244444	0.186383
ITGA4	ENSG00000115232.9	11	56.000000	62.000000	0.133449	0.145276	0.998637	ENST00000397033.2	38.800000	34.683333	0.692857	0.559409	-0.133449
RPS23	ENSG00000186468.8	8	235.800000	199.771429	0.070173	0.070173	0.991822	ENST00000504293.1	64.828571	40.904762	0.274930	0.204758	-0.070173
PBRM1	ENSG00000163939.14	20	22.909091	20.000000	0.221417	0.224241	0.990209	ENST00000356770.4	13.075469	6.986742	0.570755	0.349337	-0.221417
PLCG2	ENSG00000197943.5	16	40.000000	39.000000	0.156699	0.188344	0.978583	ENST00000359376.3	17.783333	23.450000	0.444583	0.601282	0.156699
EIF2AK1	ENSG00000086232.8	11	22.400000	22.600000	0.205212	0.254510	0.971242	ENST00000199389.6	13.566667	9.050000	0.605655	0.400442	-0.205212
PIP4K2A	ENSG00000150867.9	8	42.000000	56.000000	0.149702	0.149702	0.970182	ENST00000376573.4	33.850000	36.750000	0.805952	0.656250	-0.149702
NPEPPS	ENSG00000141279.11	26	26.250000	38.916667	0.188683	0.213183	0.966711	ENST00000322157.4	13.919780	13.293723	0.530277	0.341595	-0.188683
ITPR2	ENSG00000123104.7	10	49.000000	51.000000	0.138022	0.172336	0.966153	ENST00000381340.3	37.833333	46.416667	0.772109	0.910131	0.138022
STK38L	ENSG00000211455.3	14	24.000000	28.000000	0.196882	0.255045	0.964521	ENST00000389032.3	15.619048	12.709524	0.650794	0.453912	-0.196882
EDEM1	ENSG00000134109.6	7	90.266667	97.266667	0.097608	0.107889	0.927364	ENST00000256497.4	73.150000	88.316667	0.810377	0.907985	0.097608
ERGIC1	ENSG00000113719.11	14	24.000000	28.000000	0.187500	0.290873	0.918559	ENST00000523215.1	6.500000	12.833333	0.270833	0.458333	0.187500
STK10	ENSG00000072786.8	16	27.000000	27.000000	0.174691	0.242593	0.907723	ENST00000176763.5	16.450000	21.166667	0.609259	0.783951	0.174691
SRRM1	ENSG00000133226.12	24	22.000000	28.000000	0.193398	0.245166	0.907118	ENST00000323848.9	9.306746	6.429798	0.423034	0.229636	-0.193398
SEC62	ENSG00000008952.12	10	40.000000	56.000000	0.142406	0.149039	0.900658	ENST00000337002.4	25.045238	43.038095	0.626131	0.768537	0.142406
OGT	ENSG00000147162.9	11	25.000000	39.000000	0.178154	0.184564	0.890769	ENST00000373719.3	7.533333	18.700000	0.301333	0.479487	0.178154
BCL2	ENSG00000171791.10	5	49.000000	47.000000	0.129831	0.129831	0.890074	ENST00000398117.1	38.333333	30.666667	0.782313	0.652482	-0.129831
CLIC4	ENSG00000169504.10	4	23.000000	33.000000	0.183465	0.183465	0.879868	ENST00000488683.1	2.750000	10.000000	0.119565	0.303030	0.183465
