# candidates have max_abs_usage_delta >= 0.25
rank	gene_id	gene_symbol	expressed_isoforms	sampleA_gene_NumReads	sampleB_gene_NumReads	max_abs_usage_delta	total_variation	top_transcript	top_sampleA_usage	top_sampleB_usage	top_sampleA_NumReads	top_sampleB_NumReads	top_sampleA_TPM	top_sampleB_TPM	top_log2FC_normalized_reads	top_usage_delta_sampleB_minus_A
1	ENSG00000203970.3	DEFB110	2	198	202	1	1	ENST00000371148	0	1	0	202	0	9403.56	11.108	1
2	ENSG00000253729.3	PRKDC	2	81	74	1	1	ENST00000314191	1	0	81	0	32.5674	0	-9.78114	-1
3	ENSG00000111642.10	CHD4	3	78	71	1	1	ENST00000357008	0	1	0	71	0	70.9091	9.60077	1
4	ENSG00000077809.8	GTF2I	3	57	80	1	1	ENST00000346152	0	1	0	80	0	119.904	9.77274	1
5	ENSG00000244038.5	DDOST	2	62.862	56.952	1	1	ENST00000375048	0	1	0	56.952	0	194.24	9.28315	1
6	ENSG00000117523.11	PRRC2C	3	55	56	1	1	ENST00000338920	0	1	0	56	0	34.5698	9.25887	1
7	ENSG00000119314.11	PTBP3	2	53	57	1	1	ENST00000374257	0	1	0	57	0	50.8678	9.28437	1
8	ENSG00000127481.10	UBR4	3	62	47	1	1	ENST00000375226	0	1	0	47	0	18.8423	9.00656	1
9	ENSG00000121210.11	KIAA0922	3	52	46	1	1	ENST00000409959	0	1	0	46	0	60.1947	8.97559	1
10	ENSG00000128989.6	ARPP19	4	54	46	1	1	ENST00000566423	0	1	0	46	0	56.1318	8.97559	1
11	ENSG00000182944.13	EWSR1	4	50	46	1	1	ENST00000397938	1	0	50	0	110.853	0	-9.08617	-1
12	ENSG00000101265.11	RASSF2	2	48.007	45	1	1	ENST00000379376	0	1	0	45	0	55.785	8.94395	1
13	ENSG00000107263.14	RAPGEF1	4	49	45	1	1	ENST00000372189	0	1	0	45	0	48.108	8.94395	1
14	ENSG00000011304.12	PTBP1	2	47	44	1	1	ENST00000349038	1	0	47	0	85.9941	0	-8.99707	-1
15	ENSG00000104320.9	NBN	2	43	44	1	1	ENST00000396252	0	1	0	44	0	58.9375	8.91159	1
16	ENSG00000138758.7	SEPT11	3	53	42	1	1	ENST00000264893	1	0	53	0	52.8691	0	-9.17008	-1
