gene_symbol	gene_id	annotated_isoforms	sampleA_assigned_reads	sampleB_assigned_reads	max_abs_usage_delta	total_variation	robust_score	top_transcript	top_transcript_A_reads	top_transcript_B_reads	top_transcript_A_usage	top_transcript_B_usage	top_transcript_signed_delta_B_minus_A
DEFB110	ENSG00000203970.3	2	198.000000	193.000000	1.000000	1.000000	13.892444	ENST00000371148.2	0.000000	193.000000	0.000000	1.000000	1.000000
RPL27	ENSG00000131469.8	8	140.000000	113.000000	0.150920	0.150920	1.604297	ENST00000253788.5	26.452381	38.404762	0.188946	0.339865	0.150920
HLA-B	ENSG00000234745.5	7	121.000000	81.000000	0.129256	0.193416	1.163300	ENST00000463574.1	29.333333	9.166667	0.242424	0.113169	-0.129256
NPLOC4	ENSG00000182446.9	21	55.000000	54.000000	0.148256	0.229111	1.089457	ENST00000331134.6	32.023810	23.435714	0.582251	0.433995	-0.148256
EEF1A1	ENSG00000156508.13	9	2255.000000	2254.000000	0.021794	0.021794	1.034712	ENST00000309268.6	500.882143	451.535714	0.222121	0.200326	-0.021794
EEF1A1P5	ENSG00000196205.7	2	646.000000	654.000000	0.040638	0.040638	1.032883	ENST00000436459.2	248.500000	225.000000	0.384675	0.344037	-0.040638
ITGA4	ENSG00000115232.9	11	56.000000	62.000000	0.133449	0.145276	0.998637	ENST00000397033.2	38.800000	34.683333	0.692857	0.559409	-0.133449
RPS23	ENSG00000186468.8	8	235.800000	199.771429	0.070173	0.070173	0.991822	ENST00000504293.1	64.828571	40.904762	0.274930	0.204758	-0.070173
EDEM1	ENSG00000134109.6	7	90.266667	97.266667	0.097608	0.107889	0.927364	ENST00000256497.4	73.150000	88.316667	0.810377	0.907985	0.097608
G3BP1	ENSG00000145907.10	14	59.000000	72.000000	0.110965	0.153832	0.852339	ENST00000394123.3	33.480303	32.867832	0.567463	0.456498	-0.110965
RPLP2	ENSG00000177600.4	8	120.000000	116.000000	0.078908	0.086954	0.849866	ENST00000321153.4	54.385714	61.726190	0.453214	0.532122	0.078908
BZW1	ENSG00000082153.13	13	79.000000	58.000000	0.109554	0.123169	0.834341	ENST00000409600.1	27.905952	26.842063	0.353240	0.462794	0.109554
RPS14	ENSG00000164587.7	7	186.000000	135.000000	0.070988	0.082119	0.824802	ENST00000401695.3	50.042857	26.738095	0.269048	0.198060	-0.070988
CCNI	ENSG00000118816.5	10	71.000000	68.000000	0.094415	0.158606	0.778562	ENST00000237654.4	40.316667	45.033333	0.567840	0.662255	0.094415
RPL34	ENSG00000109475.12	7	79.000000	78.000000	0.087943	0.087943	0.776692	ENST00000503574.1	9.595238	16.333333	0.121459	0.209402	0.087943
RPS8	ENSG00000142937.7	8	230.000000	195.000000	0.055156	0.061224	0.770213	ENST00000485390.1	50.416667	53.500000	0.219203	0.274359	0.055156
SRSF3	ENSG00000112081.12	3	81.000000	54.000000	0.103909	0.103909	0.763576	ENST00000373715.6	61.833333	46.833333	0.763374	0.867284	0.103909
HLA-DQB1	ENSG00000179344.12	8	116.611111	92.208333	0.076117	0.087089	0.730918	ENST00000487676.1	20.058730	22.879762	0.172014	0.248131	0.076117
PIM2	ENSG00000102096.9	3	76.000000	90.000000	0.081335	0.081335	0.709065	ENST00000376509.4	64.166667	68.666667	0.844298	0.762963	-0.081335
CMPK1	ENSG00000162368.9	5	58.000000	68.000000	0.091447	0.094532	0.696439	ENST00000371873.5	40.900000	41.733333	0.705172	0.613725	-0.091447
BIRC3	ENSG00000023445.9	6	71.000000	100.000000	0.081714	0.090493	0.688531	ENST00000532808.1	28.166667	31.500000	0.396714	0.315000	-0.081714
SF3B1	ENSG00000115524.11	12	90.000000	97.000000	0.072188	0.105819	0.684834	ENST00000335508.6	57.400000	68.866667	0.637778	0.709966	0.072188
GNB1	ENSG00000078369.13	8	69.000000	82.000000	0.081716	0.107785	0.678785	ENST00000378609.4	47.500000	63.150000	0.688406	0.770122	0.081716
EIF4B	ENSG00000063046.13	14	183.916667	174.000000	0.049744	0.056865	0.656166	ENST00000262056.9	107.208550	92.772511	0.582919	0.533175	-0.049744
STK4	ENSG00000101109.7	8	63.000000	51.000000	0.091768	0.097059	0.655353	ENST00000372806.3	36.066667	24.516667	0.572487	0.480719	-0.091768
RPL22	ENSG00000116251.5	8	132.000000	142.000000	0.056936	0.060883	0.654140	ENST00000234875.4	58.100000	54.416667	0.440152	0.383216	-0.056936
HIPK2	ENSG00000064393.11	3	100.000000	91.000000	0.068168	0.068168	0.650286	ENST00000406875.3	90.333333	76.000000	0.903333	0.835165	-0.068168
CYCS	ENSG00000172115.4	4	55.000000	57.000000	0.086683	0.106539	0.642855	ENST00000305786.2	31.416667	37.500000	0.571212	0.657895	0.086683
RPL13A	ENSG00000142541.12	12	387.000000	359.000000	0.033742	0.059270	0.639315	ENST00000488946.1	47.121825	55.825794	0.121762	0.155504	0.033742
CAPZA1	ENSG00000116489.8	6	73.000000	79.000000	0.074504	0.074764	0.636566	ENST00000263168.3	57.416667	56.250000	0.786530	0.712025	-0.074504
HSP90AA1	ENSG00000080824.14	11	284.000000	240.000000	0.040095	0.072385	0.621154	ENST00000334701.7	103.816667	78.109524	0.365552	0.325456	-0.040095
