SYMBOL	ENSEMBL	ENTREZID	GENENAME	REFSEQ	EVIDENCE
TERB2	ENSG00000167014	145645	telomere repeat binding bouquet formation protein 2	NM_152448	ISS
TERB2	ENSG00000167014	145645	telomere repeat binding bouquet formation protein 2	NM_152448	IPI
TERB2	ENSG00000167014	145645	telomere repeat binding bouquet formation protein 2	NM_152448	IBA
TERB2	ENSG00000167014	145645	telomere repeat binding bouquet formation protein 2	NM_152448	IEA
TERB2	ENSG00000167014	145645	telomere repeat binding bouquet formation protein 2	NP_689661	ISS
TERB2	ENSG00000167014	145645	telomere repeat binding bouquet formation protein 2	NP_689661	IPI
TERB2	ENSG00000167014	145645	telomere repeat binding bouquet formation protein 2	NP_689661	IBA
TERB2	ENSG00000167014	145645	telomere repeat binding bouquet formation protein 2	NP_689661	IEA
TERB2	ENSG00000167014	145645	telomere repeat binding bouquet formation protein 2	XM_011521240	ISS
TERB2	ENSG00000167014	145645	telomere repeat binding bouquet formation protein 2	XM_011521240	IPI
TERB2	ENSG00000167014	145645	telomere repeat binding bouquet formation protein 2	XM_011521240	IBA
TERB2	ENSG00000167014	145645	telomere repeat binding bouquet formation protein 2	XM_011521240	IEA
TERB2	ENSG00000167014	145645	telomere repeat binding bouquet formation protein 2	XM_054377309	ISS
TERB2	ENSG00000167014	145645	telomere repeat binding bouquet formation protein 2	XM_054377309	IPI
TERB2	ENSG00000167014	145645	telomere repeat binding bouquet formation protein 2	XM_054377309	IBA
TERB2	ENSG00000167014	145645	telomere repeat binding bouquet formation protein 2	XM_054377309	IEA
TERB2	ENSG00000167014	145645	telomere repeat binding bouquet formation protein 2	XP_011519542	ISS
TERB2	ENSG00000167014	145645	telomere repeat binding bouquet formation protein 2	XP_011519542	IPI
TERB2	ENSG00000167014	145645	telomere repeat binding bouquet formation protein 2	XP_011519542	IBA
TERB2	ENSG00000167014	145645	telomere repeat binding bouquet formation protein 2	XP_011519542	IEA
TERB2	ENSG00000167014	145645	telomere repeat binding bouquet formation protein 2	XP_054233284	ISS
TERB2	ENSG00000167014	145645	telomere repeat binding bouquet formation protein 2	XP_054233284	IPI
TERB2	ENSG00000167014	145645	telomere repeat binding bouquet formation protein 2	XP_054233284	IBA
TERB2	ENSG00000167014	145645	telomere repeat binding bouquet formation protein 2	XP_054233284	IEA
