ENTREZID	ENSEMBL	SYMBOL	GENENAME	REFSEQ	EVIDENCE
9153	ENSG00000137860	SLC28A2	solute carrier family 28 member 2	NM_004212	IBA
9153	ENSG00000137860	SLC28A2	solute carrier family 28 member 2	NM_004212	IDA
9153	ENSG00000137860	SLC28A2	solute carrier family 28 member 2	NM_004212	TAS
9153	ENSG00000137860	SLC28A2	solute carrier family 28 member 2	NM_004212	ISS
9153	ENSG00000137860	SLC28A2	solute carrier family 28 member 2	NM_004212	IEA
9153	ENSG00000137860	SLC28A2	solute carrier family 28 member 2	NM_004212	NAS
9153	ENSG00000137860	SLC28A2	solute carrier family 28 member 2	NP_004203	IBA
9153	ENSG00000137860	SLC28A2	solute carrier family 28 member 2	NP_004203	IDA
9153	ENSG00000137860	SLC28A2	solute carrier family 28 member 2	NP_004203	TAS
9153	ENSG00000137860	SLC28A2	solute carrier family 28 member 2	NP_004203	ISS
9153	ENSG00000137860	SLC28A2	solute carrier family 28 member 2	NP_004203	IEA
9153	ENSG00000137860	SLC28A2	solute carrier family 28 member 2	NP_004203	NAS
