rank	chrom	start	end	name	qValue
1	chr3	93979834	93980612	Peak_17	1695.08008
2	chr4	165327124	165328153	Peak_18	1650.20569
3	chr4	140523650	140524698	Peak_22	1554.11926
4	chr5	146203040	146204059	Peak_23	1493.15002
5	chr6	80003829	80005032	Peak_25	1459.0249
6	chr8	109333420	109334868	Peak_26	1444.19873
7	chr8	25458169	25459461	Peak_27	1402.16248
8	chr11	106076823	106078149	Peak_28	1389.84851
9	chr2	162343696	162344803	Peak_29	1370.62158
10	chr10	28302598	28303411	Peak_30	1365.09851
11	chr13	106535021	106536211	Peak_31	1352.53394
12	chr4	51842575	51843684	Peak_33	1326.37354
13	chr7	124929484	124930324	Peak_34	1324.02893
14	chr11	106021748	106022811	Peak_35	1309.22339
15	chr4	165112138	165113494	Peak_36	1302.74451
16	chr1	85276082	85277113	Peak_37	1299.15393
17	chr13	60163459	60164526	Peak_38	1290.82715
18	chr6	62285541	62286795	Peak_39	1281.76978
19	chr4	148442048	148443161	Peak_40	1280.37939
20	chr3	131381065	131382265	Peak_41	1271.90906
21	chr4	20699955	20700935	Peak_42	1266.75708
22	chr11	106021748	106022811	Peak_43	1263.75488
23	chr5	108748357	108749711	Peak_44	1260.14282
24	chr8	91069585	91070806	Peak_45	1256.18604
25	chr1	236794861	236796178	Peak_46	1246.77808
26	chr8	73008563	73009370	Peak_47	1245.81592
27	chr10	25016058	25017487	Peak_48	1235.29443
28	chr1	65419605	65421069	Peak_50	1221.8186
29	chr11	6234255	6235469	Peak_51	1220.83704
30	chr16	53502593	53503968	Peak_52	1199.26672
31	chr10	37976096	37977134	Peak_53	1194.94043
32	chr13	72726824	72728229	Peak_54	1194.12354
33	chr4	122732127	122733174	Peak_55	1193.4823
34	chr9	101398140	101399310	Peak_57	1185.47314
35	chr1	244652599	244653614	Peak_58	1178.33301
36	chr11	85628021	85629038	Peak_59	1171.58423
37	chr6	80106129	80107245	Peak_60	1169.19177
38	chr5	163437134	163438150	Peak_61	1168.7616
39	chr8	109539263	109540706	Peak_62	1163.47546
40	chr2	213284103	213284900	Peak_63	1162.83081
41	chr2	207166027	207167380	Peak_64	1158.04236
42	chr1	70410554	70411659	Peak_65	1157.28882
43	chr3	88058310	88059640	Peak_66	1155.54968
