#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant
ABCA1	ABCA1	NM_005502.4	protein_coding	0	1	2	4	0	0	0	4	2	0	0	0	1
ABCA2	ABCA2	NM_001606.5	protein_coding	0	4	2	5	0	0	0	5	2	0	0	0	4
ABCA2	ABCA2	NM_212533.3	protein_coding	0	5	2	5	0	0	0	5	2	0	0	0	5
ABITRAM	ABITRAM	NM_017832.4	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
ABL1	ABL1	NM_005157.6	protein_coding	0	1	0	1	0	0	1	0	0	0	0	0	1
ABL1	ABL1	NM_007313.2	protein_coding	0	1	0	1	0	0	0	1	0	0	0	0	1
ABO	ABO	NM_020469.3	protein_coding	0	1	3	2	0	0	0	2	3	0	0	0	1
ACTL7A	ACTL7A	NM_006687.4	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0
ADAMTS13	ADAMTS13	NM_139025.4	protein_coding	0	2	0	5	0	0	0	5	0	0	0	0	2
ADAMTS13	ADAMTS13	NM_139026.5	protein_coding	0	2	0	5	0	0	0	5	0	0	0	0	2
ADAMTS13	ADAMTS13	NM_139027.5	protein_coding	0	2	0	5	0	0	0	5	0	0	0	0	2
ADAMTSL2	ADAMTSL2	NM_001145320.1	protein_coding	0	4	0	7	0	0	0	7	0	0	0	0	4
ADAMTSL2	ADAMTSL2	NM_014694.4	protein_coding	0	4	0	7	0	0	0	7	0	0	0	0	4
AIF1L	AIF1L	NM_001185095.1	protein_coding	0	1	0	1	0	0	0	2	0	0	1	0	0
AIF1L	AIF1L	NM_001185096.1	protein_coding	0	1	0	1	0	0	0	2	0	0	1	0	0
AIF1L	AIF1L	NM_031426.4	protein_coding	0	1	0	1	0	0	0	2	0	0	1	0	0
AK1	AK1	NM_000476.2	protein_coding	0	1	0	1	0	0	0	1	0	0	0	0	1
AK1	AK1	NM_001318121.1	protein_coding	0	1	0	1	0	0	0	1	0	0	0	0	1
AK1	AK1	NM_001318122.2	protein_coding	0	1	0	1	0	0	0	1	0	0	0	0	1
AK8	AK8	NM_001317958.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
AK8	AK8	NM_001317959.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
AK8	AK8	NM_001371771.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
AK8	AK8	NM_001371772.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
AK8	AK8	NM_001371773.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
AK8	AK8	NM_001371774.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
AK8	AK8	NM_152572.3	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
AKNA	AKNA	NM_001317950.2	protein_coding	0	1	1	1	0	0	0	1	1	0	0	0	1
AKNA	AKNA	NM_001317952.1	protein_coding	0	1	1	1	0	0	0	1	1	0	0	0	1
AKNA	AKNA	NM_030767.5	protein_coding	0	1	1	1	0	0	0	1	1	0	0	0	1
ALAD	ALAD	NM_000031.6	protein_coding	0	1	0	1	0	0	0	1	0	0	0	0	1
ALAD	ALAD	NM_001003945.2	protein_coding	0	1	0	1	0	0	0	1	0	0	0	0	1
ALAD	ALAD	NM_001317745.1	protein_coding	0	1	0	1	0	0	0	1	0	0	0	0	1
ALDOB	ALDOB	NM_000035.4	protein_coding	0	0	0	4	1	0	0	3	0	0	0	0	0
AMBP	AMBP	NM_001633.4	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0
ANAPC2	ANAPC2	NM_013366.4	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
ANP32B	ANP32B	NM_006401.3	protein_coding	0	1	4	6	5	0	0	1	4	0	0	0	1
ARRDC1	ARRDC1	NM_001317968.1	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0
ARRDC1	ARRDC1	NM_152285.4	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0
ASB6	ASB6	NM_001202403.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
ASB6	ASB6	NM_017873.4	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
ASB6	ASB6	NM_177999.3	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
ASS1	ASS1	NM_000050.4	protein_coding	0	1	0	8	0	0	0	8	0	0	0	0	1
ASS1	ASS1	NM_054012.4	protein_coding	0	1	0	8	0	0	0	8	0	0	0	0	1
ASTN2	ASTN2	NM_001184734.1	protein_coding	0	0	0	2	1	0	0	1	0	0	0	0	0
ASTN2	ASTN2	NM_001365068.1	protein_coding	0	2	0	2	1	0	0	1	0	0	0	0	2
ASTN2	ASTN2	NM_001365069.1	protein_coding	0	2	0	2	1	0	0	1	0	0	0	0	2
ASTN2	ASTN2	NM_014010.5	protein_coding	0	2	0	2	1	0	0	1	0	0	0	0	2
ASTN2	ASTN2	NM_198186.3	protein_coding	0	0	0	2	1	0	0	1	0	0	0	0	0
ASTN2	ASTN2	NM_198187.3	protein_coding	0	0	0	2	1	0	0	1	0	0	0	0	0
ASTN2	ASTN2	NM_198188.2	protein_coding	0	0	0	2	1	0	0	1	0	0	0	0	0
BAAT	BAAT	NM_001127610.1	protein_coding	0	0	1	1	1	0	0	0	1	0	0	0	0
BAAT	BAAT	NM_001701.4	protein_coding	0	0	1	1	1	0	0	0	1	0	0	0	0
BRD3	BRD3	NM_007371.4	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
BRINP1	BRINP1	NM_014618.3	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1
BSPRY	BSPRY	NM_001317943.2	protein_coding	0	2	0	0	0	0	0	1	0	0	1	0	1
