chrom	length	bases	mean	min	max
chr1	248956422	0	0.00	0	0
chr1_region	248956422	0	0.00	0	0
chr1_KI270706v1_random	175055	0	0.00	0	0
chr1_KI270706v1_random_region	175055	0	0.00	0	0
chr1_KI270707v1_random	32032	0	0.00	0	0
chr1_KI270707v1_random_region	32032	0	0.00	0	0
chr1_KI270708v1_random	127682	0	0.00	0	0
chr1_KI270708v1_random_region	127682	0	0.00	0	0
chr2	242193529	0	0.00	0	0
chr2_region	242193529	0	0.00	0	0
chr3	198295559	0	0.00	0	0
chr3_region	198295559	0	0.00	0	0
chr3_GL000221v1_random	155397	0	0.00	0	0
chr3_GL000221v1_random_region	155397	0	0.00	0	0
chr4	190214555	0	0.00	0	0
chr4_region	190214555	0	0.00	0	0
chr4_GL000008v2_random	209709	0	0.00	0	0
chr4_GL000008v2_random_region	209709	0	0.00	0	0
chr5	181538259	0	0.00	0	0
chr5_region	181538259	0	0.00	0	0
chr6	170805979	0	0.00	0	0
chr6_region	170805979	0	0.00	0	0
chr6_GL000253v2_alt	4677643	0	0.00	0	0
chr6_GL000253v2_alt_region	4677643	0	0.00	0	0
chr7	159345973	0	0.00	0	0
chr7_region	159345973	0	0.00	0	0
chr8	145138636	0	0.00	0	0
chr8_region	145138636	0	0.00	0	0
chr8_KI270813v1_alt	300230	0	0.00	0	0
chr8_KI270813v1_alt_region	300230	0	0.00	0	0
chr9	138394717	0	0.00	0	0
chr9_region	138394717	0	0.00	0	0
chr10	133797422	0	0.00	0	0
chr10_region	133797422	0	0.00	0	0
chr11	135086622	0	0.00	0	0
chr11_region	135086622	0	0.00	0	0
chr12	133275309	0	0.00	0	0
chr12_region	133275309	0	0.00	0	0
chr12_GL383551v1_alt	184319	0	0.00	0	0
chr12_GL383551v1_alt_region	184319	0	0.00	0	0
chr13	114364328	0	0.00	0	0
chr13_region	114364328	0	0.00	0	0
chr14	107043718	0	0.00	0	0
chr14_region	107043718	0	0.00	0	0
chr14_GL000225v1_random	211173	0	0.00	0	0
chr14_GL000225v1_random_region	211173	0	0.00	0	0
chr14_KI270722v1_random	194050	0	0.00	0	0
chr14_KI270722v1_random_region	194050	0	0.00	0	0
chr14_KI270725v1_random	172810	0	0.00	0	0
chr14_KI270725v1_random_region	172810	0	0.00	0	0
chr15	101991189	0	0.00	0	0
chr15_region	101991189	0	0.00	0	0
chr16	90338345	0	0.00	0	0
chr16_region	90338345	0	0.00	0	0
chr17	83257441	0	0.00	0	0
chr17_region	83257441	0	0.00	0	0
chr18	80373285	0	0.00	0	0
chr18_region	80373285	0	0.00	0	0
chr19	58617616	0	0.00	0	0
chr19_region	58617616	0	0.00	0	0
chr19_KI270938v1_alt	1066800	0	0.00	0	0
chr19_KI270938v1_alt_region	1066800	0	0.00	0	0
chr20	64444167	0	0.00	0	0
chr20_region	64444167	0	0.00	0	0
chr21	46709983	0	0.00	0	0
chr21_region	46709983	0	0.00	0	0
chr22	50818468	92612649	1.82	0	14
chr22_region	50818468	92612649	1.82	0	14
chr22_KI270731v1_random	150754	0	0.00	0	0
chr22_KI270731v1_random_region	150754	0	0.00	0	0
chr22_KI270732v1_random	41543	0	0.00	0	0
chr22_KI270732v1_random_region	41543	0	0.00	0	0
chr22_KI270734v1_random	165050	0	0.00	0	0
chr22_KI270734v1_random_region	165050	0	0.00	0	0
chr22_KI270737v1_random	103838	0	0.00	0	0
chr22_KI270737v1_random_region	103838	0	0.00	0	0
chr22_KI270739v1_random	73985	0	0.00	0	0
chr22_KI270739v1_random_region	73985	0	0.00	0	0
chr22_GL383582v2_alt	162811	0	0.00	0	0
chr22_GL383582v2_alt_region	162811	0	0.00	0	0
chr22_GL383583v2_alt	96924	0	0.00	0	0
chr22_GL383583v2_alt_region	96924	0	0.00	0	0
chr22_KB663609v1_alt	74013	0	0.00	0	0
chr22_KB663609v1_alt_region	74013	0	0.00	0	0
chr22_KI270875v1_alt	259914	0	0.00	0	0
chr22_KI270875v1_alt_region	259914	0	0.00	0	0
chr22_KI270876v1_alt	263666	0	0.00	0	0
chr22_KI270876v1_alt_region	263666	0	0.00	0	0
chr22_KI270877v1_alt	101331	0	0.00	0	0
chr22_KI270877v1_alt_region	101331	0	0.00	0	0
chr22_KI270878v1_alt	186262	0	0.00	0	0
chr22_KI270878v1_alt_region	186262	0	0.00	0	0
chr22_KI270879v1_alt	304135	0	0.00	0	0
chr22_KI270879v1_alt_region	304135	0	0.00	0	0
chr22_KI270928v1_alt	176103	0	0.00	0	0
chr22_KI270928v1_alt_region	176103	0	0.00	0	0
chrX	156040895	0	0.00	0	0
chrX_region	156040895	0	0.00	0	0
chrY	57227415	0	0.00	0	0
chrY_region	57227415	0	0.00	0	0
chrUn_GL000214v1	137718	0	0.00	0	0
chrUn_GL000214v1_region	137718	0	0.00	0	0
chrUn_KI270442v1	392061	0	0.00	0	0
chrUn_KI270442v1_region	392061	0	0.00	0	0
chrUn_KI270581v1	7046	0	0.00	0	0
chrUn_KI270581v1_region	7046	0	0.00	0	0
chrUn_KI270742v1	186739	0	0.00	0	0
chrUn_KI270742v1_region	186739	0	0.00	0	0
chrUn_KI270743v1	210658	0	0.00	0	0
chrUn_KI270743v1_region	210658	0	0.00	0	0
chrUn_KI270744v1	168472	0	0.00	0	0
chrUn_KI270744v1_region	168472	0	0.00	0	0
chrUn_KI270747v1	198735	0	0.00	0	0
chrUn_KI270747v1_region	198735	0	0.00	0	0
chrUn_KI270749v1	158759	0	0.00	0	0
chrUn_KI270749v1_region	158759	0	0.00	0	0
total	3099397249	92612649	0.03	0	14
total_region	3099397249	92612649	0.03	0	14
