query_id	query_length	gene_chain_5to3	query_orientation	gene	qstart	qend	sseqid	sstart	send	pident	alignment_length	mismatches	gap_opens	evalue	bitscore
NODE_23_length_1939_cov_10.337924_g21_i0	1939	IGHV1-3-IGHJ1-IGHM	-	IGHV1-3	1555	1939	ENST00000632977.1|ENSG00000282213.1|OTTHUMG00000190943.2|OTTHUMT00000486415.2|IGHV1-3-202|IGHV1-3|395|IG_V_gene|	395	11	95.844	385	16	0	0	369.0
NODE_23_length_1939_cov_10.337924_g21_i0	1939	IGHV1-3-IGHJ1-IGHM	-	IGHJ1	1490	1537	ENST00000390565.1|ENSG00000211905.1|OTTHUMG00000152460.2|OTTHUMT00000326282.2|IGHJ1-201|IGHJ1|52|IG_J_gene|	52	5	97.917	48	1	0	0	47.0
NODE_23_length_1939_cov_10.337924_g21_i0	1939	IGHV1-3-IGHJ1-IGHM	-	IGHM	1	1490	ENST00000637539.2|ENSG00000211899.10|OTTHUMG00000152452.6|OTTHUMT00000489144.2|IGHM-202|IGHM|1686|IG_C_gene|	1490	1	99.933	1490	1	0	0	1489.0
NODE_23_length_1939_cov_10.337924_g21_i0	1939	IGHV1-3-IGHJ1-IGHM	-	IGHM	191	1490	ENST00000390559.6|ENSG00000211899.10|OTTHUMG00000152452.6|OTTHUMT00000326272.4|IGHM-201|IGHM|1485|IG_C_gene|	1300	1	99.923	1300	1	0	0	1299.0
NODE_25_length_1906_cov_11.158491_g23_i0	1906	MT-TA-MT-TN-MT-TC-MT-TY-MT-CO1-MTCO1P12-MT-TS1	+	MT-TA	1	61	ENST00000387392.1|ENSG00000210127.1|-|-|MT-TA-201|MT-TA|69|Mt_tRNA|	61	1	100.000	61	0	0	0	61.0
NODE_25_length_1906_cov_11.158491_g23_i0	1906	MT-TA-MT-TN-MT-TC-MT-TY-MT-CO1-MTCO1P12-MT-TS1	+	MT-TN	63	135	ENST00000387400.1|ENSG00000210135.1|-|-|MT-TN-201|MT-TN|73|Mt_tRNA|	73	1	100.000	73	0	0	0	73.0
NODE_25_length_1906_cov_11.158491_g23_i0	1906	MT-TA-MT-TN-MT-TC-MT-TY-MT-CO1-MTCO1P12-MT-TS1	+	MT-TC	167	232	ENST00000387405.1|ENSG00000210140.1|-|-|MT-TC-201|MT-TC|66|Mt_tRNA|	66	1	100.000	66	0	0	0	66.0
NODE_25_length_1906_cov_11.158491_g23_i0	1906	MT-TA-MT-TN-MT-TC-MT-TY-MT-CO1-MTCO1P12-MT-TS1	+	MT-TY	232	297	ENST00000387409.1|ENSG00000210144.1|-|-|MT-TY-201|MT-TY|66|Mt_tRNA|	66	1	100.000	66	0	0	0	66.0
NODE_25_length_1906_cov_11.158491_g23_i0	1906	MT-TA-MT-TN-MT-TC-MT-TY-MT-CO1-MTCO1P12-MT-TS1	+	MT-CO1	310	1851	ENST00000361624.2|ENSG00000198804.2|-|-|MT-CO1-201|MT-CO1|1542|protein_coding|	1	1542	99.870	1542	2	0	0	1540.0
NODE_25_length_1906_cov_11.158491_g23_i0	1906	MT-TA-MT-TN-MT-TC-MT-TY-MT-CO1-MTCO1P12-MT-TS1	+	MTCO1P12	310	1851	ENST00000414273.1|ENSG00000237973.1|OTTHUMG00000002333.2|OTTHUMT00000006715.2|MTCO1P12-201|MTCO1P12|1543|unprocessed_pseudogene|	1	1543	98.509	1543	23	0	0	1520.0
NODE_25_length_1906_cov_11.158491_g23_i0	1906	MT-TA-MT-TN-MT-TC-MT-TY-MT-CO1-MTCO1P12-MT-TS1	+	MT-TS1	1852	1906	ENST00000387416.2|ENSG00000210151.2|-|-|MT-TS1-201|MT-TS1|69|Mt_tRNA|	69	15	98.182	55	1	0	0	54.0
NODE_36_length_1653_cov_5.362672_g34_i0	1653	MT-ND4L-MT-ND4	-	MT-ND4L	1363	1653	ENST00000361335.1|ENSG00000212907.2|-|-|MT-ND4L-201|MT-ND4L|297|protein_coding|	297	7	99.656	291	1	0	0	290.0
NODE_36_length_1653_cov_5.362672_g34_i0	1653	MT-ND4L-MT-ND4	-	MT-ND4	1	1369	ENST00000361381.2|ENSG00000198886.2|-|-|MT-ND4-201|MT-ND4|1378|protein_coding|	1369	1	99.635	1369	5	0	0	1364.0
NODE_39_length_1649_cov_8.075094_g37_i0	1649	MTATP8P1-MT-ATP8-MT-ATP6-MTATP6P1-MTCO3P12-MT-CO3	+	MTATP8P1	22	224	ENST00000467115.1|ENSG00000240409.1|OTTHUMG00000002473.1|OTTHUMT00000007027.1|MTATP8P1-201|MTATP8P1|207|unprocessed_pseudogene|	5	207	97.537	203	5	0	0	198.0
NODE_39_length_1649_cov_8.075094_g37_i0	1649	MTATP8P1-MT-ATP8-MT-ATP6-MTATP6P1-MTCO3P12-MT-CO3	+	MT-ATP8	22	224	ENST00000361851.1|ENSG00000228253.1|-|-|MT-ATP8-201|MT-ATP8|207|protein_coding|	5	207	100.000	203	0	0	0	203.0
