query_id	query_length	assembly_coverage	query_orientation	gene_chain_5to3	gene_count	combined_gene_coverage	coverage_fraction	gene_intervals
NODE_23_length_1939_cov_10.337924_g21_i0	1939	10.338	-	IGHV1-3-IGHJ1-IGHM	3	1922	0.9912	IGHV1-3:1555-1939:385;IGHJ1:1490-1537:48;IGHM:1-1490:1490
NODE_25_length_1906_cov_11.158491_g23_i0	1906	11.158	+	MT-TA-MT-TN-MT-TC-MT-TY-MT-CO1-MTCO1P12-MT-TS1	7	1862	0.9769	MT-TA:1-61:61;MT-TN:63-135:73;MT-TC:167-232:66;MT-TY:232-297:66;MT-CO1:310-1851:1542;MTCO1P12:310-1851:1542;MT-TS1:1852-1906:55
NODE_36_length_1653_cov_5.362672_g34_i0	1653	5.363	-	MT-ND4L-MT-ND4	2	1653	1.0000	MT-ND4L:1363-1653:291;MT-ND4:1-1369:1369
NODE_39_length_1649_cov_8.075094_g37_i0	1649	8.075	+	MTATP8P1-MT-ATP8-MT-ATP6-MTATP6P1-MTCO3P12-MT-CO3	6	1621	0.9830	MTATP8P1:22-224:203;MT-ATP8:22-224:203;MT-ATP6:179-859:681;MTATP6P1:179-859:681;MTCO3P12:859-1405:547;MT-CO3:859-1642:784
NODE_63_length_1396_cov_39.296654_g60_i0	1396	39.297	-	MYC-ZIC2-SP1-CATSPER4	4	1396	1.0000	MYC:1004-1396:393;ZIC2:671-837:167;SP1:470-1008:382;CATSPER4:1-473:473
NODE_67_length_1338_cov_31.385392_g5_i2	1338	31.385	+	IGHV3-30-ENSG00000282150-IGHV3-33-IGHV3-43-ENSG00000277856	5	457	0.3416	IGHV3-30:1-51:51;ENSG00000282150:1-51:51;IGHV3-33:1-51:51;IGHV3-43:46-457:412;ENSG00000277856:164-457:294
NODE_99_length_1123_cov_6.165112_g88_i0	1123	6.165	-	HLA-DRB1-HLA-DPB1	2	1123	1.0000	HLA-DRB1:777-1123:347;HLA-DPB1:1-918:918
NODE_113_length_1054_cov_43.113659_g5_i9	1054	43.114	+	IGHV3-30-ENSG00000282150-IGHV3-33-IGHV3-43-ENSG00000277856-IGHGP-IGHG1	7	985	0.9345	IGHV3-30:1-51:51;ENSG00000282150:1-51:51;IGHV3-33:1-51:51;IGHV3-43:46-457:412;ENSG00000277856:164-457:294;IGHGP:529-822:294;IGHG1:527-1054:528
NODE_118_length_1040_cov_50.325581_g5_i10	1040	50.326	+	IGHV3-33-IGHV3-30-ENSG00000282150-IGHGP-IGHG1	5	960	0.9231	IGHV3-33:1-429:429;IGHV3-30:1-431:431;ENSG00000282150:81-432:352;IGHGP:515-808:294;IGHG1:513-1040:528
NODE_125_length_1029_cov_54.785276_g5_i11	1029	54.785	+	SNRNP70-IGHGP-IGHG1	3	580	0.5637	SNRNP70:1-52:52;IGHGP:504-797:294;IGHG1:502-1029:528
NODE_130_length_1004_cov_38.953830_g5_i12	1004	38.954	+	IGHV3-53-IGHV3-66-IGHGP-IGHG3-IGHG1	5	939	0.9353	IGHV3-53:1-412:412;IGHV3-66:1-412:412;IGHGP:480-772:293;IGHG3:478-816:339;IGHG1:480-1004:525
NODE_134_length_983_cov_3.868026_g119_i0	983	3.868	-	MT-TL1-MT-ND1	2	981	0.9980	MT-TL1:923-983:61;MT-ND1:1-920:920
NODE_138_length_953_cov_109.787140_g123_i0	953	109.787	-	IGKV1-12-IGKV1D-12-IGKC	3	897	0.9412	IGKV1-12:566-939:374;IGKV1D-12:566-932:367;IGKC:2-524:523
NODE_139_length_952_cov_86.314095_g123_i1	952	86.314	-	IGKV1-12-IGKV1-16-IGKV1D-16-IGKC	4	896	0.9412	IGKV1-12:590-934:345;IGKV1-16:563-935:373;IGKV1D-16:563-935:373;IGKC:2-524:523
NODE_142_length_942_cov_72.837262_g126_i0	942	72.837	-	B2M-ENSG00000294961	2	935	0.9926	B2M:8-942:935;ENSG00000294961:8-494:487
