Supplementary Table 7. Locus-specific analyses on CD27 and CD40 protein levels.	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6
D: Nested linear regression models						
CD27 and CD40 protein levels are inverse-normalized and adjusted for age, age2 and sex.						
Results are obtained from nested linear regression models. 						
The proportion of the SNP effect on CD27 mediated by CD40 protein is represented by the difference of the percentage of R2-adjusted between model 1 and model 2, and between model 1 and model 3.						
The significance of the difference between the percentage of R2-adjusted explained by nested models with respect to the reference model has been calculated using a likelihood ratio (LR) test (two-sided). 						
						
Model*	Effect	Standard error	P-value	% of R2-adj explained	R2 difference estimation**	LR-test P-value**
1) CD27 protein ~ rs1883832	-0.60957	0.03957	3.445444e-48	0.1916	reference	reference
2) CD27 protein ~ rs1883832-adjusted for CD40 protein	-0.6654	0.04652	2.40653e-42	0.1696	0.021999999999999992	<2.2e-16
3) CD27 protein ~ rs1883832-adjusted for CD40-IVs effect on CD40 protein	-0.5968	0.04147	8.42111e-43	0.1713	0.020299999999999985	<2.2e-16
