chrom	intron_start	intron_end	strand_code	motif	annotated	unique_reads	multi_reads	max_overhang
chr18	49491446	49491531	2	2	0	13	0	41
chr12	76050654	76053090	2	2	0	11	0	20
chr12	53455371	53455460	1	1	0	10	0	24
chr1	42683467	42693489	1	1	0	7	0	34
chr3	51995470	51995856	2	2	0	6	0	28
chr1	203862223	203863662	1	1	0	6	0	27
chr19	49487645	49489849	1	1	0	4	0	21
chr11	64244963	64245203	2	2	0	3	0	33
chr12	56664801	56666203	2	2	0	3	0	25
chr15	78873058	78878212	1	1	0	2	0	47
chr19	58556931	58557062	2	2	0	2	0	39
chr1	42660905	42664862	1	1	0	2	0	33
chr2	55232709	55232807	1	1	0	2	0	17
chr1	173867044	173867959	2	2	0	2	0	15
chr9	83978453	83980502	2	2	0	2	0	13
chrX	20135842	20138538	2	2	0	2	0	12
