TRINITY_DN0_c0_g1_i2	2	IGKC,IGKV1-33	10,567	527,852	518,286	100,98.951	959	minus	804	10	567	527	852
TRINITY_DN1012_c0_g1_i1	2	CERS6,CERS6-AS1	1,81	246,246	246,166	100,100	246	minus,plus	412	1	81	246	246
TRINITY_DN1069_c0_g1_i1	3	ENSG00000289576,SPCS2,SPCS2P4	382,1,1	588,588,588	207,588,588	99.51,100,99.66	588	plus	1383	1	382	588	588
TRINITY_DN107_c0_g1_i1	2	CCL22,RPS19	1,203	170,699	170,482	98.824,100	699	minus	652	1	203	170	699
TRINITY_DN1081_c0_g1_i1	3	ENOSF1,TYMS,TYMSOS	1,1,444	98,618,554	98,618,111	100,100,99.099	618	minus,plus	827	1	444	98	618
TRINITY_DN108_c0_g1_i1	2	ENSG00000264558,KPNB1	61,1	216,216	156,216	100,100	216	minus,plus	372	1	61	216	216
TRINITY_DN1163_c0_g1_i1	2	ENSG00000294790,SMARCA5	437,1	573,573	137,573	99.27,100	573	plus	710	1	437	573	573
TRINITY_DN1258_c0_g1_i1	2	BPNT1,IARS2	162,1	302,302	141,302	100,100	302	minus,plus	443	1	162	302	302
TRINITY_DN1291_c0_g1_i1	2	ATP5MG,ENSG00000285827	1,148	400,400	400,253	100,100	400	minus	653	1	148	400	400
TRINITY_DN1294_c0_g1_i1	2	MFSD11,SRSF2	296,1	483,483	188,483	100,100	483	minus,plus	671	1	296	483	483
TRINITY_DN1352_c0_g1_i1	3	EIF4A1,ENSG00000264772,SENP3-EIF4A1	1,449,1	1350,1350,1350	1350,902,1350	100,100,100	1350	minus	3602	1	449	1350	1350
TRINITY_DN1370_c0_g1_i1	3	CALR,ENSG00000267458,PRRC2A	8,11,363	368,181,487	361,171,125	100,99.415,100	487	minus,plus	657	8	363	181	487
TRINITY_DN1394_c0_g1_i1	2	ATXN10,ENSG00000280383	1,70	299,299	299,230	100,100	299	minus	529	1	70	299	299
TRINITY_DN1396_c0_g1_i1	2	RNF5,RNF5P1	1,314	401,401	401,88	100,98.864	401	minus	489	1	314	401	401
TRINITY_DN1416_c0_g1_i1	2	PPIB,SNX22	1,359	564,546	569,188	100,100	565	minus,plus	757	1	359	546	564
TRINITY_DN141_c0_g1_i1	2	ALYREF,ANAPC11	1,201	278,278	278,78	100,100	278	minus,plus	356	1	201	278	278
TRINITY_DN142_c0_g1_i1	3	ENSG00000289565,RBM8A,RMB8AP1	64,1,1	254,254,254	191,254,254	99.476,100,98.031	254	plus	699	1	64	254	254
TRINITY_DN1457_c0_g1_i1	4	TMSB4X,TMSB4XP1,TMSB4XP6,TMSB4XP8	4,420,420,420	620,554,554,554	613,135,135,135	100,98.519,99.259,99.259	621	minus	1018	4	420	554	620
TRINITY_DN150_c0_g1_i1	2	CD79B,ENSG00000285947	1,189	737,427	737,239	100,100	737	plus	976	1	189	427	737
TRINITY_DN1571_c0_g1_i1	2	ENSG00000224985,UFC1	134,1	211,211	78,152	100,100	211	minus,plus	230	1	134	211	211
TRINITY_DN1578_c0_g1_i1	2	ENSG00000310295,PMAIP1	247,1	446,446	200,446	100,100	446	minus,plus	646	1	247	446	446
TRINITY_DN157_c0_g1_i1	6	ATP7A,ENSG00000186076,ENSG00000216285,ENSG00000300370,ENSG00000310260,PGAM1	999,923,923,1,1,6	1699,1687,1687,850,850,1734	701,765,765,854,856,1729	98.288,99.869,99.739,99.18,99.065,100	1734	minus,plus	5670	1	999	850	1734
TRINITY_DN15_c0_g1_i2	3	IGLC2,IGLC3,IGLV2-14	1,1,488	450,450,860	451,451,373	99.113,98.67,98.66	860	minus	1275	1	488	450	860
TRINITY_DN1610_c0_g1_i1	2	ATP1A1,ATP1A1-AS1	1,78	234,234	234,157	99.145,98.726	235	minus,plus	391	1	78	234	234
TRINITY_DN1620_c0_g1_i1	2	CCT4,ENSG00000286360	1,297	498,407	498,111	100,100	498	minus,plus	609	1	297	407	498
TRINITY_DN1641_c0_g1_i1	2	ENSG00000238221,SSR1	245,1	321,343	77,343	100,100	343	minus,plus	420	1	245	321	343
TRINITY_DN1657_c0_g1_i1	4	NSUN5,NSUN5P2,POM121,POM121C	279,275,1,1	373,373,373,373	95,99,373,373	100,100,100,99.196	373	minus,plus	940	1	279	373	373
TRINITY_DN1664_c0_g1_i1	2	MT-ND1,MTND1P23	64,668	983,983	920,316	100,99.051	983	plus	1236	64	668	983	983
TRINITY_DN1685_c0_g1_i1	3	ENSG00000237493,ENSG00000285641,RAB13	112,41,1	277,277,277	166,237,277	98.795,100,100	277	minus	680	1	112	277	277
TRINITY_DN1733_c0_g1_i1	2	DCAF6,MPC2	201,1	392,392	192,392	100,100	392	minus,plus	584	1	201	392	392
TRINITY_DN1752_c0_g1_i1	2	ACSBG1,IDH3A	318,1	663,660	346,660	99.133,100	663	minus,plus	1006	1	318	660	663
TRINITY_DN1768_c0_g1_i1	2	ENSG00000204620,RBM3	228,1	305,305	78,305	100,100	305	minus,plus	383	1	228	305	305
TRINITY_DN1783_c0_g1_i1	2	ENSG00000302512,MZB1	126,1	205,479	80,479	100,100	479	minus,plus	559	1	126	205	479
TRINITY_DN1820_c0_g1_i1	2	ENSG00000240143,SASH3	306,1	424,441	119,441	100,99.773	441	plus	560	1	306	424	441
TRINITY_DN1858_c0_g1_i1	2	MFSD11,SRSF2	216,1	302,302	88,302	100,100	302	minus,plus	390	1	216	302	302
TRINITY_DN1944_c0_g1_i1	3	ENSG00000280607,MAZ,MVP-DT	248,1,1	336,336,336	89,336,336	100,100,100	336	minus,plus	761	1	248	336	336
TRINITY_DN1952_c0_g1_i1	2	ENSG00000280434,PARVB	187,1	257,534	71,534	100,100	534	plus	605	1	187	257	534
TRINITY_DN1957_c0_g1_i1	2	PCBP1,PCBP1-AS1	1,115	360,360	360,246	100,100	360	minus,plus	606	1	115	360	360
TRINITY_DN1958_c0_g1_i1	3	ENSG00000285283,RCN1,TPT1-AS1	126,1,1	222,222,222	97,222,224	100,100,98.661	222	minus,plus	543	1	126	222	222
TRINITY_DN195_c0_g1_i1	2	ENSG00000297237,SRGN	264,1	374,970	111,971	100,99.702	970	minus,plus	1082	1	264	374	970
TRINITY_DN1979_c0_g1_i1	2	ENSG00000265794,ZNF207	104,1	453,453	350,453	100,100	453	minus	803	1	104	453	453
TRINITY_DN1998_c0_g1_i1	2	ENSG00000267009,PRKAR1A	105,1	210,210	106,210	100,100	210	plus	316	1	105	210	210
TRINITY_DN2064_c0_g1_i1	2	NKIRAS1,UBE2E1	239,1	389,389	151,389	99.338,100	391	minus,plus	540	1	239	389	389
TRINITY_DN2082_c0_g1_i1	2	ENSG00000302134,LGALS1	344,1	423,483	80,489	100,100	483	minus,plus	569	1	344	423	483
TRINITY_DN2084_c0_g1_i1	2	M6PR,PHC1	1,133	309,260	309,128	100,100	309	minus,plus	437	1	133	260	309
TRINITY_DN208_c0_g1_i1	2	SERBP1,SERBP1P5	1,409	1683,1590	1694,1182	100,98.139	1683	minus	2876	1	409	1590	1683
TRINITY_DN2098_c0_g1_i1	2	MAZ,MVP-DT	1,76	206,182	206,107	100,100	206	minus,plus	313	1	76	182	206
TRINITY_DN2133_c0_g1_i1	2	MICOS10,MICOS10-NBL1	1,122	398,398	398,277	100,99.278	398	minus	675	1	122	398	398
TRINITY_DN2136_c0_g1_i1	2	APOBEC3F,APOBEC3G	205,1	482,482	278,482	98.201,100	482	minus	760	1	205	482	482
TRINITY_DN2141_c0_g1_i1	2	DDOST,PINK1-AS	1,630	756,756	756,127	100,100	756	plus	883	1	630	756	756
TRINITY_DN2148_c0_g1_i1	3	ENSG00000262526,ENSG00000279641,GABARAP	1,126,1	130,234,234	130,109,234	100,100,100	234	minus,plus	473	1	126	130	234
TRINITY_DN2149_c0_g1_i1	2	C12orf57,ENSG00000272173	1,219	528,399	528,181	100,100	528	minus,plus	709	1	219	399	528
TRINITY_DN218_c0_g1_i1	2	DONSON,SON	83,1	203,348	121,349	100,100	348	minus,plus	470	1	83	203	348
TRINITY_DN2235_c0_g1_i1	2	ENSG00000245156,RAB1B	307,1	409,542	104,542	98.077,100	542	minus,plus	646	1	307	409	542
TRINITY_DN2251_c0_g1_i1	2	PLCG1-AS1,TOP1	102,2	226,358	125,357	100,100	358	minus,plus	482	2	102	226	358
TRINITY_DN22_c0_g1_i1	2	MT-CO3,TPM3	2267,1	3050,1437	784,1437	99.872,100	3057	minus,plus	2221	1	2267	1437	3050
TRINITY_DN230_c0_g1_i1	2	NHP2,RMND5B	1,174	311,311	311,138	100,100	311	minus,plus	449	1	174	311	311
TRINITY_DN2371_c0_g1_i1	2	CD37,ENSG00000197813	1,153	274,237	274,85	100,100	274	minus,plus	359	1	153	237	274
TRINITY_DN2376_c0_g1_i1	3	ENSG00000255872,ENSG00000256966,TOMM5	1,193,1	308,308,308	308,116,308	100,100,100	308	minus	732	1	193	308	308
TRINITY_DN2458_c0_g1_i1	3	ENSG00000255252,RCN1,TPT1-AS1	120,1,1	209,259,259	90,259,259	100,100,100	259	minus,plus	608	1	120	209	259
TRINITY_DN2460_c0_g1_i1	2	ENSG00000274251,POLD4	114,1	250,250	137,250	100,100	250	minus,plus	387	1	114	250	250
TRINITY_DN252_c0_g1_i1	2	BTG1,BTG1-DT	1,1310	1409,1409	1409,100	99.924,99	1409	minus,plus	1509	1	1310	1409	1409
TRINITY_DN254_c0_g1_i1	2	MT-ND4,MT-ND4L	2,1363	1369,1653	1368,291	99.708,99.656	1653	minus	1659	2	1363	1369	1653
TRINITY_DN2557_c0_g1_i1	2	ENSG00000266086,SRSF1	145,59	252,252	108,194	100,100	252	minus	302	59	145	252	252
TRINITY_DN2625_c0_g1_i1	3	ENSG00000290318,ENSG00000294850,GPX1	310,250,1	423,423,423	114,174,426	100,98.851,99.061	423	plus	714	1	310	423	423
TRINITY_DN2655_c0_g1_i1	3	CLEC17A,ENSG00000307644,YWHAB	861,314,1	973,590,912	113,277,913	98.23,100,98.357	973	minus,plus	1303	1	861	590	973
TRINITY_DN2666_c0_g1_i1	4	ENSG00000266086,ENSG00000279069,ENSG00000302377,SRSF1	1,188,188,1	426,426,426,426	426,239,239,426	99.531,99.163,100,99.531	426	minus,plus	1330	1	188	426	426
TRINITY_DN2726_c0_g1_i1	2	TGFB1,TMEM91	1,106	351,351	351,246	99.715,99.593	351	minus,plus	597	1	106	351	351
TRINITY_DN2731_c0_g1_i1	2	ATP1A1,ATP1A1-AS1	1,202	603,374	603,173	100,100	603	minus,plus	776	1	202	374	603
TRINITY_DN2752_c0_g1_i1	2	RNF7,RNF7P1	1,164	242,242	242,79	100,98.734	242	minus	321	1	164	242	242
TRINITY_DN2753_c0_g1_i1	3	ENSG00000293004,NT5C3A,NT5C3AP1	82,1,82	241,241,241	160,241,160	98.125,100,98.125	241	plus	561	1	82	241	241
TRINITY_DN2758_c0_g1_i1	2	CIB1,GDPGP1	1,278	382,382	382,105	100,100	382	minus,plus	487	1	278	382	382
TRINITY_DN2769_c0_g1_i1	2	ENSG00000258864,SRP19	213,1	327,327	115,327	100,100	327	minus	442	1	213	327	327
TRINITY_DN2798_c0_g1_i1	2	EIF2S2,RALY	1,115	269,269	269,155	100,100	269	minus,plus	424	1	115	269	269
TRINITY_DN2867_c0_g1_i1	2	PDPR2P,PSMD7	365,1	453,453	90,453	98.889,100	453	minus,plus	543	1	365	453	453
