chrom	length	bases	mean	min	max
chr1	248956422	4050	0.00	0	1
chr1_region	248956422	4050	0.00	0	1
chr1_KI270706v1_random	175055	4800	0.03	0	3
chr1_KI270706v1_random_region	175055	4800	0.03	0	3
chr1_KI270707v1_random	32032	300	0.01	0	1
chr1_KI270707v1_random_region	32032	300	0.01	0	1
chr1_KI270708v1_random	127682	2700	0.02	0	1
chr1_KI270708v1_random_region	127682	2700	0.02	0	1
chr2	242193529	8850	0.00	0	3
chr2_region	242193529	8850	0.00	0	3
chr2_GL582966v2_alt	96131	300	0.00	0	1
chr2_GL582966v2_alt_region	96131	300	0.00	0	1
chr3	198295559	1800	0.00	0	1
chr3_region	198295559	1800	0.00	0	1
chr3_GL000221v1_random	155397	20100	0.13	0	6
chr3_GL000221v1_random_region	155397	20100	0.13	0	6
chr4	190214555	8700	0.00	0	2
chr4_region	190214555	8700	0.00	0	2
chr4_GL000008v2_random	209709	10800	0.05	0	3
chr4_GL000008v2_random_region	209709	10800	0.05	0	3
chr5	181538259	2994	0.00	0	1
chr5_region	181538259	2994	0.00	0	1
chr6	170805979	3600	0.00	0	2
chr6_region	170805979	3600	0.00	0	2
chr6_GL000252v2_alt	4604811	600	0.00	0	1
chr6_GL000252v2_alt_region	4604811	600	0.00	0	1
chr7	159345973	3750	0.00	0	3
chr7_region	159345973	3750	0.00	0	3
chr8	145138636	1650	0.00	0	2
chr8_region	145138636	1650	0.00	0	2
chr9	138394717	3150	0.00	0	1
chr9_region	138394717	3150	0.00	0	1
chr9_GL383541v1_alt	171286	300	0.00	0	1
chr9_GL383541v1_alt_region	171286	300	0.00	0	1
chr10	133797422	1800	0.00	0	1
chr10_region	133797422	1800	0.00	0	1
chr11	135086622	2700	0.00	0	2
chr11_region	135086622	2700	0.00	0	2
chr12	133275309	2400	0.00	0	3
chr12_region	133275309	2400	0.00	0	3
chr13	114364328	2700	0.00	0	2
chr13_region	114364328	2700	0.00	0	2
chr14	107043718	652200	0.01	0	9
chr14_region	107043718	652200	0.01	0	9
chr14_GL000009v2_random	201709	1500	0.01	0	3
chr14_GL000009v2_random_region	201709	1500	0.01	0	3
chr14_GL000225v1_random	211173	900	0.00	0	1
chr14_GL000225v1_random_region	211173	900	0.00	0	1
chr14_KI270722v1_random	194050	3300	0.02	0	2
chr14_KI270722v1_random_region	194050	3300	0.02	0	2
chr14_KI270725v1_random	172810	8400	0.05	0	3
chr14_KI270725v1_random_region	172810	8400	0.05	0	3
chr15	101991189	1050	0.00	0	1
chr15_region	101991189	1050	0.00	0	1
chr16	90338345	2250	0.00	0	2
chr16_region	90338345	2250	0.00	0	2
chr16_KI270728v1_random	1872759	300	0.00	0	1
chr16_KI270728v1_random_region	1872759	300	0.00	0	1
chr17	83257441	2700	0.00	0	3
chr17_region	83257441	2700	0.00	0	3
chr17_GL383565v1_alt	223995	300	0.00	0	1
chr17_GL383565v1_alt_region	223995	300	0.00	0	1
chr18	80373285	1200	0.00	0	1
chr18_region	80373285	1200	0.00	0	1
chr19	58617616	2400	0.00	0	4
chr19_region	58617616	2400	0.00	0	4
chr19_GL383575v2_alt	170222	900	0.01	0	2
chr19_GL383575v2_alt_region	170222	900	0.01	0	2
chr19_GL383576v1_alt	188024	300	0.00	0	1
chr19_GL383576v1_alt_region	188024	300	0.00	0	1
chr20	64444167	1200	0.00	0	2
chr20_region	64444167	1200	0.00	0	2
chr21	46709983	184800	0.00	0	8
chr21_region	46709983	184800	0.00	0	8
chr22	50818468	148887858	2.93	0	18
chr22_region	50818468	148887858	2.93	0	18
chr22_KI270731v1_random	150754	194400	1.29	0	9
chr22_KI270731v1_random_region	150754	194400	1.29	0	9
chr22_KI270732v1_random	41543	1200	0.03	0	2
chr22_KI270732v1_random_region	41543	1200	0.03	0	2
chr22_KI270734v1_random	165050	172800	1.05	0	7
chr22_KI270734v1_random_region	165050	172800	1.05	0	7
chr22_KI270737v1_random	103838	101700	0.98	0	8
chr22_KI270737v1_random_region	103838	101700	0.98	0	8
chr22_KI270739v1_random	73985	94500	1.28	0	9
chr22_KI270739v1_random_region	73985	94500	1.28	0	9
chr22_GL383582v2_alt	162811	190800	1.17	0	8
chr22_GL383582v2_alt_region	162811	190800	1.17	0	8
chr22_GL383583v2_alt	96924	172500	1.78	0	9
chr22_GL383583v2_alt_region	96924	172500	1.78	0	9
chr22_KB663609v1_alt	74013	69900	0.94	0	8
chr22_KB663609v1_alt_region	74013	69900	0.94	0	8
chr22_KI270875v1_alt	259914	459900	1.77	0	12
chr22_KI270875v1_alt_region	259914	459900	1.77	0	12
chr22_KI270876v1_alt	263666	505800	1.92	0	9
chr22_KI270876v1_alt_region	263666	505800	1.92	0	9
chr22_KI270877v1_alt	101331	171300	1.69	0	8
chr22_KI270877v1_alt_region	101331	171300	1.69	0	8
chr22_KI270878v1_alt	186262	285300	1.53	0	9
chr22_KI270878v1_alt_region	186262	285300	1.53	0	9
chr22_KI270879v1_alt	304135	509100	1.67	0	9
chr22_KI270879v1_alt_region	304135	509100	1.67	0	9
chr22_KI270928v1_alt	176103	193800	1.10	0	8
chr22_KI270928v1_alt_region	176103	193800	1.10	0	8
chrX	156040895	2250	0.00	0	1
chrX_region	156040895	2250	0.00	0	1
chrY	57227415	300	0.00	0	1
chrY_region	57227415	300	0.00	0	1
chrUn_GL000214v1	137718	300	0.00	0	1
chrUn_GL000214v1_region	137718	300	0.00	0	1
chrUn_KI270442v1	392061	300	0.00	0	1
chrUn_KI270442v1_region	392061	300	0.00	0	1
chrUn_KI270581v1	7046	8100	1.15	0	4
chrUn_KI270581v1_region	7046	8100	1.15	0	4
chrUn_KI270742v1	186739	44400	0.24	0	8
chrUn_KI270742v1_region	186739	44400	0.24	0	8
chrUn_KI270743v1	210658	15000	0.07	0	3
chrUn_KI270743v1_region	210658	15000	0.07	0	3
chrUn_KI270744v1	168472	300	0.00	0	1
chrUn_KI270744v1_region	168472	300	0.00	0	1
chrUn_KI270749v1	158759	8700	0.05	0	4
chrUn_KI270749v1_region	158759	8700	0.05	0	4
chrUn_KI270751v1	150742	600	0.00	0	1
chrUn_KI270751v1_region	150742	600	0.00	0	1
total	3100649201	153042852	0.05	0	18
total_region	3100649201	153042852	0.05	0	18
