alignment	sequence_count	alignment_length	pi_sites	pi_percent	parse_source	phykit_stdout
1001705at2759.faa.mafft	4	596	20	3.3557046979865772	derived_from_count	20 596 3.3557
1003258at2759.faa.mafft	4	1071	21	1.9607843137254901	derived_from_count	21 1071 1.9608
100698at2759.faa.mafft	4	954	34	3.563941299790356	derived_from_count	34 954 3.5639
1010730at2759.faa.mafft	4	650	23	3.5384615384615383	derived_from_count	23 650 3.5385
1014314at2759.faa.mafft	4	455	17	3.7362637362637363	derived_from_count	17 455 3.7363
1018517at2759.faa.mafft	4	345	24	6.956521739130435	derived_from_count	24 345 6.9565
1019762at2759.faa.mafft	4	918	25	2.7233115468409586	derived_from_count	25 918 2.7233
1025450at2759.faa.mafft	4	594	27	4.545454545454546	derived_from_count	27 594 4.5455
1030907at2759.faa.mafft	4	421	9	2.137767220902613	derived_from_count	9 421 2.1378
1032689at2759.faa.mafft	4	688	21	3.0523255813953485	derived_from_count	21 688 3.0523
1038775at2759.faa.mafft	3	384	0	0.0	derived_from_count	0 384 0.0
1041560at2759.faa.mafft	4	666	27	4.054054054054054	derived_from_count	27 666 4.0541
1049599at2759.faa.mafft	3	551	0	0.0	derived_from_count	0 551 0.0
1051021at2759.faa.mafft	4	891	17	1.9079685746352413	derived_from_count	17 891 1.908
1053181at2759.faa.mafft	3	374	0	0.0	derived_from_count	0 374 0.0
1057950at2759.faa.mafft	4	395	16	4.050632911392405	derived_from_count	16 395 4.0506
1065019at2759.faa.mafft	4	430	25	5.813953488372093	derived_from_count	25 430 5.814
1076134at2759.faa.mafft	4	345	14	4.057971014492753	derived_from_count	14 345 4.058
1079130at2759.faa.mafft	4	563	33	5.86145648312611	derived_from_count	33 563 5.8615
1079827at2759.faa.mafft	4	264	21	7.954545454545454	derived_from_count	21 264 7.9545
1085752at2759.faa.mafft	3	621	0	0.0	derived_from_count	0 621 0.0
1087488at2759.faa.mafft	4	567	25	4.409171075837742	derived_from_count	25 567 4.4092
1090038at2759.faa.mafft	3	556	0	0.0	derived_from_count	0 556 0.0
1094121at2759.faa.mafft	4	251	10	3.9840637450199203	derived_from_count	10 251 3.9841
1096688at2759.faa.mafft	4	481	14	2.9106029106029108	derived_from_count	14 481 2.9106
1106766at2759.faa.mafft	3	745	0	0.0	derived_from_count	0 745 0.0
1107630at2759.faa.mafft	4	520	17	3.2692307692307696	derived_from_count	17 520 3.2692
1108845at2759.faa.mafft	3	501	0	0.0	derived_from_count	0 501 0.0
1111142at2759.faa.mafft	3	800	0	0.0	derived_from_count	0 800 0.0
1112002at2759.faa.mafft	4	1213	51	4.204451772464963	derived_from_count	51 1213 4.2045
1115196at2759.faa.mafft	4	566	26	4.593639575971731	derived_from_count	26 566 4.5936
1128607at2759.faa.mafft	4	366	25	6.830601092896176	derived_from_count	25 366 6.8306
1129824at2759.faa.mafft	4	326	16	4.9079754601226995	derived_from_count	16 326 4.908
1138059at2759.faa.mafft	4	317	14	4.416403785488959	derived_from_count	14 317 4.4164
