Geneid	https://zenodo.org/records/14056162/files/SRR5085168.tabular_SRR5085168
LSR1	30
RME2	14
SCR1	38
YAL001C	12
YAL002W	10
YAL003W	233
YAL005C	82
YAL007C	13
YAL012W	135
YAL016W	95
YAL017W	10
YAL019W	9
YAL021C	17
YAL023C	52
YAL025C	8
YAL026C	25
YAL029C	20
YAL035W	138
YAL036C	25
YAL038W	2118
YAL041W	14
YAL042W	43
YAL043C	6
YAL044C	17
YAL053W	22
YAL056W	28
YAL058W	13
YAL059W	12
YAL060W	11
YAR002C-A	45
YAR003W	15
YAR007C	16
YAR014C	21
YAR015W	104
YAR042W	9
YBL001C	28
YBL002W	43
YBL003C	86
YBL004W	53
YBL007C	29
YBL009W	14
YBL010C	10
YBL011W	19
YBL015W	17
YBL016W	11
YBL017C	48
YBL020W	21
YBL022C	42
YBL023C	21
YBL024W	31
YBL027W	195
YBL028C	16
YBL030C	74
YBL032W	23
YBL033C	12
YBL035C	6
YBL036C	9
YBL037W	10
YBL039C	45
YBL040C	11
YBL041W	11
YBL042C	34
YBL045C	24
YBL047C	47
YBL050W	28
YBL051C	15
YBL052C	16
YBL054W	23
YBL055C	11
YBL056W	43
YBL058W	17
YBL061C	17
YBL064C	12
YBL067C	15
YBL072C	222
YBL076C	196
YBL079W	27
YBL082C	24
YBL085W	9
YBL087C	162
YBL091C	21
YBL092W	154
YBL098W	18
YBL099W	60
YBL102W	12
YBL105C	14
YBR001C	7
YBR003W	5
YBR009C	37
YBR010W	52
YBR011C	81
YBR015C	23
YBR017C	26
YBR023C	41
YBR025C	70
YBR026C	8
YBR028C	10
YBR029C	26
YBR031W	133
YBR034C	49
YBR035C	23
YBR036C	30
YBR038W	12
YBR039W	32
YBR041W	23
YBR042C	13
YBR043C	11
YBR048W	162
YBR049C	10
YBR052C	14
YBR053C	22
YBR054W	8
YBR055C	10
YBR056W	21
YBR058C	13
YBR059C	24
YBR061C	10
YBR067C	27
YBR068C	42
YBR069C	43
YBR073W	26
YBR074W	6
YBR078W	129
YBR079C	82
YBR080C	27
YBR081C	14
YBR082C	20
YBR083W	14
YBR084C-A	95
YBR084W	96
YBR086C	45
YBR087W	6
YBR088C	28
YBR092C	21
YBR093C	37
YBR101C	15
YBR102C	11
YBR103W	12
YBR104W	8
YBR106W	49
YBR109C	28
YBR110W	7
YBR111C	11
YBR115C	25
YBR118W	152
YBR121C	90
YBR122C	6
YBR126C	24
YBR127C	83
YBR129C	8
YBR130C	10
YBR133C	12
YBR139W	9
YBR140C	22
YBR142W	25
YBR143C	83
YBR146W	13
YBR149W	23
YBR151W	14
YBR154C	12
YBR155W	14
YBR158W	57
YBR159W	25
YBR160W	6
YBR162C	88
YBR164C	6
YBR166C	7
YBR170C	7
