record	convention	rank	gene_id	gene_symbol	count_A	count_B	norm_A	norm_B	log2_A_over_B	metric	value
diagnostic	all	0	.	.	.	.	.	.	.	genes	78733
diagnostic	all	0	.	.	.	.	.	.	.	symbols_mapped	78733
diagnostic	all	0	.	.	.	.	.	.	.	inferred_library	unstranded
diagnostic	unstranded	0	ENSG00000136826.17	KLF4	43	843	43.000000	843.000000	-4.277301	top_abs_log2fc_gap	2.456271
diagnostic	unstranded	0	.	.	.	.	.	.	.	library_A	753520
diagnostic	unstranded	0	.	.	.	.	.	.	.	library_B	753569
diagnostic	unstranded	0	.	.	.	.	.	.	.	size_factor_A	1.00000000
diagnostic	unstranded	0	.	.	.	.	.	.	.	size_factor_B	1.00000000
diagnostic	unstranded	0	.	.	.	.	.	.	.	ratio_genes	11971
candidate	unstranded	1	ENSG00000136826.17	KLF4	43	843	43.000000	843.000000	-4.277301	.	.
candidate	unstranded	2	ENSG00000100105.20	PATZ1	7	26	7.000000	26.000000	-1.821030	.	.
candidate	unstranded	3	ENSG00000177602.5	HASPIN	24	7	24.000000	7.000000	1.707819	.	.
candidate	unstranded	4	ENSG00000166275.18	BORCS7	6	20	6.000000	20.000000	-1.657112	.	.
candidate	unstranded	5	ENSG00000142546.16	NOSIP	26	9	26.000000	9.000000	1.479993	.	.
candidate	unstranded	6	ENSG00000111231.11	GPN3	31	11	31.000000	11.000000	1.453718	.	.
candidate	unstranded	7	ENSG00000203326.14	ZNF525	20	7	20.000000	7.000000	1.450661	.	.
candidate	unstranded	8	ENSG00000148841.19	ITPRIP	20	7	20.000000	7.000000	1.450661	.	.
candidate	unstranded	9	ENSG00000132661.6	NXT1	7	20	7.000000	20.000000	-1.450661	.	.
candidate	unstranded	10	ENSG00000137364.7	TPMT	52	19	52.000000	19.000000	1.428843	.	.
candidate	unstranded	11	ENSG00000131013.6	PPIL4	12	32	12.000000	32.000000	-1.378512	.	.
candidate	unstranded	12	ENSG00000148158.19	SNX30	21	8	21.000000	8.000000	1.338802	.	.
candidate	unstranded	13	ENSG00000144354.17	CDCA7	21	8	21.000000	8.000000	1.338802	.	.
candidate	unstranded	14	ENSG00000087157.21	PGS1	33	13	33.000000	13.000000	1.311202	.	.
candidate	unstranded	15	ENSG00000080298.18	RFX3	12	30	12.000000	30.000000	-1.286881	.	.
candidate	unstranded	16	ENSG00000213190.6	MLLT11	10	25	10.000000	25.000000	-1.280108	.	.
candidate	unstranded	17	ENSG00000087842.13	PIR	25	10	25.000000	10.000000	1.280108	.	.
candidate	unstranded	18	ENSG00000155256.20	ZFYVE27	8	20	8.000000	20.000000	-1.270089	.	.
candidate	unstranded	19	ENSG00000154814.16	OXNAD1	8	20	8.000000	20.000000	-1.270089	.	.
candidate	unstranded	20	ENSG00000152082.17	MZT2B	8	20	8.000000	20.000000	-1.270089	.	.
diagnostic	first_strand	0	.	.	.	.	.	.	.	library_A	441094
diagnostic	first_strand	0	.	.	.	.	.	.	.	library_B	439932
diagnostic	first_strand	0	.	.	.	.	.	.	.	size_factor_A	1.00000000
diagnostic	first_strand	0	.	.	.	.	.	.	.	size_factor_B	1.00000000
diagnostic	first_strand	0	.	.	.	.	.	.	.	ratio_genes	12840
candidate	first_strand	1	ENSG00000289987.1	ENSG00000289987	1	68	1.000000	68.000000	-5.513070	.	.
candidate	first_strand	2	ENSG00000136826.17	KLF4	24	514	24.000000	514.000000	-4.392317	.	.
candidate	first_strand	3	ENSG00000124459.14	ZNF45	21	4	21.000000	4.000000	2.256340	.	.
candidate	first_strand	4	ENSG00000151445.18	VIPAS39	5	21	5.000000	21.000000	-1.966833	.	.
candidate	first_strand	5	ENSG00000080298.18	RFX3	5	20	5.000000	20.000000	-1.898120	.	.
candidate	first_strand	6	ENSG00000100949.17	RABGGTA	6	23	6.000000	23.000000	-1.854149	.	.
candidate	first_strand	7	ENSG00000123329.22	ARHGAP9	10	31	10.000000	31.000000	-1.584963	.	.
candidate	first_strand	8	ENSG00000178695.6	KCTD12	22	7	22.000000	7.000000	1.584963	.	.
candidate	first_strand	9	ENSG00000141293.19	SKAP1	30	10	30.000000	10.000000	1.538420	.	.
candidate	first_strand	10	ENSG00000151474.24	FRMD4A	9	27	9.000000	27.000000	-1.533432	.	.
candidate	first_strand	11	ENSG00000169991.12	IFFO2	7	21	7.000000	21.000000	-1.519374	.	.
candidate	first_strand	12	ENSG00000131089.19	ARHGEF9	7	21	7.000000	21.000000	-1.519374	.	.
candidate	first_strand	13	ENSG00000112578.13	BYSL	7	21	7.000000	21.000000	-1.519374	.	.
candidate	first_strand	14	ENSG00000103005.15	USB1	7	20	7.000000	20.000000	-1.450661	.	.
candidate	first_strand	15	ENSG00000135046.17	ANXA1	9	25	9.000000	25.000000	-1.424498	.	.
candidate	first_strand	16	ENSG00000100196.13	KDELR3	8	21	8.000000	21.000000	-1.338802	.	.
candidate	first_strand	17	ENSG00000286168.3	ENSG00000286168	21	8	21.000000	8.000000	1.338802	.	.
candidate	first_strand	18	ENSG00000154781.18	CCDC174	21	8	21.000000	8.000000	1.338802	.	.
candidate	first_strand	19	ENSG00000101811.17	CSTF2	21	8	21.000000	8.000000	1.338802	.	.
candidate	first_strand	20	ENSG00000159921.22	GNE	26	10	26.000000	10.000000	1.335603	.	.
diagnostic	second_strand	0	.	.	.	.	.	.	.	library_A	435939
diagnostic	second_strand	0	.	.	.	.	.	.	.	library_B	436353
diagnostic	second_strand	0	.	.	.	.	.	.	.	size_factor_A	1.00000000
diagnostic	second_strand	0	.	.	.	.	.	.	.	size_factor_B	1.00000000
diagnostic	second_strand	0	.	.	.	.	.	.	.	ratio_genes	12939
candidate	second_strand	1	ENSG00000136826.17	KLF4	24	469	24.000000	469.000000	-4.260272	.	.
candidate	second_strand	2	ENSG00000289987.1	ENSG00000289987	4	72	4.000000	72.000000	-4.009984	.	.
candidate	second_strand	3	ENSG00000163832.18	ELP6	24	3	24.000000	3.000000	2.807355	.	.
candidate	second_strand	4	ENSG00000099797.17	TECR	4	20	4.000000	20.000000	-2.187627	.	.
candidate	second_strand	5	ENSG00000166619.17	BLCAP	22	6	22.000000	6.000000	1.791413	.	.
candidate	second_strand	6	ENSG00000234444.11	ZNF736	6	21	6.000000	21.000000	-1.725825	.	.
candidate	second_strand	7	ENSG00000100196.13	KDELR3	6	21	6.000000	21.000000	-1.725825	.	.
candidate	second_strand	8	ENSG00000186532.14	SMYD4	6	20	6.000000	20.000000	-1.657112	.	.
candidate	second_strand	9	ENSG00000131013.6	PPIL4	6	20	6.000000	20.000000	-1.657112	.	.
candidate	second_strand	10	ENSG00000137364.7	TPMT	24	8	24.000000	8.000000	1.527247	.	.
candidate	second_strand	11	ENSG00000187713.7	TMEM203	20	7	20.000000	7.000000	1.450661	.	.
candidate	second_strand	12	ENSG00000104472.12	CHRAC1	13	36	13.000000	36.000000	-1.434937	.	.
candidate	second_strand	13	ENSG00000180233.13	ZNRF2	25	9	25.000000	9.000000	1.424498	.	.
candidate	second_strand	14	ENSG00000104660.20	LEPROTL1	9	25	9.000000	25.000000	-1.424498	.	.
candidate	second_strand	15	ENSG00000082258.15	CCNT2	9	25	9.000000	25.000000	-1.424498	.	.
candidate	second_strand	16	ENSG00000303709.1	ENSG00000303709	17	45	17.000000	45.000000	-1.378512	.	.
candidate	second_strand	17	ENSG00000198689.15	SLC9A6	9	24	9.000000	24.000000	-1.366782	.	.
candidate	second_strand	18	ENSG00000291206.2	GTF2IRD1P1	8	21	8.000000	21.000000	-1.338802	.	.
candidate	second_strand	19	ENSG00000076351.15	SLC46A1	8	21	8.000000	21.000000	-1.338802	.	.
candidate	second_strand	20	ENSG00000179387.12	ELMOD2	21	8	21.000000	8.000000	1.338802	.	.
