Reciprocal isoform-switch confirmation
Input: terminal Kallisto abundance tables against GENCODE v47 human transcripts
Criterion: both reciprocal isoforms have >=20 estimated counts in their enriched sample and <=0.5 in the other, with >=40 combined gene counts
Kallisto estimated library counts: sampleA=187558.997979, sampleB=186205.004817
Genes with >=2 quantified transcripts checked: 34155
Reciprocal switch candidates: 94
rank	gene_id	HGNC_symbol	switch_support
1	ENSG00000203970.4	DEFB110	198.000000
2	ENSG00000030419.17	IKZF2	98.197300
3	ENSG00000086758.17	HUWE1	79.791000
4	ENSG00000141367.14	CLTC	76.023200
5	ENSG00000162244.12	RPL29	64.050600
6	ENSG00000167986.15	DDB1	55.237100
7	ENSG00000100353.18	EIF3D	53.000000
8	ENSG00000051108.15	HERPUD1	51.583100
9	ENSG00000101265.16	RASSF2	47.000000
10	ENSG00000092199.19	HNRNPC	46.327100
11	ENSG00000198961.10	PJA2	44.000000
12	ENSG00000100201.23	DDX17	39.941700
13	ENSG00000164924.18	YWHAZ	35.179400
14	ENSG00000107263.19	RAPGEF1	35.153100
15	ENSG00000165119.22	HNRNPK	34.135000
16	ENSG00000197442.11	MAP3K5	33.729500
17	ENSG00000197102.14	DYNC1H1	33.546000
18	ENSG00000196235.14	SUPT5H	33.413400
19	ENSG00000014216.16	CAPN1	32.979100
20	ENSG00000122884.13	P4HA1	32.853200
21	ENSG00000087460.29	GNAS	31.936200
22	ENSG00000196498.15	NCOR2	31.153800
23	ENSG00000179222.18	MAGED1	30.620400
24	ENSG00000189057.11	FAM111B	30.363000
25	ENSG00000055917.17	PUM2	29.477200
26	ENSG00000147140.17	NONO	29.320000
27	ENSG00000167325.15	RRM1	29.000000
28	ENSG00000104320.15	NBN	28.842600
29	ENSG00000198492.16	YTHDF2	27.994100
30	ENSG00000196305.19	IARS1	27.329000
31	ENSG00000152601.18	MBNL1	27.328400
32	ENSG00000119408.17	NEK6	27.203700
33	ENSG00000124422.12	USP22	27.063300
34	ENSG00000028137.19	TNFRSF1B	26.996500
35	ENSG00000171862.16	PTEN	26.976500
36	ENSG00000055332.19	EIF2AK2	26.968600
37	ENSG00000080603.17	SRCAP	26.864600
38	ENSG00000111331.14	OAS3	26.757200
39	ENSG00000115760.16	BIRC6	26.694600
40	ENSG00000020633.19	RUNX3	26.566100
41	ENSG00000130816.17	DNMT1	26.268100
42	ENSG00000111642.16	CHD4	25.995400
43	ENSG00000180628.15	PCGF5	25.729300
44	ENSG00000150093.20	ITGB1	25.596200
45	ENSG00000152332.16	UHMK1	25.335900
46	ENSG00000120694.20	HSPH1	25.326400
47	ENSG00000196628.20	TCF4	24.802900
48	ENSG00000178252.19	WDR6	24.157200
49	ENSG00000197312.13	DDI2	23.825700
50	ENSG00000145901.17	TNIP1	23.798900
51	ENSG00000110422.12	HIPK3	23.624700
52	ENSG00000090861.17	AARS1	23.574500
53	ENSG00000153827.15	TRIP12	23.555800
54	ENSG00000182944.18	EWSR1	23.548900
55	ENSG00000131467.12	PSME3	23.448800
56	ENSG00000171940.14	ZNF217	23.407000
57	ENSG00000126457.22	PRMT1	23.313200
58	ENSG00000143603.19	KCNN3	23.283600
59	ENSG00000139697.14	SBNO1	22.999200
60	ENSG00000065000.20	AP3D1	22.964300
61	ENSG00000157601.15	MX1	22.905900
62	ENSG00000167895.16	TMC8	22.901900
63	ENSG00000081237.22	PTPRC	22.631300
64	ENSG00000108559.13	NUP88	22.552400
65	ENSG00000102606.20	ARHGEF7	22.482300
66	ENSG00000168374.11	ARF4	22.313400
67	ENSG00000197694.19	SPTAN1	22.157700
68	ENSG00000145685.14	LHFPL2	22.000000
69	ENSG00000196591.12	HDAC2	21.934800
70	ENSG00000033170.17	FUT8	21.895200
71	ENSG00000143569.20	UBAP2L	21.856400
72	ENSG00000168016.15	TRANK1	21.766700
73	ENSG00000135677.11	GNS	21.531200
74	ENSG00000109320.14	NFKB1	21.417000
75	ENSG00000077235.18	GTF3C1	21.112500
76	ENSG00000112992.18	NNT	21.032000
77	ENSG00000131238.18	PPT1	21.023100
78	ENSG00000089737.19	DDX24	21.000000
79	ENSG00000138674.17	SEC31A	20.999800
80	ENSG00000156030.14	MIDEAS	20.999200
81	ENSG00000100697.17	DICER1	20.967600
82	ENSG00000197451.12	HNRNPAB	20.941900
83	ENSG00000079785.16	DDX1	20.873600
84	ENSG00000103018.18	CYB5B	20.831700
85	ENSG00000196586.17	MYO6	20.819900
86	ENSG00000108389.10	MTMR4	20.696200
87	ENSG00000117724.15	CENPF	20.682800
88	ENSG00000100503.27	NIN	20.673200
89	ENSG00000085832.18	EPS15	20.655700
90	ENSG00000149273.15	RPS3	20.396200
91	ENSG00000134802.18	SLC43A3	20.375700
92	ENSG00000187109.15	NAP1L1	20.363100
93	ENSG00000117859.19	OSBPL9	20.223900
94	ENSG00000100883.13	SRP54	20.197700
