Kallisto within-gene isoform-usage comparison
Reference: GENCODE v47 human annotation (GRCh38 / Ensembl 113)
Abundance rows: sampleA=385659, sampleB=385659
Estimated counts: sampleA=187558.997979, sampleB=186205.004817
GTF transcript mappings: 0 transcript keys
Top-ranked eligible genes: 6195
Ranking statistic: multinomial G statistic for a change in within-gene isoform usage; eligible genes have >=10 combined estimated counts and >=2 reference transcripts.
rank	gene_id	HGNC_symbol	usage_G_stat	max_abs_usage_delta	sampleA_est_counts	sampleB_est_counts
1	ENSG00000203970.4	DEFB110	554.477744	1.000000	198.000000	202.000000
2	ENSG00000115415.21	STAT1	467.137309	0.459013	355.000235	353.335940
3	ENSG00000165119.22	HNRNPK	360.599634	0.323488	192.999964	202.999914
4	ENSG00000086758.17	HUWE1	356.263028	0.937126	129.999935	135.000026
5	ENSG00000030419.17	IKZF2	325.482936	0.967960	141.999801	103.000055
6	ENSG00000141367.14	CLTC	294.742543	0.525985	153.000015	167.999941
7	ENSG00000156508.19	EEF1A1	293.145273	0.068790	3386.463286	3383.930081
8	ENSG00000196924.19	FLNA	286.645683	0.914454	124.000148	114.000052
9	ENSG00000215301.11	DDX3X	259.929074	0.667788	147.999790	134.000030
10	ENSG00000115053.17	NCL	253.445214	0.293316	224.000172	192.000039
11	ENSG00000162244.12	RPL29	243.416338	0.534957	160.887055	177.999983
12	ENSG00000092199.19	HNRNPC	223.980230	0.335205	142.999966	145.773652
13	ENSG00000111642.16	CHD4	205.643869	0.445587	77.999949	71.000021
14	ENSG00000167986.15	DDB1	201.271560	0.859508	64.999993	82.000025
15	ENSG00000087460.29	GNAS	200.810594	0.261321	142.000034	122.000012
16	ENSG00000153827.15	TRIP12	187.184394	0.377514	78.000040	91.999937
17	ENSG00000187109.15	NAP1L1	180.074561	0.293448	188.000080	207.000150
18	ENSG00000122218.17	COPA	179.250212	0.451221	81.999963	78.000077
19	ENSG00000196305.19	IARS1	177.412775	0.446886	62.999985	64.999957
20	ENSG00000082898.19	XPO1	167.847484	0.688976	86.999948	81.999900
