resolution	bin1	bin2	H1_raw	HFF_raw	H1_distance_median	HFF_distance_median	H1_OE	HFF_OE	log2_H1_over_HFF_OE
5000	7625000	7760000	1	9	18	10.5	0.081081081	0.86363636	-3.4129868
5000	7625000	7780000	5	0	17.5	11	0.30555556	0.043478261	2.8130686
5000	7630000	7720000	3	13	19	16	0.17948718	0.81818182	-2.1885407
5000	7630000	7795000	5	12	19	9.5	0.28205128	1.25	-2.1478987
5000	7715000	7800000	131	32	17	16	7.5142857	1.969697	1.9316623
10000	7620000	7760000	12	27	73	44	0.17006803	0.61797753	-1.8614424
5000	7625000	7740000	4	9	20	12	0.2195122	0.76	-1.7916983
5000	7630000	7785000	2	5	17.5	11	0.13888889	0.47826087	-1.7838666
5000	7715000	7795000	73	25	17	18	4.2	1.3783784	1.6074174
5000	7710000	7800000	125	35	19	16	6.4358974	2.1515152	1.5807883
5000	7635000	7780000	5	8	19	10	0.28205128	0.80952381	-1.521116
5000	7715000	7785000	83	22	21	16	3.8837209	1.3636364	1.5099806
10000	7710000	7800000	527	161	74	61.5	7.0805369	2.6048387	1.4426647
5000	7625000	7685000	15	4	26	20	0.58490566	0.2195122	1.4139029
5000	7625000	7795000	5	12	14	12	0.37931034	1	-1.3985494
5000	7630000	7730000	4	7	19	12	0.23076923	0.6	-1.3785116
5000	7635000	7750000	10	2	20	12	0.51219512	0.2	1.3566935
5000	7710000	7790000	79	33	17	18	4.5428571	1.8108108	1.3269641
5000	7625000	7800000	5	9	16	11	0.33333333	0.82608696	-1.3093281
5000	7635000	7795000	7	10	18	10	0.40540541	1	-1.3025628
5000	7660000	7780000	22	28	18	9	1.2162162	3	-1.3025628
10000	7630000	7780000	25	28	93	42	0.27272727	0.67058824	-1.2979682
5000	7725000	7805000	82	35	17	18	4.7142857	1.9189189	1.2967454
10000	7710000	7790000	278	112	62	61	4.456	1.8292683	1.2844825
5000	7730000	7785000	62	21	26.5	22	2.3148148	0.95555556	1.2764851
5000	7715000	7805000	149	52	19	16	7.6666667	3.1818182	1.2687481
10000	7620000	7790000	19	26	69.5	39.5	0.27857143	0.6625	-1.2498732
5000	7725000	7790000	66	27	24	23.5	2.7142857	1.1458333	1.2441754
5000	7670000	7805000	54	76	18	10.5	2.9459459	6.9545455	-1.2392253
5000	7640000	7710000	41	13	21	16	1.9302326	0.81818182	1.2382813
5000	7680000	7800000	61	74	18	9	3.3243243	7.8421053	-1.2381799
5000	7625000	7770000	6	1	19	10	0.33333333	0.14285714	1.2223924
5000	7720000	7785000	79	33	24	23.5	3.244898	1.3958333	1.2170464
5000	7645000	7765000	15	18	18	9	0.83783784	1.9473684	-1.2167829
5000	7625000	7755000	5	9	16	12	0.33333333	0.76	-1.1890338
5000	7625000	7765000	3	7	17	16	0.2	0.45454545	-1.1844246
5000	7710000	7805000	122	42	15.5	12	7.65625	3.4	1.1711032
5000	7630000	7765000	6	8	18	10.5	0.35135135	0.77272727	-1.1370449
5000	7625000	7715000	3	6	19	16	0.17948718	0.39393939	-1.1340929
5000	7700000	7755000	18	33	26.5	22	0.68518519	1.4888889	-1.1196702
5000	7660000	7745000	12	25	17	16	0.71428571	1.5454545	-1.113458
5000	7650000	7795000	12	14	19	10	0.64102564	1.3809524	-1.1072096
5000	7630000	7650000	20	46	72	76	0.28275862	0.60784314	-1.1041281
10000	7620000	7730000	15	22	73.5	49.5	0.20945946	0.45	-1.103254
5000	7635000	7740000	5	9	17.5	14	0.30555556	0.65517241	-1.1004399
5000	7665000	7800000	40	51	18	10.5	2.1891892	4.6818182	-1.0966723
5000	7630000	7725000	4	7	15.5	12	0.28125	0.6	-1.0931094
5000	7760000	7785000	89	45	54	58.5	1.6422018	0.77118644	1.0904799
5000	7705000	7795000	56	22	19	16	2.8974359	1.3636364	1.0873178
5000	7640000	7770000	11	18	16	12	0.6969697	1.48	-1.0864293
5000	7630000	7690000	9	3	26	20	0.35849057	0.17073171	1.0702041
5000	7700000	7735000	26	49	42	38	0.62352941	1.2857143	-1.0440406
