chr	start
chr1	20014826
chr1	20015797
chr1	21097399
chr1	21178586
chr1	26497766
chr1	26527809
chr1	31653967
chr1	31681613
chr1	65610380
chr1	65638929
chr1	89742560
chr1	89767603
chr1	101836779
chr1	101871722
chr1	110054221
chr1	110077054
chr1	153484203
chr1	153583065
chr1	158087748
chr1	158104395
chr1	158497183
chr1	158596355
chr1	167609473
chr1	167657742
chr1	203051889
chr1	203074801
chr1	234451145
chr1	234510354
chr1	244400994
chr1	244481087
chr1	246199762
chr1	246231154
chr10	835166
chr10	856787
chr10	1282827
chr10	1375369
chr10	4657846
chr10	4746344
chr10	13972302
chr10	13978387
chr10	14711811
chr10	14734389
chr10	14738118
chr10	14779490
chr10	15033504
chr10	15064273
chr10	28175300
chr10	28188642
chr10	30663367
chr10	30667006
chr10	50411153
chr10	50508227
chr10	51505476
chr10	51540905
chr10	101715378
chr10	101766260
chr10	103845327
chr10	103883526
chr10	119167149
chr10	119199182
chr10	126135437
chr10	126182620
chr10	134706182
chr10	134726840
chr10	134749427
chr10	134775519
chr10	135067054
chr10	135094208
chr11	7506859
chr11	7548422
chr11	7613561
chr11	7669026
chr11	18433719
chr11	18520950
chr11	33799670
chr11	33842841
chr11	45879738
chr11	45882360
chr11	63380641
chr11	63396490
chr11	67917029
chr11	67956508
chr11	73680869
chr11	73700409
chr11	112329492
chr11	112396689
chr11	118638092
chr11	118679303
chr11	124200202
chr11	124224031
chr11	129186097
chr11	129214457
chr11	131693124
chr11	131694875
chr11	134117406
chr11	134136830
chr12	1778133
chr12	1783043
chr12	27960433
chr12	27994865
chr12	31896012
chr12	31911225
chr12	64278071
chr12	64368844
chr12	95348230
chr12	95369524
chr12	117300717
chr12	117326853
chr13	21900524
chr13	21932037
chr13	34245628
chr13	34250923
chr13	34291786
chr13	34364474
chr13	42086793
chr13	42108208
chr13	43952263
chr13	44003075
chr13	46332648
chr13	46356334
chr13	73816746
chr13	73908845
chr13	103507228
chr13	103538573
chr13	110304259
chr13	110335632
chr13	110364592
chr13	110384507
chr14	21199253
chr14	21215313
chr14	21457094
chr14	21507596
chr14	34459170
chr14	34488309
chr14	51593192
chr14	51606335
chr14	59452018
chr14	59522339
chr14	73186448
chr14	73277091
chr14	74765892
chr14	74836778
chr14	77209398
chr14	77279571
chr14	78388325
chr14	78471840
chr14	90114982
chr14	90154010
chr14	92864105
chr14	92927410
chr14	102994304
chr14	103036171
chr14	105135492
chr14	105161274
chr15	31113254
chr15	31115708
chr15	31500992
chr15	31534295
chr15	39637843
chr15	39645825
chr15	50364604
chr15	50392820
chr15	67125112
chr15	67169203
chr15	79171538
chr15	79253595
chr15	85853876
chr15	85951764
chr15	89569796
chr15	89613972
chr15	89972453
chr15	89997418
chr15	91966230
chr15	92036952
chr15	93277430
chr15	93335662
chr15	94813342
chr15	94868512
chr15	98676049
chr15	98703634
chr16	527484
chr16	585020
chr16	27358350
chr16	27421374
chr16	50103825
chr16	50138099
chr16	78068547
chr16	78138900
chr16	78482099
chr16	78512539
chr16	78573059
chr16	78639375
chr16	84335214
chr16	84414163
chr16	84787856
chr16	84839953
chr16	85368574
chr16	85427387
chr16	85720954
chr16	85783558
chr16	89167137
chr16	89191963
chr17	41263
chr17	66282
chr17	15778163
chr17	15787051
chr17	15787051
chr17	15878330
chr17	30822619
chr17	30878843
chr17	53653603
chr17	53725119
chr17	54040368
chr17	54080236
chr17	57881757
chr17	57976657
chr17	62079333
chr17	62079941
chr17	64475440
chr17	64479466
chr17	66136226
chr17	66224249
chr17	71587576
chr17	71626346
chr17	75860686
chr17	75885952
chr17	78865629
chr17	78911095
chr17	79567995
chr17	79630237
chr18	22896822
chr18	22940393
chr18	45206448
chr18	45243158
chr18	51915448
chr18	51915705
chr18	61248638
chr18	61253489
chr18	68149930
chr18	68220707
chr18	72947449
chr18	72974688
chr18	74961634
chr18	75050683
chr19	797988
chr19	891947
chr19	6997139
chr19	7004531
chr19	12802011
chr19	12876963
chr19	17075036
chr19	17120508
chr19	35587281
chr19	35670979
chr19	46718210
chr19	46778729
chr19	48694100
chr19	48756915
chr19	49342268
chr19	49418105
chr19	53150330
chr19	53152952
chr19	53983447
chr19	53985882
chr19	54050322
chr19	54050322
chr19	54050322
chr19	54073683
chr19	58481459
chr19	58513476
chr19	58516043
chr19	58545432
chr2	3487331
chr2	3487570
chr2	10930902
chr2	10968547
chr2	11021200
chr2	11106004
chr2	18259105
chr2	18309489
chr2	25096691
chr2	25166224
chr2	37981358
chr2	38060188
chr2	42309268
chr2	42337669
chr2	88469862
chr2	88532347
chr2	110222992
chr2	110316284
chr2	120006247
chr2	120048536
chr2	123733053
chr2	123831046
chr2	138700819
chr2	138710195
chr2	156390991
chr2	156490876
chr2	217921209
chr2	217950887
chr2	220108422
chr2	220177602
chr2	232290892
chr2	232301692
chr2	242606259
chr2	242628953
chr20	2949191
chr20	2981749
chr20	5673945
chr20	5681986
chr20	43312359
chr20	43377143
chr20	44214167
chr20	44226027
chr20	57117092
chr20	57209687
chr20	61641847
chr20	61692941
chr21	15352656
chr21	15365664
chr21	44224593
chr21	44238538
chr21	46690631
chr21	46709191
chr21	46722169
chr21	46789983
chr21	46898173
chr21	46936239
chr21	46949209
chr21	46984818
chr21	47716546
chr21	47801117
chr21	47960492
chr21	47997011
chr22	22305020
chr22	22363051
chr22	44116661
chr22	44183079
chr22	45668471
chr22	45737480
chr22	50480952
chr22	50528292
chr3	14257977
chr3	14346505
chr3	42387539
chr3	42471724
chr3	42976624
chr3	43073160
chr3	101170143
chr3	101186483
chr3	122694024
chr3	122730154
chr3	125680892
chr3	125709049
chr3	127552984
