metric	value
fragment_rows	100000
weighted_fragments	139845
all_tss_sites	117651
protein_coding_tss_sites	63667

ALL_TSS
candidate_shift	correction	center_count	flank_count	center_flank_ratio
start_candidates
-10	14	3305	19384	1.640062
-9	13	3334	19384	1.654452
-8	12	3394	19344	1.687709
-7	11	3391	19451	1.676942
-6	10	3339	19369	1.658217
-5	9	3316	19298	1.652853
-4	8	3271	19312	1.629241
-3	7	3335	19311	1.661205
-2	6	3299	19286	1.645403
-1	5	3343	19297	1.666398
0	4	3348	19330	1.666041
1	3	3364	19292	1.677300
2	2	3401	19330	1.692415
3	1	3334	19317	1.660191
4	0	3332	19239	1.665922
5	-1	3344	19230	1.672704
6	-2	3342	19191	1.675101
7	-3	3296	19169	1.653940
8	-4	3251	19196	1.629065
9	-5	3257	19212	1.630712
10	-6	3301	19248	1.649651
11	-7	3304	19236	1.652180
12	-8	3260	19287	1.625867
13	-9	3165	19314	1.576281
14	-10	3150	19301	1.569867
15	-11	3171	19271	1.582793
start_top3
2	2	3401	19330	1.692415
-8	12	3394	19344	1.687709
1	3	3364	19292	1.677300
end_candidates
-10	5	3232	19580	1.587782
-9	4	3200	19555	1.574071
-8	3	3201	19596	1.571268
-7	2	3220	19604	1.579950
-6	1	3280	19622	1.607913
-5	0	3304	19648	1.617535
-4	-1	3310	19650	1.620308
-3	-2	3296	19690	1.610177
-2	-3	3303	19680	1.614416
-1	-4	3300	19695	1.611722
0	-5	3279	19727	1.598867
1	-6	3243	19703	1.583240
2	-7	3250	19686	1.588027
3	-8	3268	19713	1.594635
4	-9	3261	19750	1.588239
5	-10	3261	19827	1.582071
6	-11	3257	19777	1.584125
7	-12	3282	19819	1.592901
8	-13	3281	19870	1.588329
9	-14	3308	19885	1.600192
10	-15	3198	19919	1.544340
11	-16	3183	19969	1.533248
12	-17	3249	19968	1.565118
13	-18	3291	20012	1.581865
14	-19	3282	20037	1.575571
15	-20	3230	20018	1.552079
end_top3
-4	-1	3310	19650	1.620308
-5	0	3304	19648	1.617535
-2	-3	3303	19680	1.614416
profile_no_correction
relative_position	start_plus	start_minus	end_plus	end_minus
-60	71	67	91	64
-59	99	83	71	90
-58	114	70	66	80
-57	90	60	105	103
-56	76	105	72	84
-55	89	60	103	99
-54	95	79	66	83
-53	90	71	77	86
-52	109	47	80	75
-51	98	52	83	78
-50	66	108	79	82
-49	81	79	91	67
-48	118	96	102	83
-47	70	65	115	80
-46	53	87	80	65
-45	85	94	82	79
-44	57	98	82	73
-43	75	82	89	98
-42	75	97	101	68
-41	65	102	100	74
-40	103	121	117	78
-39	77	62	117	98
-38	84	87	108	71
-37	106	85	94	44
-36	86	75	55	66
-35	82	87	98	76
-34	71	65	75	73
-33	92	79	115	58
-32	76	87	103	101
-31	105	60	89	73
-30	109	72	93	73
-29	132	103	73	80
-28	84	70	66	94
-27	89	102	74	76
-26	74	96	88	65
-25	73	92	93	58
-24	73	86	87	100
-23	90	93	71	49
-22	99	76	81	58
-21	74	84	105	77
-20	88	92	91	65
-19	118	75	83	54
-18	73	84	87	74
-17	94	71	67	60
-16	81	81	91	54
-15	80	68	101	70
-14	84	77	79	74
-13	76	79	86	66
-12	109	69	74	63
-11	67	106	112	45
-10	80	67	87	81
-9	29	75	99	63
-8	92	84	112	57
-7	83	92	88	55
-6	68	106	92	51
-5	50	70	89	94
-4	51	103	91	82
-3	100	111	83	55
-2	97	59	92	83
-1	74	90	84	32
0	79	58	96	44
1	51	101	69	64
2	101	126	61	70
3	96	86	104	55
4	47	79	144	45
5	113	54	94	84
6	52	70	71	57
7	83	102	88	76
8	96	72	104	35
9	65	87	152	60
10	65	68	106	55
11	54	67	103	51
12	45	98	82	81
13	39	67	88	56
14	63	75	87	63
15	76	73	58	53
16	67	58	83	63
17	62	92	83	63
18	58	70	82	57
19	53	87	101	45
20	68	76	83	77
21	74	115	59	47
22	84	79	68	67
23	79	73	94	57
24	57	84	86	64
25	58	86	58	38
26	68	51	108	36
27	78	52	112	37
28	50	101	91	27
29	57	81	72	40
30	46	59	90	36
31	51	85	80	51
32	90	76	63	60
33	73	86	56	44
34	63	93	56	31
35	41	62	71	54
36	50	65	65	53
37	46	64	109	50
38	37	58	87	134
39	38	51	85	40
40	64	57	95	43
41	54	57	76	63
42	50	59	85	49
43	66	68	71	68
44	56	59	93	59
45	64	77	58	49
46	64	56	67	53
47	46	83	108	34
48	122	89	62	32
49	54	59	61	34
50	73	64	69	36
51	61	68	61	26
52	33	48	61	43
53	38	72	72	60
54	53	67	59	46
55	44	66	59	44
56	33	52	84	22
57	49	104	66	47
58	35	68	63	46
59	65	58	76	39
60	43	45	63	44

PROTEIN_CODING_TSS
candidate_shift	correction	center_count	flank_count	center_flank_ratio
start_candidates
-10	14	2824	16122	1.684914
-9	13	2843	16112	1.697303
-8	12	2887	16089	1.726036
-7	11	2887	16191	1.715162
-6	10	2844	16117	1.697374
-5	9	2815	16056	1.686449
-4	8	2770	16071	1.657941
-3	7	2813	16081	1.682630
-2	6	2795	16049	1.675197
-1	5	2818	16074	1.686355
0	4	2811	16107	1.678720
1	3	2836	16097	1.694702
2	2	2861	16126	1.706567
3	1	2790	16125	1.664319
4	0	2788	16065	1.669337
5	-1	2795	16066	1.673425
6	-2	2810	16041	1.685027
7	-3	2770	16015	1.663738
8	-4	2727	16048	1.634543
9	-5	2746	16056	1.645111
10	-6	2794	16088	1.670538
11	-7	2805	16089	1.677011
12	-8	2770	16121	1.652798
13	-9	2695	16158	1.604365
14	-10	2683	16143	1.598706
15	-11	2693	16117	1.607253
start_top3
-8	12	2887	16089	1.726036
-7	11	2887	16191	1.715162
2	2	2861	16126	1.706567
end_candidates
-10	5	2705	16202	1.605945
-9	4	2678	16175	1.592569
-8	3	2681	16226	1.589342
-7	2	2698	16241	1.597943
-6	1	2753	16268	1.627812
-5	0	2780	16297	1.640851
-4	-1	2786	16312	1.642880
-3	-2	2768	16338	1.629668
-2	-3	2771	16342	1.631035
-1	-4	2778	16380	1.631362
0	-5	2770	16399	1.624780
1	-6	2746	16366	1.613950
2	-7	2760	16345	1.624263
3	-8	2782	16359	1.635808
4	-9	2788	16372	1.638035
5	-10	2774	16448	1.622279
6	-11	2762	16418	1.618212
7	-12	2796	16450	1.634946
8	-13	2802	16492	1.634282
9	-14	2821	16506	1.643968
10	-15	2720	16527	1.583095
11	-16	2715	16577	1.575419
12	-17	2786	16562	1.618082
13	-18	2819	16588	1.634681
14	-19	2801	16621	1.621019
15	-20	2756	16608	1.596224
end_top3
9	-14	2821	16506	1.643968
-4	-1	2786	16312	1.642880
-5	0	2780	16297	1.640851
profile_no_correction
relative_position	start_plus	start_minus	end_plus	end_minus
-60	61	52	72	59
-59	82	70	50	77
-58	96	53	60	69
-57	75	52	87	89
-56	68	96	59	83
-55	84	51	83	85
-54	81	65	47	69
-53	75	64	64	78
-52	90	38	68	60
-51	79	46	69	68
-50	59	97	65	67
-49	71	69	75	53
-48	93	77	85	72
-47	63	57	88	66
-46	45	69	66	52
-45	71	75	66	66
-44	48	90	72	65
-43	71	65	64	82
-42	70	90	83	56
-41	58	98	87	68
-40	89	99	97	69
-39	66	54	107	85
-38	72	81	87	60
-37	97	75	82	34
-36	70	64	46	55
-35	70	72	90	67
-34	61	57	61	61
-33	77	68	88	51
-32	70	81	90	88
-31	96	44	79	63
-30	98	64	78	60
-29	119	90	67	64
-28	78	61	59	80
-27	73	87	60	68
-26	59	79	81	61
-25	58	86	78	48
-24	64	77	78	81
-23	78	85	60	42
-22	82	61	67	52
-21	65	72	83	63
-20	84	81	86	56
-19	106	66	77	43
-18	64	74	80	64
-17	70	67	55	48
-16	80	73	76	45
-15	75	56	82	62
-14	69	57	70	69
-13	66	68	78	50
-12	95	66	61	49
-11	56	86	91	42
-10	63	56	72	68
-9	20	55	88	56
-8	76	73	97	50
-7	69	81	72	48
-6	50	89	82	39
-5	42	61	67	85
-4	39	88	76	66
-3	85	91	66	39
-2	76	52	72	67
-1	62	75	82	21
0	73	49	86	37
1	41	90	58	58
2	81	110	53	58
3	74	78	92	42
4	40	63	132	32
5	98	42	77	73
6	43	57	60	35
7	79	84	77	63
8	79	67	88	24
9	57	69	130	46
10	58	53	97	49
11	37	60	85	47
12	38	88	67	70
13	35	61	74	43
14	53	66	73	52
15	70	64	47	44
16	59	56	71	48
17	46	76	74	57
18	54	58	66	48
19	45	72	93	38
20	59	61	70	68
21	60	100	48	34
22	75	70	61	50
23	62	64	84	50
24	40	80	69	57
25	46	73	49	35
26	62	40	96	28
27	68	39	102	31
28	38	93	78	25
29	45	72	56	32
30	36	43	81	32
31	47	70	74	46
32	72	68	52	51
33	65	70	48	40
34	51	80	46	27
35	30	59	61	47
36	42	53	47	41
37	42	55	95	46
38	31	44	78	124
39	36	39	77	36
40	52	52	86	39
41	42	44	63	60
42	38	54	73	38
43	56	47	57	61
44	47	50	88	55
45	40	68	48	40
46	56	49	59	45
47	31	58	97	28
48	111	72	46	29
49	46	47	44	25
50	67	59	55	26
51	44	58	49	25
52	24	39	49	38
53	29	56	61	50
54	49	47	45	35
55	35	47	41	34
56	28	38	73	19
57	40	84	57	37
58	25	57	48	38
59	55	49	64	33
60	29	24	55	37
