gene_id	gene_symbol	transcript_id	fpkm_a	fpkm_b	isoform_fraction_a	isoform_fraction_b	delta_isoform_fraction	log2fc_fpkm	gene_switch_score	cuffdiff_log2fc	cuffdiff_p	cuffdiff_q	cuffdiff_significant
ENSG00000156738.18	MS4A1	ENST00000674194.1	175.80455	193.3822	0.81739933	0.68419983	-0.13319949	0.13748263	0.15386584	1.24847	0.01495	0.48953	no
ENSG00000156738.18	MS4A1	ENST00000532073.5	0	18.396001	0	0.065086345	0.065086345	inf	0.15386584	-3.01176	0.04065	0.48953	no
ENSG00000156738.18	MS4A1	ENST00000389939.2	29.72425	54.658853	0.13820224	0.19338686	0.055184628	0.87881478	0.15386584	inf	1	1	no
ENSG00000156738.18	MS4A1	ENST00000345732.9	4.444874	0	0.020666342	0	-0.020666342	-inf	0.15386584	0	1	1	no
ENSG00000156738.18	MS4A1	ENST00000530482.1	0.137796	5.720978	0.00064067942	0.020241222	0.019600543	5.3756559	0.15386584	inf	1	1	no
ENSG00000156738.18	MS4A1	ENST00000532418.1	4.966454	10.481911	0.023091417	0.037085738	0.013994321	1.0776137	0.15386584	0	1	1	no
ENSG00000156738.18	MS4A1	ENST00000527101.5	0	0	0	0	0	0	0.15386584	0	1	1	no
ENSG00000156738.18	MS4A1	ENST00000528313.1	0	0	0	0	0	0	0.15386584	1.68854	0.2556	0.498024	no
ENSG00000156738.18	MS4A1	ENST00000532491.5	0	0	0	0	0	0	0.15386584	0	1	1	no
ENSG00000156738.18	MS4A1	ENST00000533306.6	0	0	0	0	0	0	0.15386584	-inf	1	1	no
ENSG00000156738.18	MS4A1	ENST00000534503.5	0	0	0	0	0	0	0.15386584	0	1	1	no
ENSG00000156738.18	MS4A1	ENST00000534668.6	0	0	0	0	0	0	0.15386584	inf	1	1	no
ENSG00000009307.17	CSDE1	ENST00000524652.2	9.798521	1.373992	0.036384109	0.0052726919	-0.031111417	-2.8341904	0.033813173	0	1	1	no
ENSG00000009307.17	CSDE1	ENST00000339438.10	235.99545	232.21533	0.87630411	0.89112593	0.014821815	-0.023295828	0.033813173	1.4028	0.01275	0.48953	no
ENSG00000009307.17	CSDE1	ENST00000689631.1	18.587493	20.700992	0.069019537	0.079440021	0.010420485	0.1553677	0.033813173	0	1	1	no
ENSG00000009307.17	CSDE1	ENST00000690784.1	0	2.031315	0	0.0077951678	0.0077951678	inf	0.033813173	0	1	1	no
ENSG00000009307.17	CSDE1	ENST00000530784.1	1.938185	1.171378	0.0071969163	0.0044951611	-0.0027017552	-0.72649958	0.033813173	0	1	1	no
ENSG00000009307.17	CSDE1	ENST00000483407.1	2.988056	3.093429	0.011095323	0.011871028	0.00077570537	0.049999735	0.033813173	0	1	1	no
ENSG00000009307.17	CSDE1	ENST00000261443.9	0	0	0	0	0	0	0.033813173	-2.18938	0.0096	0.48953	no
ENSG00000009307.17	CSDE1	ENST00000358528.9	0	0	0	0	0	0	0.033813173	0	1	1	no
ENSG00000009307.17	CSDE1	ENST00000369530.5	0	0	0	0	0	0	0.033813173	-inf	1	1	no
ENSG00000009307.17	CSDE1	ENST00000438362.7	0	0	0	0	0	0	0.033813173	0	1	1	no
ENSG00000009307.17	CSDE1	ENST00000483030.2	0	0	0	0	0	0	0.033813173	0	1	1	no
ENSG00000009307.17	CSDE1	ENST00000525132.1	0	0	0	0	0	0	0.033813173	0	1	1	no
ENSG00000009307.17	CSDE1	ENST00000525878.5	0	0	0	0	0	0	0.033813173	inf	1	1	no
ENSG00000009307.17	CSDE1	ENST00000525970.5	0	0	0	0	0	0	0.033813173	-0.41516	0.7373	0.854647	no
ENSG00000009307.17	CSDE1	ENST00000529046.6	0	0	0	0	0	0	0.033813173	0	1	1	no
ENSG00000009307.17	CSDE1	ENST00000530886.5	0	0	0	0	0	0	0.033813173	inf	1	1	no
ENSG00000009307.17	CSDE1	ENST00000533818.5	0	0	0	0	0	0	0.033813173	0	1	1	no
ENSG00000009307.17	CSDE1	ENST00000534389.2	0	0	0	0	0	0	0.033813173	0	1	1	no
ENSG00000009307.17	CSDE1	ENST00000534699.5	0	0	0	0	0	0	0.033813173	3.50909	0.2436	0.49368	no
ENSG00000009307.17	CSDE1	ENST00000610726.5	0	0	0	0	0	0	0.033813173	0	1	1	no
ENSG00000009307.17	CSDE1	ENST00000684913.1	0	0	0	0	0	0	0.033813173	0	1	1	no
ENSG00000009307.17	CSDE1	ENST00000685676.1	0	0	0	0	0	0	0.033813173	0	1	1	no
ENSG00000009307.17	CSDE1	ENST00000686025.1	0	0	0	0	0	0	0.033813173	0	1	1	no
ENSG00000009307.17	CSDE1	ENST00000686123.1	0	0	0	0	0	0	0.033813173	0	1	1	no
ENSG00000009307.17	CSDE1	ENST00000686235.1	0	0	0	0	0	0	0.033813173	-inf	1	1	no
ENSG00000009307.17	CSDE1	ENST00000686581.1	0	0	0	0	0	0	0.033813173	0	1	1	no
ENSG00000009307.17	CSDE1	ENST00000686667.1	0	0	0	0	0	0	0.033813173	0	1	1	no
ENSG00000009307.17	CSDE1	ENST00000686781.1	0	0	0	0	0	0	0.033813173	0	1	1	no
ENSG00000009307.17	CSDE1	ENST00000687548.1	0	0	0	0	0	0	0.033813173	0	1	1	no
ENSG00000009307.17	CSDE1	ENST00000687759.1	0	0	0	0	0	0	0.033813173	0	1	1	no
ENSG00000009307.17	CSDE1	ENST00000688211.1	0	0	0	0	0	0	0.033813173	0	1	1	no
ENSG00000009307.17	CSDE1	ENST00000688611.1	0	0	0	0	0	0	0.033813173	0	1	1	no
ENSG00000009307.17	CSDE1	ENST00000689217.1	0	0	0	0	0	0	0.033813173	-inf	1	1	no
ENSG00000009307.17	CSDE1	ENST00000689510.1	0	0	0	0	0	0	0.033813173	0	1	1	no
ENSG00000009307.17	CSDE1	ENST00000689573.1	0	0	0	0	0	0	0.033813173	0	1	1	no
ENSG00000009307.17	CSDE1	ENST00000689727.1	0	0	0	0	0	0	0.033813173	0	1	1	no
ENSG00000009307.17	CSDE1	ENST00000689732.1	0	0	0	0	0	0	0.033813173	inf	1	1	no
ENSG00000009307.17	CSDE1	ENST00000689885.1	0	0	0	0	0	0	0.033813173	0	1	1	no
ENSG00000009307.17	CSDE1	ENST00000689989.1	0	0	0	0	0	0	0.033813173	0	1	1	no
ENSG00000009307.17	CSDE1	ENST00000690013.1	0	0	0	0	0	0	0.033813173	0	1	1	no
ENSG00000009307.17	CSDE1	ENST00000690207.1	0	0	0	0	0	0	0.033813173	0	1	1	no
ENSG00000009307.17	CSDE1	ENST00000690420.1	0	0	0	0	0	0	0.033813173	0	1	1	no
ENSG00000009307.17	CSDE1	ENST00000691032.1	0	0	0	0	0	0	0.033813173	0	1	1	no
ENSG00000009307.17	CSDE1	ENST00000691377.1	0	0	0	0	0	0	0.033813173	inf	1	1	no
ENSG00000009307.17	CSDE1	ENST00000691403.1	0	0	0	0	0	0	0.033813173	0	1	1	no
ENSG00000009307.17	CSDE1	ENST00000692044.1	0	0	0	0	0	0	0.033813173	0	1	1	no
ENSG00000009307.17	CSDE1	ENST00000692629.1	0	0	0	0	0	0	0.033813173	0	1	1	no
ENSG00000009307.17	CSDE1	ENST00000692672.1	0	0	0	0	0	0	0.033813173	0	1	1	no
ENSG00000009307.17	CSDE1	ENST00000692719.1	0	0	0	0	0	0	0.033813173	0	1	1	no
ENSG00000009307.17	CSDE1	ENST00000692950.1	0	0	0	0	0	0	0.033813173	0	1	1	no
ENSG00000009307.17	CSDE1	ENST00000693311.1	0	0	0	0	0	0	0.033813173	0	1	1	no
ENSG00000009307.17	CSDE1	ENST00000693467.1	0	0	0	0	0	0	0.033813173	0	1	1	no
ENSG00000009307.17	CSDE1	ENST00000693644.1	0	0	0	0	0	0	0.033813173	0	1	1	no
