window_start	mean_forward_score	mean_rc_score
20	-0.286894	-0.300147
21	-0.583139	-0.594445
22	-0.446658	-0.454848
23	-0.344553	-0.359685
24	-0.417807	-0.430311
25	-0.383971	-0.399448
26	-0.364477	-0.376748
27	-0.453874	-0.466917
28	-0.378359	-0.384172
29	-0.488961	-0.493490
30	-0.450136	-0.451512
31	-0.413040	-0.423857
32	-0.331437	-0.339074
33	-0.381376	-0.387470
34	-0.326117	-0.330071
35	-0.413948	-0.416099
36	-0.381292	-0.383613
37	-0.208003	-0.207243
38	-0.505178	-0.504060
39	-0.291702	-0.292962
40	-0.593071	-0.596273
41	-0.194979	-0.200058
42	-0.206006	-0.212616
43	-0.233929	-0.238515
44	-0.403304	-0.407707
45	-0.524132	-0.524790
46	-0.452279	-0.456618
47	-0.056958	-0.060835
48	-0.349541	-0.353410
49	-0.269618	-0.272929
50	-0.579483	-0.585296
51	-0.364394	-0.366474
52	-0.267979	-0.265528
53	-0.227408	-0.225810
54	-0.400146	-0.395232
55	-0.406867	-0.410945
56	-0.614395	-0.617472
57	-0.203246	-0.209180
58	-0.310498	-0.312334
59	-0.225519	-0.234304
60	-0.404102	-0.409130
61	-0.475427	-0.484514
62	-0.308404	-0.312975
63	-0.311888	-0.317811
64	-0.431851	-0.439181
65	-0.389116	-0.397790
66	-0.582030	-0.592140
67	-0.153609	-0.160817
68	-0.419784	-0.423698
69	-0.195456	-0.202301
70	-0.401826	-0.409534
71	-0.469179	-0.477559
72	-0.360171	-0.366704
73	-0.395296	-0.400076
74	-0.215790	-0.224820
75	-0.128127	-0.136382
76	-0.513016	-0.517587
77	-0.301622	-0.304230
78	-0.546321	-0.547591
79	-0.306704	-0.309832
