window_start	mean_forward_score	mean_rc_score
20	-0.130905	-0.105647
21	-0.435180	-0.412265
22	-0.240528	-0.220074
23	-0.413295	-0.392765
24	-0.702807	-0.684174
25	-0.314046	-0.299247
26	-0.459639	-0.443059
27	-0.273353	-0.257137
28	-0.397653	-0.374879
29	-0.633501	-0.609693
30	-0.322704	-0.295989
31	-0.408112	-0.390594
32	-0.285910	-0.266089
33	-0.476718	-0.459488
34	-0.407849	-0.392174
35	-0.222142	-0.199622
36	-0.383882	-0.366668
37	-0.230440	-0.212549
38	-0.698681	-0.679347
39	-0.313207	-0.295687
40	-0.562992	-0.544452
41	-0.250919	-0.240294
42	-0.291088	-0.280993
43	-0.414117	-0.402989
44	-0.400628	-0.387535
45	-0.505947	-0.493859
46	-0.396177	-0.387865
47	-0.230806	-0.221389
48	-0.381895	-0.374787
49	-0.372956	-0.365660
50	-0.544596	-0.546971
51	-0.381997	-0.384850
52	-0.508283	-0.508136
53	-0.201842	-0.203685
54	-0.447579	-0.443453
55	-0.316723	-0.320752
56	-0.548911	-0.550742
57	-0.362251	-0.365175
58	-0.289825	-0.286370
59	-0.284739	-0.289910
60	-0.277898	-0.283754
61	-0.426051	-0.439519
62	-0.331512	-0.343553
63	-0.380771	-0.386636
64	-0.561057	-0.568451
65	-0.304240	-0.311570
66	-0.650000	-0.652546
67	-0.066241	-0.065958
68	-0.382106	-0.376834
69	-0.290999	-0.288764
70	-0.338487	-0.338383
71	-0.502922	-0.501417
72	-0.242946	-0.239019
73	-0.296939	-0.292883
74	-0.326190	-0.324453
75	-0.227932	-0.225152
76	-0.526218	-0.522589
77	-0.283049	-0.276625
78	-0.441750	-0.433522
79	-0.221180	-0.215321
