window_start	mean_forward_score	mean_rc_score
20	-0.416213	-0.414685
21	-0.351709	-0.350705
22	-0.294488	-0.293739
23	-0.357564	-0.357279
24	-0.308391	-0.307322
25	-0.388825	-0.387882
26	-0.392617	-0.392806
27	-0.306568	-0.306914
28	-0.366122	-0.366773
29	-0.277345	-0.276569
30	-0.353724	-0.352761
31	-0.330841	-0.331341
32	-0.348838	-0.348977
33	-0.359543	-0.360095
34	-0.356595	-0.356398
35	-0.384046	-0.382554
36	-0.374578	-0.374021
37	-0.367972	-0.366256
38	-0.322295	-0.321230
39	-0.341249	-0.339177
40	-0.364973	-0.364108
41	-0.361836	-0.359389
42	-0.401430	-0.399806
43	-0.290544	-0.287141
44	-0.381790	-0.378192
45	-0.343298	-0.339772
46	-0.358528	-0.355957
47	-0.376961	-0.374138
48	-0.307213	-0.304115
49	-0.371177	-0.369410
50	-0.359225	-0.358784
51	-0.350833	-0.351825
52	-0.385030	-0.384701
53	-0.338505	-0.337213
54	-0.387148	-0.385750
55	-0.359938	-0.360103
56	-0.380564	-0.379362
57	-0.356603	-0.357216
58	-0.328883	-0.328802
59	-0.369968	-0.370327
60	-0.334945	-0.335891
61	-0.409180	-0.409393
62	-0.370530	-0.370442
63	-0.365738	-0.366465
64	-0.381998	-0.383339
65	-0.353354	-0.356345
66	-0.370276	-0.372376
67	-0.362319	-0.362930
68	-0.354891	-0.355077
69	-0.391875	-0.392199
70	-0.370744	-0.369980
71	-0.353607	-0.351203
72	-0.362685	-0.359010
73	-0.329776	-0.326668
74	-0.379633	-0.377109
75	-0.380502	-0.378250
76	-0.366822	-0.364119
77	-0.370054	-0.367501
78	-0.314030	-0.311280
79	-0.372717	-0.370196
