window_start	mean_forward_score	mean_rc_score
20	-1.136553	-1.149589
21	-0.962986	-0.977258
22	-1.118524	-1.128732
23	-1.238606	-1.246166
24	-0.873720	-0.883995
25	-1.254275	-1.262262
26	-0.494712	-0.509768
27	-1.496849	-1.503920
28	-1.189480	-1.201174
29	-0.996701	-1.002670
30	-1.144507	-1.156846
31	-0.189206	-0.205910
32	-1.688396	-1.697439
33	-1.825605	-1.838755
34	-1.019847	-1.020746
35	-1.346191	-1.352208
36	1.220107	1.208921
37	-1.350463	-1.364918
38	-0.995433	-1.016516
39	-1.824731	-1.832929
40	-1.730057	-1.742812
41	-0.149236	-0.154447
42	-1.187103	-1.196168
43	-0.997787	-1.012825
44	-1.189070	-1.197127
45	-1.551336	-1.565586
46	-0.416142	-0.420774
47	-1.288616	-1.302090
48	-0.850999	-0.861771
49	-1.258764	-1.272961
50	-1.141454	-1.152588
51	-0.991475	-0.997952
52	-1.187750	-1.194080
53	-1.056345	-1.067548
54	-1.114869	-1.126604
55	-1.080580	-1.095714
56	-1.165543	-1.178479
57	-1.223055	-1.233381
58	-1.205376	-1.214289
59	-1.174048	-1.182783
60	-1.142282	-1.150931
61	-1.146766	-1.155526
62	-1.172670	-1.181620
63	-1.192274	-1.200967
64	-1.180551	-1.189034
65	-1.168851	-1.177179
66	-1.159621	-1.168054
67	-1.161921	-1.170755
68	-1.187194	-1.196299
69	-1.173899	-1.182618
70	-1.171637	-1.180364
71	-1.180653	-1.189548
72	-1.171345	-1.180106
73	-1.184675	-1.193358
74	-1.171889	-1.180577
75	-1.164585	-1.173319
76	-1.179620	-1.188769
77	-1.191520	-1.200717
78	-1.203455	-1.212827
79	-1.182200	-1.191451
