window_start	mean_forward_score	mean_rc_score
20	-1.198024	-1.209696
21	-1.220137	-1.230558
22	-1.162608	-1.170836
23	-1.086201	-1.092157
24	-1.102333	-1.112426
25	-1.050083	-1.060722
26	-1.176597	-1.192588
27	-0.993552	-1.009183
28	-1.146256	-1.157183
29	-1.266429	-1.274357
30	-0.838046	-0.849821
31	-1.294017	-1.302288
32	-0.400196	-0.417438
33	-1.554522	-1.562329
34	-1.178123	-1.192471
35	-0.997808	-1.005104
36	-1.186254	-1.199537
37	-0.147701	-0.164680
38	-1.726499	-1.736792
39	-1.819063	-1.833544
40	-0.989012	-0.990793
41	-1.350844	-1.358347
42	1.210396	1.198736
43	-1.334219	-1.350022
44	-1.018866	-1.040468
45	-1.817067	-1.825855
46	-1.684237	-1.697177
47	-0.200751	-0.205929
48	-1.141530	-1.151214
49	-1.013354	-1.028975
50	-1.192994	-1.202992
51	-1.499332	-1.513402
52	-0.515204	-0.521766
53	-1.240682	-1.254351
54	-0.882687	-0.894284
55	-1.230079	-1.244237
56	-1.132025	-1.143465
57	-0.989693	-0.997238
58	-1.143876	-1.152310
59	-1.057458	-1.070224
60	-1.123025	-1.136518
61	-1.127296	-1.144282
62	-1.182320	-1.197609
63	-1.220956	-1.233606
64	-1.189265	-1.200913
65	-1.163126	-1.174705
66	-1.150623	-1.162035
67	-1.148089	-1.159551
68	-1.163625	-1.174963
69	-1.181463	-1.192955
70	-1.171954	-1.183311
71	-1.173294	-1.184956
72	-1.156890	-1.168581
73	-1.158190	-1.170151
74	-1.180938	-1.192660
75	-1.171781	-1.183698
76	-1.170892	-1.182774
77	-1.164842	-1.176893
78	-1.154240	-1.166216
79	-1.170638	-1.182480
