windows	chromosomes_seen	min_records	max_records	total_records
2454	19	50000	50000	122700000
rank	chrom	start	end	total_signal	records
1	chr10	80000000	81000000	230598.3902603807	50000
2	chr11	69000000	70000000	212350.4188526655	50000
3	chr8	70000000	71000000	181167.6033328008	50000
4	chr7	45000000	46000000	179235.4695214517	50000
5	chr11	120000000	121000000	172705.7835524390	50000
6	chr17	56000000	57000000	171058.2177385921	50000
7	chr8	84000000	85000000	166883.6761037027	50000
8	chr7	127000000	128000000	158695.9135277942	50000
9	chr7	44000000	45000000	156991.4001492504	50000
10	chr19	5000000	6000000	156730.4194456572	50000
