metric	value	detail
final_percent	30	exogenous percentage in mix, nearest 10
mle_f_mix_exo	0.319490	exogenous read fraction in mix
mle_g_endo_exo	0.071780	exogenous read fraction in endo reference
loglik_endo	-19964.623599	
loglik_mix	-86671.808130	
f_naive_g0	0.266868	naive estimate treating endo as pure
ref_name	NM_004235.6	
ref_len	2936	
exo_min	605	
exo_max	2036	
exo_outside_depth	0	
region_A	1-604	604
region_B	605-2036	1432
region_C	2037-2936	900
total_bases_exo	38849	
count_exo_A	0	fraction=0.000000
count_exo_B	38849	fraction=1.000000
count_exo_C	0	fraction=0.000000
total_bases_endo	19748	
count_endo_A	3707	fraction=0.187715
count_endo_B	10358	fraction=0.524509
count_endo_C	5683	fraction=0.287776
total_bases_mix	98245	
count_mix_A	13949	fraction=0.141982
count_mix_B	63997	fraction=0.651402
count_mix_C	20299	fraction=0.206616
uniform_endo_fraction_A	0.205722	
uniform_endo_fraction_B	0.487738	
uniform_endo_fraction_C	0.306540	
