pos	exo_depth	endo_depth	mix_depth
1	0	0	0
2	0	0	1
3	0	0	1
4	0	0	1
5	0	0	2
6	0	0	2
7	0	0	3
8	0	0	3
9	0	0	3
10	0	0	3
11	0	0	4
12	0	0	4
13	0	0	5
14	0	0	5
15	0	0	5
16	0	0	5
17	0	0	6
18	0	1	7
19	0	1	7
20	0	2	9
21	0	2	9
22	0	2	9
23	0	2	9
24	0	2	11
25	0	2	11
26	0	2	11
27	0	2	11
28	0	4	13
29	0	4	13
30	0	4	13
31	0	4	14
32	0	4	14
33	0	5	15
34	0	5	15
35	0	5	15
36	0	5	17
37	0	5	18
38	0	5	18
39	0	5	18
40	0	5	18
41	0	6	19
42	0	6	19
43	0	6	19
44	0	6	19
45	0	6	19
46	0	6	19
47	0	6	19
48	0	6	19
49	0	6	20
50	0	6	20
51	0	6	20
52	0	6	19
53	0	6	20
54	0	6	20
55	0	7	20
56	0	7	20
57	0	7	20
58	0	8	23
59	0	8	23
60	0	9	24
61	0	9	24
62	0	9	24
63	0	9	23
64	0	10	24
65	0	10	24
66	0	10	24
67	0	10	23
68	0	9	22
69	0	9	22
70	0	8	20
71	0	8	20
72	0	8	20
73	0	8	23
74	0	8	21
75	0	8	21
76	0	8	21
77	0	8	21
78	0	6	19
79	0	6	19
80	0	6	19
81	0	7	19
82	0	7	19
83	0	6	18
84	0	6	19
85	0	6	19
86	0	6	17
87	0	7	17
88	0	7	17
89	0	7	17
90	0	7	17
91	0	6	16
92	0	7	17
93	0	7	18
94	0	7	18
95	0	7	19
96	0	7	20
97	0	8	21
98	0	8	22
99	0	8	22
100	0	8	22
101	0	9	23
102	0	9	24
103	0	9	23
104	0	9	23
105	0	8	22
106	0	8	22
107	0	8	21
108	0	7	18
109	0	7	18
110	0	6	18
111	0	6	17
112	0	7	19
113	0	7	19
114	0	7	20
115	0	7	20
116	0	7	20
117	0	7	20
118	0	7	20
119	0	7	20
120	0	7	20
121	0	7	20
122	0	7	20
123	0	7	17
124	0	7	17
125	0	7	17
126	0	7	18
127	0	7	18
128	0	7	19
129	0	7	19
130	0	7	19
131	0	6	18
132	0	6	20
133	0	6	20
134	0	6	19
135	0	6	19
136	0	6	19
137	0	5	19
138	0	5	19
139	0	5	19
140	0	5	20
141	0	5	21
142	0	5	21
143	0	5	20
144	0	5	20
145	0	5	19
146	0	5	18
147	0	4	17
148	0	5	17
149	0	5	16
150	0	5	16
151	0	4	15
152	0	5	15
153	0	5	15
154	0	6	17
155	0	6	18
156	0	6	19
157	0	6	20
158	0	6	21
159	0	6	21
160	0	6	20
161	0	6	21
162	0	5	20
163	0	5	20
164	0	4	18
165	0	4	18
166	0	5	19
167	0	5	19
168	0	5	19
169	0	6	20
170	0	6	20
171	0	6	20
172	0	6	21
173	0	6	21
174	0	6	21
175	0	6	21
176	0	6	21
177	0	7	24
178	0	7	24
179	0	7	24
180	0	7	24
181	0	7	24
182	0	7	22
183	0	7	22
