file	records	bad_rows	length_min	length_max	plus	minus	plus_fraction	chr1_fraction	start_mean	start_sd	start_min	start_max	order_violations	adjacent_exact_fraction	adjacent_50_fraction	adjacent_1000_fraction
dataset_435425b3-6800-40e8-9acd-e749e7e7c750.dat	10000000	0	50	50	4995791	5004209	0.4995791	0.0889161	79718685.979606	56294296.641538076	9984	248945529	0	0.10105771010577101	0.5079266507926651	0.9220272922027292
dataset_0c87e123-4044-4870-b616-a6538b14475c.dat	10000000	0	50	50	4996863	5003137	0.4996863	0.1118336	76890128.56198652	57322375.37596553	10000	248945823	0	0.1199540119954012	0.5769276576927658	0.9165130916513091
dataset_e866d344-1a06-4c87-b620-edbec18a9c8f.dat	10000000	0	50	50	4999913	5000087	0.4999913	0.0949358	73950615.55593567	56236676.09107939	9993	248946253	0	0.08384160838416084	0.5852860585286058	0.9256762925676293
dataset_6cac4e0b-6668-45af-a216-5ed29456e351.dat	10000000	0	50	50	4999719	5000281	0.4999719	0.1187314	79016856.40603422	57688137.19363754	2	248946212	0	0.05284500528450053	0.49432004943200497	0.9286489928648993
dataset_c4e4bfcc-3428-4bf4-b868-d43150b7808d.dat	10000000	0	50	50	5001548	4998452	0.5001548	0.0960541	80289790.68668227	57352856.24034323	10027	248945542	0	0.0810915081091508	0.4800250480025048	0.9267966926796692
dataset_9391cb71-083b-48dc-9cfb-a0b7b2049b58.dat	10000000	0	50	50	5000088	4999912	0.5000088	0.0793453	73016076.82736458	54769320.35383026	10000	248945618	0	0.1498604149860415	0.6409525640952564	0.9256333925633392
dataset_0518f0bd-f31a-4e76-98bb-73b0f853ba48.dat	10000000	0	50	50	5000614	4999386	0.5000614	0.0939076	74669580.97185594	55458321.91573386	10020	248946262	0	0.1579940157994016	0.6246511624651162	0.9207244920724492
dataset_c7a5f83a-dbee-4d15-947e-59af0f42c53a.dat	10000000	0	50	50	4997902	5002098	0.4997902	0.0758334	77806902.9749245	56290949.58006594	10055	248945634	0	0.02895710289571029	0.3509989350998935	0.9413687941368795
dataset_e3a7b91c-011d-4771-b93e-99af7a7613ac.dat	10000000	0	50	50	3992306	6007694	0.3992306	0.0651873	67429050.95136952	53497108.0390776	10198	248928434	0	0.24631962463196247	0.5252761525276153	0.9255470925547092
dataset_b4030b1a-b3ac-4933-a970-dd98e5edfc75.dat	10000000	0	50	50	4931343	5068657	0.4931343	0.0882525	74262097.37931542	56487983.03283931	10035	248945620	0	0.08876160887616089	0.5580423558042356	0.9242442924244293
