Name	Length	EffectiveLength	TPM	NumReads
ENST00000646664.1	1812	1562.000	6756.776749	2208.724
ENST00000631466.1	1128	878.000	9008.776435	1655.317
ENST00000678702.1	1821	1571.000	4405.845014	1448.526
ENST00000390237.2	523	273.000	22456.558990	1283.000
ENST00000648006.3	943	693.000	7474.282251	1083.986
ENST00000229239.10	1285	1035.000	4183.626526	906.179
ENST00000676710.1	1790	1540.000	2700.791929	870.428
ENST00001096946.1	1306	1056.000	3298.253945	728.901
ENST00000707468.1	1919	1669.000	1856.674704	648.504
ENST00001133832.1	729	479.000	5043.083321	505.536
ENST00001141114.1	3174	2924.000	803.562810	491.720
ENST00000234590.10	1781	1531.000	1459.489287	467.624
ENST00000323076.7	3643	3393.000	644.743105	457.816
ENST00000534624.6	2264	2014.000	1042.158267	439.252
ENST00000451311.7	622	372.000	5531.484400	430.631
ENST00001132524.1	1348	1098.000	1868.078146	429.258
ENST00000632502.1	398	148.000	13818.232690	427.991
ENST00000329251.5	1446	1196.000	1708.627094	427.661
ENST00001138500.1	942	692.000	2734.741423	396.044
ENST00001143478.1	2268	2018.000	916.366080	387.000
ENST00000891965.1	2356	2106.000	872.753563	384.654
ENST00000552193.3	1611	1361.000	1307.349709	372.367
ENST00001093743.1	1745	1495.000	1141.351628	357.093
ENST00000361624.2	1542	1292.000	1320.337340	357.000
ENST00000254801.9	1286	1036.000	1600.068603	346.912
ENST00000988154.1	1383	1133.000	1462.502567	346.775
ENST00000299767.10	2782	2532.000	593.316062	314.391
ENST00000392514.9	1105	855.000	1701.871995	304.519
ENST00001093747.1	1169	919.000	1566.259718	301.231
ENST00000391857.9	1127	877.000	1631.634103	299.463
ENST00001133501.1	2576	2326.000	613.963779	298.864
ENST00000414698.6	1280	1030.000	1370.337564	295.383
ENST00001142434.1	1629	1379.000	986.353246	284.654
ENST00000339647.6	2193	1943.000	698.911451	284.195
ENST00001043508.1	1728	1478.000	912.560429	282.265
ENST00000869094.1	1094	844.000	1567.615749	276.887
ENST00001133982.1	2926	2676.000	488.733574	273.703
ENST00000450871.6	1605	1355.000	955.176534	270.859
ENST00000296930.10	1320	1070.000	1192.065024	266.934
ENST00001134960.1	920	670.000	1892.280677	265.327
ENST00000202773.14	921	671.000	1862.209154	261.500
ENST00000631539.1	2619	2369.000	519.052283	257.334
ENST00000457341.6	613	363.000	3370.607044	256.056
ENST00000216181.11	7451	7201.000	169.873782	256.000
ENST00000941455.2	1432	1182.000	1013.311775	250.658
ENST00000379060.8	764	514.000	2325.240742	250.122
ENST00000491984.5	1537	1287.000	924.182530	248.918
ENST00000409115.8	1215	965.000	1228.333365	248.064
ENST00000225655.6	807	557.000	2127.498443	247.996
