Name	Length	EffectiveLength	TPM	NumReads
ENST00000646664.1	1812	1562.000	6013.823507	2103.886
ENST00000631466.1	1128	878.000	8270.555689	1626.372
ENST00000676710.1	1790	1540.000	4121.602810	1421.600
ENST00000390237.2	523	273.000	21392.154740	1308.000
ENST00000648006.3	943	693.000	6696.811656	1039.422
ENST00001133832.1	729	479.000	8775.031378	941.401
ENST00001093743.1	1745	1495.000	2430.774571	813.910
ENST00001137778.1	1337	1087.000	3313.088150	806.590
ENST00000678702.1	1821	1571.000	1985.171066	698.497
ENST00001096946.1	1306	1056.000	2923.337164	691.406
ENST00000707468.1	1919	1669.000	1788.281751	668.471
ENST00001131738.1	3724	3474.000	845.335713	657.733
ENST00001141114.1	3174	2924.000	765.876144	501.564
ENST00000234590.10	1781	1531.000	1387.926279	475.918
ENST00000891965.1	2356	2106.000	972.748089	458.827
ENST00000392514.9	1105	855.000	2311.146182	442.572
ENST00000299767.10	2782	2532.000	777.251074	440.774
ENST00000329251.5	1446	1196.000	1588.644596	425.548
ENST00001132524.1	1348	1098.000	1642.041632	403.810
ENST00000632502.1	398	148.000	12068.264697	400.034
ENST00000534624.6	2264	2014.000	864.598696	390.000
ENST00000361624.2	1542	1292.000	1330.477862	385.000
ENST00000552193.3	1611	1361.000	1185.707707	361.432
ENST00000254801.9	1286	1036.000	1511.306420	350.673
ENST00001143478.1	2268	2018.000	770.329261	348.167
ENST00000709893.1	869	619.000	2272.296738	315.026
ENST00000371646.10	2555	2305.000	608.230443	314.000
ENST00000414698.6	1280	1030.000	1325.956814	305.884
ENST00000631539.1	2619	2369.000	566.786587	300.729
ENST00000353334.12	1430	1180.000	1133.688790	299.617
ENST00001043508.1	1728	1478.000	897.089348	296.962
ENST00000450871.6	1605	1355.000	965.571584	293.032
ENST00000391857.9	1127	877.000	1474.338382	289.593
ENST00000396651.8	778	528.000	2205.808861	260.851
ENST00000315377.4	863	613.000	1873.711742	257.249
ENST00001102408.1	1173	923.000	1237.084739	255.736
ENST00000380956.9	5314	5064.000	223.911188	253.957
ENST00000869094.1	1094	844.000	1337.966264	252.917
ENST00000339647.6	2193	1943.000	578.162060	251.601
ENST00001142434.1	1629	1379.000	812.244221	250.866
ENST00000242465.4	1217	967.000	1145.076876	248.000
ENST00000202773.14	921	671.000	1620.144309	243.482
ENST00001094731.1	973	723.000	1498.251852	242.613
ENST00000409115.8	1215	965.000	1120.334623	242.139
ENST00000439602.7	549	299.000	3552.693338	237.914
ENST00000225655.6	807	557.000	1906.811052	237.878
ENST00000491984.5	1537	1287.000	813.611783	234.523
ENST00001134960.1	920	670.000	1517.848669	227.769
ENST00000339995.11	3794	3544.000	285.087497	226.288
