READ_1905	75	2	73	+	NC_019552.1	836897	20088	20159	63	71	49	tp:A:P	cm:i:5	s1:i:63	s2:i:0	rl:i:0
READ_2321	75	2	71	-	NC_019552.1	836897	22197	22266	69	69	60	tp:A:P	cm:i:10	s1:i:69	s2:i:0	rl:i:0
READ_6881	75	9	66	-	NC_019552.1	836897	20807	20864	57	57	51	tp:A:P	cm:i:9	s1:i:57	s2:i:0	rl:i:0
READ_7312	75	5	70	-	NC_019552.1	836897	20537	20602	65	65	60	tp:A:P	cm:i:7	s1:i:65	s2:i:0	rl:i:0
READ_10509	75	5	75	-	NC_019552.1	836897	21235	21305	70	70	60	tp:A:P	cm:i:8	s1:i:70	s2:i:0	rl:i:0
READ_11630	75	26	51	+	NC_019552.1	836897	482391	482416	25	25	0	tp:A:P	cm:i:2	s1:i:25	s2:i:25	rl:i:0
READ_15304	75	5	74	+	NC_019552.1	836897	21024	21093	69	69	60	tp:A:P	cm:i:9	s1:i:69	s2:i:0	rl:i:0
READ_16142	75	2	71	+	NC_019552.1	836897	20427	20496	69	69	60	tp:A:P	cm:i:10	s1:i:69	s2:i:0	rl:i:0
READ_22964	75	0	66	-	NC_019552.1	836897	20762	20828	66	66	60	tp:A:P	cm:i:9	s1:i:66	s2:i:0	rl:i:0
READ_23530	75	8	72	+	NC_019552.1	836897	20914	20978	64	64	60	tp:A:P	cm:i:7	s1:i:64	s2:i:0	rl:i:0
READ_24302	75	1	65	+	NC_019552.1	836897	21463	21527	64	64	60	tp:A:P	cm:i:13	s1:i:64	s2:i:0	rl:i:0
READ_24547	75	6	72	-	NC_019552.1	836897	21207	21273	66	66	60	tp:A:P	cm:i:9	s1:i:66	s2:i:0	rl:i:0
READ_24954	75	7	75	-	NC_019552.1	836897	22573	22641	68	68	60	tp:A:P	cm:i:13	s1:i:68	s2:i:0	rl:i:0
READ_28510	75	3	75	-	NC_019552.1	836897	21690	21762	72	72	60	tp:A:P	cm:i:8	s1:i:72	s2:i:0	rl:i:0
READ_29706	75	7	74	+	NC_019552.1	836897	18883	18950	67	67	60	tp:A:P	cm:i:8	s1:i:67	s2:i:0	rl:i:0
READ_32044	75	1	71	-	NC_019552.1	836897	443403	443473	70	70	50	tp:A:P	cm:i:9	s1:i:70	s2:i:40	rl:i:0
READ_32706	75	16	63	-	NC_019552.1	836897	19174	19221	47	47	33	tp:A:P	cm:i:6	s1:i:47	s2:i:0	rl:i:0
READ_35152	75	0	72	-	NC_019552.1	836897	18919	18991	72	72	60	tp:A:P	cm:i:9	s1:i:72	s2:i:0	rl:i:0
