metric	value
assembly	GRCm39
target_gene_id	ENSMUSG00000037335
target_symbol	Hand1
target_region	11:57719531-57723644
target_strand	-1
canonical_transcript	ENSMUST00000036917
canonical_translation_id	ENSMUSP00000046999
canonical_protein_length_aa	216
canonical_exon_count	2
canonical_intron_count	1
lower_coordinate_neighbor	ENSMUSG00000020519
lower_coordinate_neighbor_symbol	Sap30l
lower_coordinate_gap_bp	13824
higher_coordinate_neighbor	ENSMUSG00000037331
higher_coordinate_neighbor_symbol	Larp1
higher_coordinate_gap_bp	176008
strand_aware_upstream_gene	ENSMUSG00000037331
strand_aware_upstream_symbol	Larp1
strand_aware_upstream_gap_bp	176008
final_answer	ENSMUSG00000037335;216;fewer;ENSMUSG00000037331
