query	source	status	result_json
NM_001276266.2	Ensembl xrefs/id	ERROR	{"error":"HTTPError","message":"HTTP Error 400: Bad Request"}
NM_001276266	Ensembl xrefs/id	ERROR	{"error":"HTTPError","message":"HTTP Error 400: Bad Request"}
ENST00000267814	Ensembl xrefs/id	200	[{"db_display_name":"UCSC Stable ID","dbname":"UCSC","description":null,"display_id":"uc001zul.6","info_text":"","info_type":"COORDINATE_OVERLAP","primary_id":"uc001zul.6","synonyms":[],"version":"6"},{"db_display_name":"CCDS","dbname":"CCDS","description":null,"display_id":"CCDS10116.1","info_text":"","info_type":"DIRECT","primary_id":"CCDS10116","synonyms":[],"version":"1"},{"db_display_name":"Transcript name","dbname":"HGNC_trans_name","description":"sorbitol dehydrogenase","display_id":"SORD-201","info_text":"","info_type":"MISC","primary_id":"SORD-201","synonyms":[],"version":"0"},{"db_display_name":"Reactome transcript","dbname":"Reactome_transcript","description":"Metabolism","display_id":"R-HSA-1430728","info_text":"Generated via transcript","info_type":"DIRECT","primary_id":"R-HSA-1430728","synonyms":[],"version":"0"},{"db_display_name":"Reactome transcript","dbname":"Reactome_transcript","description":"Metabolism of carbohydrates and carbohydrate derivatives","display_id":"R-HSA-71387","info_text":"Generated via transcript","info_type":"DIRECT","primary_id":"R-HSA-71387","synonyms":[],"version":"0"},{"db_display_name":"Reactome transcript","dbname":"Reactome_transcript","description":"Formation of xylulose-5-phosphate","display_id":"R-HSA-5661270","info_text":"Generated via transcript","info_type":"DIRECT","primary_id":"R-HSA-5661270","synonyms":[],"version":"0"},{"db_display_name":"Reactome transcript","dbname":"Reactome_transcript","description":"Fructose metabolism","display_id":"R-HSA-5652084","info_text":"Generated via transcript","info_type":"DIRECT","primary_id":"R-HSA-5652084","synonyms":[],"version":"0"},{"db_display_name":"Reactome transcript","dbname":"Reactome_transcript","description":"Fructose biosynthesis","display_id":"R-HSA-5652227","info_text":"Generated via transcript","info_type":"DIRECT","primary_id":"R-HSA-5652227","synonyms":[],"version":"0"},{"cigar_line":"4818M","db_display_name":"RefSeq mRNA","dbname":"RefSeq_mRNA","description":null,"display_id":"NM_003104.6","ensembl_end":4818,"ensembl_identity":100,"ensembl_start":1,"evalue":null,"info_text":"Generated via otherfeatures","info_type":"DIRECT","primary_id":"NM_003104","score":24090,"synonyms":[],"version":"6","xref_end":4818,"xref_identity":100,"xref_start":1},{"db_display_name":"RefSeq ncRNA","dbname":"RefSeq_ncRNA","description":null,"display_id":"NR_034039.2","info_text":"Generated via otherfeatures","info_type":"DIRECT","primary_id":"NR_034039","synonyms":[],"version":"2"},{"db_display_name":"GO","dbname":"GO","description":"zinc ion binding","display_id":"GO:0008270","info_text":"","info_type":"DEPENDENT","linkage_types":["IEA"],"primary_id":"GO:0008270","synonyms":[],"version":"0"},{"db_display_name":"GO","dbname":"GO","description":"oxidoreductase activity","display_id":"GO:0016491","info_text":"","info_type":"DEPENDENT","linkage_types":["IEA"],"primary_id":"GO:0016491","synonyms":[],"version":"0"},{"db_display_name":"GO","dbname":"GO","description":"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","display_id":"GO:0016616","info_text":"","info_type":"DEPENDENT","linkage_types":["IEA"],"primary_id":"GO:0016616","synonyms":[],"version":"0"},{"db_display_name":"GO","dbname":"GO","description":"(R,R)-butanediol dehydrogenase activity","display_id":"GO:0000721","info_text":"UniProt","info_type":"DIRECT","linkage_types":["IEA"],"primary_id":"GO:0000721","synonyms":[],"version":"0"},{"db_display_name":"GO","dbname":"GO","description":"(R,R)-butanediol dehydrogenase activity","display_id":"GO:0000721","info_text":"RHEA","info_type":"DIRECT","linkage_types":["IEA"],"primary_id":"GO:0000721","synonyms":[],"version":"0"},{"db_display_name":"GO","dbname":"GO","description":"L-iditol 2-dehydrogenase (NAD+) activity","display_id":"GO:0003939","info_text":"UniProt","info_type":"DIRECT","linkage_types":["IEA","ISS","IDA"],"primary_id":"GO:0003939","synonyms":[],"version":"0"},{"db_display_name":"GO","dbname":"GO","description":"L-iditol 2-dehydrogenase (NAD+) activity","display_id":"GO:0003939","info_text":"GO_Central","info_type":"DIRECT","linkage_types":["IBA"],"primary_id":"GO:0003939","synonyms":[],"version":"0"},{"db_display_name":"Projected GO","dbname":"GO","description":"L-iditol 2-dehydrogenase (NAD+) activity","display_id":"GO:0003939","info_text":"from mus_musculus translation ENSMUSP00000106180","info_type":"PROJECTION","linkage_types":["IEA"],"primary_id":"GO:0003939","synonyms":[],"version":"0"},{"db_display_name":"GO","dbname":"GO","description":"L-iditol 2-dehydrogenase (NAD+) activity","display_id":"GO:0003939","info_text":"RHEA","info_type":"DIRECT","linkage_types":["IEA"],"primary_id":"GO:0003939","synonyms":[],"version":"0"},{"db_display_name":"GO","dbname":"GO","description":"L-iditol 2-dehydrogenase (NAD+) activity","display_id":"GO:0003939","info_text":"FlyBase","info_type":"DIRECT","linkage_types":["IMP"],"primary_id":"GO:0003939","synonyms":[],"version":"0"},{"db_display_name":"GO","dbname":"GO","description":"alcohol dehydrogenase (NAD+) activity","display_id":"GO:0004022","info_text":"UniProt","info_type":"DIRECT","linkage_types":["IEA"],"primary_id":"GO:0004022","synonyms":[],"version":"0"},{"db_display_name":"GO","dbname":"GO","description":"zinc ion binding","display_id":"GO:0008270","info_text":"InterPro","info_type":"DIRECT","linkage_types":["IEA"],"primary_id":"GO:0008270","synonyms":[],"version":"0"},{"db_display_name":"GO","dbname":"GO","description":"zinc ion binding","display_id":"GO:0008270","info_text":"UniProt","info_type":"DIRECT","linkage_types":["ISS","IDA"],"primary_id":"GO:0008270","synonyms":[],"version":"0"},{"db_display_name":"GO","dbname":"GO","description":"oxidoreductase activity","display_id":"GO:0016491","info_text":"InterPro","info_type":"DIRECT","linkage_types":["IEA"],"primary_id":"GO:0016491","synonyms":[],"version":"0"},{"db_display_name":"GO","dbname":"GO","description":"oxidoreductase activity","display_id":"GO:0016491","info_text":"UniProt","info_type":"DIRECT","linkage_types":["IEA"],"primary_id":"GO:0016491","synonyms":[],"version":"0"},{"db_display_name":"GO","dbname":"GO","description":"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","display_id":"GO:0016616","info_text":"InterPro","info_type":"DIRECT","linkage_types":["IEA"],"primary_id":"GO:0016616","synonyms":[],"version":"0"},{"db_display_name":"GO","dbname":"GO","description":"carbohydrate binding","display_id":"GO:0030246","info_text":"UniProt","info_type":"DIRECT","linkage_types":["NAS"],"primary_id":"GO:0030246","synonyms":[],"version":"0"},{"db_display_name":"GO","dbname":"GO","description":"identical protein binding","display_id":"GO:0042802","info_text":"IntAct","info_type":"DIRECT","linkage_types":["IPI"],"primary_id":"GO:0042802","synonyms":[],"version":"0"},{"db_display_name":"GO","dbname":"GO","description":"D-xylulose reductase activity","display_id":"GO:0046526","info_text":"UniProt","info_type":"DIRECT","linkage_types":["IEA"],"primary_id":"GO:0046526","synonyms":[],"version":"0"},{"db_display_name":"Projected GO","dbname":"GO","description":"D-xylulose reductase activity","display_id":"GO:0046526","info_text":"from mus_musculus translation ENSMUSP00000106180","info_type":"PROJECTION","linkage_types":["IEA"],"primary_id":"GO:0046526","synonyms":[],"version":"0"},{"db_display_name":"GO","dbname":"GO","description":"D-xylulose reductase activity","display_id":"GO:0046526","info_text":"RHEA","info_type":"DIRECT","linkage_types":["IEA"],"primary_id":"GO:0046526","synonyms":[],"version":"0"},{"db_display_name":"GO","dbname":"GO","description":"metal ion binding","display_id":"GO:0046872","info_text":"UniProt","info_type":"DIRECT","linkage_types":["IEA"],"primary_id":"GO:0046872","synonyms":[],"version":"0"},{"db_display_name":"GO","dbname":"GO","description":"ribitol 2-dehydrogenase (NAD+) activity","display_id":"GO:0050255","info_text":"UniProt","info_type":"DIRECT","linkage_types":["IEA"],"primary_id":"GO:0050255","synonyms":[],"version":"0"},{"db_display_name":"GO","dbname":"GO","description":"ribitol 2-dehydrogenase (NAD+) activity","display_id":"GO:0050255","info_text":"RHEA","info_type":"DIRECT","linkage_types":["IEA"],"primary_id":"GO:0050255","synonyms":[],"version":"0"},{"db_display_name":"GO","dbname":"GO","description":"NAD binding","display_id":"GO:0051287","info_text":"UniProt","info_type":"DIRECT","linkage_types":["IDA"],"primary_id":"GO:0051287","synonyms":[],"version":"0"},{"db_display_name":"GO","dbname":"GO","description":"glucose metabolic process","display_id":"GO:0006006","info_text":"UniProt","info_type":"DIRECT","linkage_types":["TAS"],"primary_id":"GO:0006006","synonyms":[],"version":"0"},{"db_display_name":"GO","dbname":"GO","description":"sorbitol catabolic process","display_id":"GO:0006062","info_text":"GO_Central","info_type":"DIRECT","linkage_types":["IBA"],"primary_id":"GO:0006062","synonyms":[],"version":"0"},{"db_display_name":"GO","dbname":"GO","description":"sorbitol catabolic process","display_id":"GO:0006062","info_text":"UniProt","info_type":"DIRECT","linkage_types":["IDA"],"primary_id":"GO:0006062","synonyms":[],"version":"0"},{"db_display_name":"GO","dbname":"GO","description":"sorbitol catabolic process","display_id":"GO:0006062","info_text":"FlyBase","info_type":"DIRECT","linkage_types":["IMP"],"primary_id":"GO:0006062","synonyms":[],"version":"0"},{"db_display_name":"Projected GO","dbname":"GO","description":"D-glucuronate catabolic process to D-xylulose 5-phosphate","display_id":"GO:0019640","info_text":"from mus_musculus translation ENSMUSP00000106180","info_type":"PROJECTION","linkage_types":["IEA"],"primary_id":"GO:0019640","synonyms":[],"version":"0"},{"db_display_name":"GO","dbname":"GO","description":"flagellated sperm motility","display_id":"GO:0030317","info_text":"UniProt","info_type":"DIRECT","linkage_types":["ISS","NAS"],"primary_id":"GO:0030317","synonyms":[],"version":"0"},{"db_display_name":"Projected GO","dbname":"GO","description":"flagellated sperm motility","display_id":"GO:0030317","info_text":"from mus_musculus translation ENSMUSP00000106180","info_type":"PROJECTION","linkage_types":["IEA"],"primary_id":"GO:0030317","synonyms":[],"version":"0"},{"db_display_name":"GO","dbname":"GO","description":"fructose biosynthetic process","display_id":"GO:0046370","info_text":"GO_Central","info_type":"DIRECT","linkage_types":["IBA"],"primary_id":"GO:0046370","synonyms":[],"version":"0"},{"db_display_name":"Projected GO","dbname":"GO","description":"fructose biosynthetic process","display_id":"GO:0046370","info_text":"from mus_musculus translation ENSMUSP00000106180","info_type":"PROJECTION","linkage_types":["IEA"],"primary_id":"GO:0046370","synonyms":[],"version":"0"},{"db_display_name":"GO","dbname":"GO","description":"fructose biosynthetic process","display_id":"GO:0046370","info_text":"UniProt","info_type":"DIRECT","linkage_types":["IDA"],"primary_id":"GO:0046370","synonyms":[],"version":"0"},{"db_display_name":"GO","dbname":"GO","description":"xylitol catabolic process","display_id":"GO:0051160","info_text":"UniProt","info_type":"DIRECT","linkage_types":["IDA"],"primary_id":"GO:0051160","synonyms":[],"version":"0"},{"db_display_name":"GO","dbname":"GO","description":"xylitol metabolic process","display_id":"GO:0051164","info_text":"UniProt","info_type":"DIRECT","linkage_types":["IDA"],"primary_id":"GO:0051164","synonyms":[],"version":"0"},{"db_display_name":"GO","dbname":"GO","description":"cytosol","display_id":"GO:0005829","info_text":"GO_Central","info_type":"DIRECT","linkage_types":["IBA"],"primary_id":"GO:0005829","synonyms":[],"version":"0"},{"db_display_name":"Projected GO","dbname":"GO","description":"cytosol","display_id":"GO:0005829","info_text":"from mus_musculus translation ENSMUSP00000106180","info_type":"PROJECTION","linkage_types":["IEA"],"primary_id":"GO:0005829","synonyms":[],"version":"0"},{"db_display_name":"GO","dbname":"GO","description":"extracellular space","display_id":"GO:0005615","info_text":"UniProt","info_type":"DIRECT","linkage_types":["TAS"],"primary_id":"GO:0005615","synonyms":[],"version":"0"},{"db_display_name":"Projected GO","dbname":"GO","description":"mitochondrion","display_id":"GO:0005739","info_text":"from mus_musculus translation ENSMUSP00000106180","info_type":"PROJECTION","linkage_types":["IEA"],"primary_id":"GO:0005739","synonyms":[],"version":"0"},{"db_display_name":"GO","dbname":"GO","description":"cytosol","display_id":"GO:0005829","info_text":"Reactome","info_type":"DIRECT","linkage_types":["TAS"],"primary_id":"GO:0005829","synonyms":[],"version":"0"},{"db_display_name":"GO","dbname":"GO","description":"membrane","display_id":"GO:0016020","info_text":"UniProt","info_type":"DIRECT","linkage_types":["IDA"],"primary_id":"GO:0016020","synonyms":[],"version":"0"},{"db_display_name":"GO","dbname":"GO","description":"motile cilium","display_id":"GO:0031514","info_text":"UniProt","info_type":"DIRECT","linkage_types":["ISS","IEA"],"primary_id":"GO:0031514","synonyms":[],"version":"0"},{"db_display_name":"Projected GO","dbname":"GO","description":"motile cilium","display_id":"GO:0031514","info_text":"from mus_musculus translation ENSMUSP00000106180","info_type":"PROJECTION","linkage_types":["IEA"],"primary_id":"GO:0031514","synonyms":[],"version":"0"},{"db_display_name":"GO","dbname":"GO","description":"mitochondrial membrane","display_id":"GO:0031966","info_text":"UniProt","info_type":"DIRECT","linkage_types":["IEA"],"primary_id":"GO:0031966","synonyms":[],"version":"0"},{"db_display_name":"GO","dbname":"GO","description":"extracellular exosome","display_id":"GO:0070062","info_text":"UniProt","info_type":"DIRECT","linkage_types":["HDA","IDA"],"primary_id":"GO:0070062","synonyms":[],"version":"0"}]
NP_922946.1	Ensembl xrefs/id	ERROR	{"error":"HTTPError","message":"HTTP Error 400: Bad Request"}
NP_922946	Ensembl xrefs/id	ERROR	{"error":"HTTPError","message":"HTTP Error 400: Bad Request"}
9153	Ensembl xrefs/id	ERROR	{"error":"HTTPError","message":"HTTP Error 400: Bad Request"}
617658	Ensembl xrefs/id	ERROR	{"error":"HTTPError","message":"HTTP Error 400: Bad Request"}
TERB2	Ensembl lookup/symbol	200	{"Transcript":[{"Exon":[{"assembly_name":"GRCh38","db_type":"core","end":44956782,"id":"ENSE00001182995","object_type":"Exon","seq_region_name":"15","species":"homo_sapiens","start":44956687,"strand":1,"version":2},{"assembly_name":"GRCh38","db_type":"core","end":44956977,"id":"ENSE00001140454","object_type":"Exon","seq_region_name":"15","species":"homo_sapiens","start":44956896,"strand":1,"version":1},{"assembly_name":"GRCh38","db_type":"core","end":44958512,"id":"ENSE00003646400","object_type":"Exon","seq_region_name":"15","species":"homo_sapiens","start":44958373,"strand":1,"version":1},{"assembly_name":"GRCh38","db_type":"core","end":44961584,"id":"ENSE00003549113","object_type":"Exon","seq_region_name":"15","species":"homo_sapiens","start":44961523,"strand":1,"version":1},{"assembly_name":"GRCh38","db_type":"core","end":44966243,"id":"ENSE00003469541","object_type":"Exon","seq_region_name":"15","species":"homo_sapiens","start":44966158,"strand":1,"version":1},{"assembly_name":"GRCh38","db_type":"core","end":44973955,"id":"ENSE00003576450","object_type":"Exon","seq_region_name":"15","species":"homo_sapiens","start":44973867,"strand":1,"version":1},{"assembly_name":"GRCh38","db_type":"core","end":44979229,"id":"ENSE00001380316","object_type":"Exon","seq_region_name":"15","species":"homo_sapiens","start":44978489,"strand":1,"version":3}],"Parent":"ENSG00000167014","Translation":{"Parent":"ENST00000340827","db_type":"core","end":44978628,"id":"ENSP00000340644","length":220,"object_type":"Translation","species":"homo_sapiens","start":44956719,"version":3},"assembly_name":"GRCh38","biotype":"protein_coding","db_type":"core","display_name":"TERB2-201","end":44979229,"ens_canon_extended":0,"gencode_primary":1,"id":"ENST00000340827","is_canonical":1,"length":1296,"logic_name":"ensembl_havana_transcript_homo_sapiens","object_type":"Transcript","seq_region_name":"15","source":"ensembl_havana","species":"homo_sapiens","start":44956687,"strand":1,"version":4},{"Exon":[{"assembly_name":"GRCh38","db_type":"core","end":44956977,"id":"ENSE00002561021","object_type":"Exon","seq_region_name":"15","species":"homo_sapiens","start":44956710,"strand":1,"version":1},{"assembly_name":"GRCh38","db_type":"core","end":44958512,"id":"ENSE00003681752","object_type":"Exon","seq_region_name":"15","species":"homo_sapiens","start":44958373,"strand":1,"version":1},{"assembly_name":"GRCh38","db_type":"core","end":44961584,"id":"ENSE00003522969","object_type":"Exon","seq_region_name":"15","species":"homo_sapiens","start":44961523,"strand":1,"version":1},{"assembly_name":"GRCh38","db_type":"core","end":44966243,"id":"ENSE00003569471","object_type":"Exon","seq_region_name":"15","species":"homo_sapiens","start":44966158,"strand":1,"version":1},{"assembly_name":"GRCh38","db_type":"core","end":44973955,"id":"ENSE00003560430","object_type":"Exon","seq_region_name":"15","species":"homo_sapiens","start":44973867,"strand":1,"version":1},{"assembly_name":"GRCh38","db_type":"core","end":44978639,"id":"ENSE00002564692","object_type":"Exon","seq_region_name":"15","species":"homo_sapiens","start":44978489,"strand":1,"version":1}],"Parent":"ENSG00000167014","Translation":{"Parent":"ENST00000559137","db_type":"core","end":44956865,"id":"ENSP00000454013","length":48,"object_type":"Translation","species":"homo_sapiens","start":44956719,"version":1},"assembly_name":"GRCh38","biotype":"nonsense_mediated_decay","db_type":"core","display_name":"TERB2-203","end":44978639,"ens_canon_extended":0,"gencode_primary":0,"id":"ENST00000559137","is_canonical":0,"length":796,"logic_name":"havana_homo_sapiens","object_type":"Transcript","seq_region_name":"15","source":"havana","species":"homo_sapiens","start":44956710,"strand":1,"version":5},{"Exon":[{"assembly_name":"GRCh38","db_type":"core","end":44956977,"id":"ENSE00002546270","object_type":"Exon","seq_region_name":"15","species":"homo_sapiens","start":44956735,"strand":1,"version":1},{"assembly_name":"GRCh38","db_type":"core","end":44958512,"id":"ENSE00003681752","object_type":"Exon","seq_region_name":"15","species":"homo_sapiens","start":44958373,"strand":1,"version":1},{"assembly_name":"GRCh38","db_type":"core","end":44966243,"id":"ENSE00003569471","object_type":"Exon","seq_region_name":"15","species":"homo_sapiens","start":44966158,"strand":1,"version":1},{"assembly_name":"GRCh38","db_type":"core","end":44973955,"id":"ENSE00003560430","object_type":"Exon","seq_region_name":"15","species":"homo_sapiens","start":44973867,"strand":1,"version":1},{"assembly_name":"GRCh38","db_type":"core","end":44976173,"id":"ENSE00002545076","object_type":"Exon","seq_region_name":"15","species":"homo_sapiens","start":44976081,"strand":1,"version":1},{"assembly_name":"GRCh38","db_type":"core","end":44978612,"id":"ENSE00002546006","object_type":"Exon","seq_region_name":"15","species":"homo_sapiens","start":44978489,"strand":1,"version":1}],"Parent":"ENSG00000167014","Translation":{"Parent":"ENST00000557864","db_type":"core","end":44956865,"id":"ENSP00000452951","length":43,"object_type":"Translation","species":"homo_sapiens","start":44956735,"version":1},"assembly_name":"GRCh38","biotype":"nonsense_mediated_decay","db_type":"core","display_name":"TERB2-202","end":44978612,"ens_canon_extended":0,"gencode_primary":0,"id":"ENST00000557864","is_canonical":0,"length":775,"logic_name":"havana_homo_sapiens","object_type":"Transcript","seq_region_name":"15","source":"havana","species":"homo_sapiens","start":44956735,"strand":1,"version":1},{"Exon":[{"assembly_name":"GRCh38","db_type":"core","end":44956782,"id":"ENSE00004729487","object_type":"Exon","seq_region_name":"15","species":"homo_sapiens","start":44956702,"strand":1,"version":1},{"assembly_name":"GRCh38","db_type":"core","end":44956977,"id":"ENSE00001140454","object_type":"Exon","seq_region_name":"15","species":"homo_sapiens","start":44956896,"strand":1,"version":1},{"assembly_name":"GRCh38","db_type":"core","end":44966243,"id":"ENSE00004729485","object_type":"Exon","seq_region_name":"15","species":"homo_sapiens","start":44966158,"strand":1,"version":1},{"assembly_name":"GRCh38","db_type":"core","end":44973955,"id":"ENSE00003560430","object_type":"Exon","seq_region_name":"15","species":"homo_sapiens","start":44973867,"strand":1,"version":1},{"assembly_name":"GRCh38","db_type":"core","end":44979229,"id":"ENSE00004729486","object_type":"Exon","seq_region_name":"15","species":"homo_sapiens","start":44978489,"strand":1,"version":1}],"Parent":"ENSG00000167014","Translation":{"Parent":"ENST00001101305","db_type":"core","end":44966170,"id":"ENSP00000771111","length":52,"object_type":"Translation","species":"homo_sapiens","start":44956719,"version":1},"assembly_name":"GRCh38","biotype":"nonsense_mediated_decay","db_type":"core","display_name":"TERB2-204","end":44979229,"ens_canon_extended":0,"gencode_primary":0,"id":"ENST00001101305","is_canonical":0,"length":1079,"logic_name":"havana_tagene_homo_sapiens","object_type":"Transcript","seq_region_name":"15","source":"havana_tagene","species":"homo_sapiens","start":44956702,"strand":1,"version":1},{"Exon":[{"assembly_name":"GRCh38","db_type":"core","end":44956782,"id":"ENSE00001182995","object_type":"Exon","seq_region_name":"15","species":"homo_sapiens","start":44956687,"strand":1,"version":2},{"assembly_name":"GRCh38","db_type":"core","end":44956977,"id":"ENSE00001140454","object_type":"Exon","seq_region_name":"15","species":"homo_sapiens","start":44956896,"strand":1,"version":1},{"assembly_name":"GRCh38","db_type":"core","end":44959112,"id":"ENSE00004774892","object_type":"Exon","seq_region_name":"15","species":"homo_sapiens","start":44958373,"strand":1,"version":1}],"Parent":"ENSG00000167014","Translation":{"Parent":"ENST00001129004","db_type":"core","end":44958517,"id":"ENSP00000798809","length":96,"object_type":"Translation","species":"homo_sapiens","start":44956719,"version":1},"assembly_name":"GRCh38","biotype":"protein_coding","db_type":"core","display_name":"TERB2-205","end":44959112,"ens_canon_extended":0,"gencode_primary":0,"id":"ENST00001129004","is_canonical":0,"length":918,"logic_name":"havana_tagene_homo_sapiens","object_type":"Transcript","seq_region_name":"15","source":"havana_tagene","species":"homo_sapiens","start":44956687,"strand":1,"version":1}],"assembly_name":"GRCh38","biotype":"protein_coding","canonical_transcript":"ENST00000340827.4","db_type":"core","description":"telomere repeat binding bouquet formation protein 2 [Source:HGNC Symbol;Acc:HGNC:28520]","display_name":"TERB2","end":44979229,"id":"ENSG00000167014","logic_name":"ensembl_havana_gene_homo_sapiens","object_type":"Gene","seq_region_name":"15","source":"ensembl_havana","species":"homo_sapiens","start":44956687,"strand":1,"version":12}
ENST00000267814	Ensembl lookup/id	200	{"Exon":[{"assembly_name":"GRCh38","db_type":"core","end":45023349,"id":"ENSE00002548215","object_type":"Exon","seq_region_name":"15","species":"homo_sapiens","start":45023195,"strand":1,"version":1},{"assembly_name":"GRCh38","db_type":"core","end":45040441,"id":"ENSE00001121784","object_type":"Exon","seq_region_name":"15","species":"homo_sapiens","start":45040408,"strand":1,"version":1},{"assembly_name":"GRCh38","db_type":"core","end":45043421,"id":"ENSE00001121776","object_type":"Exon","seq_region_name":"15","species":"homo_sapiens","start":45043257,"strand":1,"version":1},{"assembly_name":"GRCh38","db_type":"core","end":45061226,"id":"ENSE00001121766","object_type":"Exon","seq_region_name":"15","species":"homo_sapiens","start":45061067,"strand":1,"version":1},{"assembly_name":"GRCh38","db_type":"core","end":45065389,"id":"ENSE00003620190","object_type":"Exon","seq_region_name":"15","species":"homo_sapiens","start":45065271,"strand":1,"version":1},{"assembly_name":"GRCh38","db_type":"core","end":45068246,"id":"ENSE00003562386","object_type":"Exon","seq_region_name":"15","species":"homo_sapiens","start":45068181,"strand":1,"version":1},{"assembly_name":"GRCh38","db_type":"core","end":45069052,"id":"ENSE00003677720","object_type":"Exon","seq_region_name":"15","species":"homo_sapiens","start":45068877,"strand":1,"version":1},{"assembly_name":"GRCh38","db_type":"core","end":45072438,"id":"ENSE00003587170","object_type":"Exon","seq_region_name":"15","species":"homo_sapiens","start":45072317,"strand":1,"version":1},{"assembly_name":"GRCh38","db_type":"core","end":45077185,"id":"ENSE00001140428","object_type":"Exon","seq_region_name":"15","species":"homo_sapiens","start":45073365,"strand":1,"version":5}],"Parent":"ENSG00000140263","Translation":{"Parent":"ENST00000267814","db_type":"core","end":45073530,"id":"ENSP00000267814","length":357,"object_type":"Translation","species":"homo_sapiens","start":45023284,"version":9},"assembly_name":"GRCh38","biotype":"protein_coding","db_type":"core","display_name":"SORD-201","end":45077185,"ens_canon_extended":0,"gencode_primary":1,"id":"ENST00000267814","is_canonical":1,"length":4818,"logic_name":"ensembl_havana_transcript_homo_sapiens","object_type":"Transcript","seq_region_name":"15","source":"ensembl_havana","species":"homo_sapiens","start":45023195,"strand":1,"version":14}
chr15:45167214-45187966 (hg38)	Ensembl overlap/region	200	[{"assembly_name":"GRCh38","biotype":"lncRNA","canonical_transcript":"ENST00000558039.1","description":"novel transcript","end":45167526,"feature_type":"gene","gene_id":"ENSG00000259539","id":"ENSG00000259539","logic_name":"havana_homo_sapiens","seq_region_name":"15","source":"havana","start":45152664,"strand":-1,"version":1},{"assembly_name":"GRCh38","biotype":"lncRNA","canonical_transcript":"ENST00000560034.1","description":"novel transcript, antisense to SHF","end":45199958,"feature_type":"gene","gene_id":"ENSG00000259519","id":"ENSG00000259519","logic_name":"havana_homo_sapiens","seq_region_name":"15","source":"havana","start":45170344,"strand":1,"version":1},{"assembly_name":"GRCh38","biotype":"lncRNA","canonical_transcript":"ENST00000843836.1","description":"novel transcript, antisense to SHF","end":45188820,"feature_type":"gene","gene_id":"ENSG00000309776","id":"ENSG00000309776","logic_name":"havana_tagene_homo_sapiens","seq_region_name":"15","source":"havana_tagene","start":45187090,"strand":1,"version":1},{"assembly_name":"GRCh38","biotype":"protein_coding","canonical_transcript":"ENST00000690270.1","description":"Src homology 2 domain containing F [Source:HGNC Symbol;Acc:HGNC:25116]","end":45201175,"external_name":"SHF","feature_type":"gene","gene_id":"ENSG00000138606","id":"ENSG00000138606","logic_name":"ensembl_havana_gene_homo_sapiens","seq_region_name":"15","source":"ensembl_havana","start":45165572,"strand":-1,"version":21}]
