metric	value
answer	chr22:36400000-36400000,0.0
count_q0	2
count_q0.1	1073
count_q0.25	1325
count_q0.5	1359
count_q0.75	1391
count_q0.9	1414
count_q1.0	1895
start	36400000
end	36400000
start_i	364
end_i	363
base	1358.5
amp_mean	0.0
flank_mean	1486.6
factor	0.0
threshold	1630.2
runs_ge_1.1x	36000000-36500000:5
runs_ge_1.2x	36100000-36400000:3
runs_ge_1.3x	36100000-36300000:2
runs_ge_1.4x	
runs_ge_1.5x	
bin	start	end	count
0	0	100000	0
1	100000	200000	0
2	200000	300000	0
3	300000	400000	0
4	400000	500000	0
5	500000	600000	0
6	600000	700000	0
7	700000	800000	0
8	800000	900000	0
9	900000	1000000	0
10	1000000	1100000	0
11	1100000	1200000	0
12	1200000	1300000	0
13	1300000	1400000	0
14	1400000	1500000	0
15	1500000	1600000	0
16	1600000	1700000	0
17	1700000	1800000	0
18	1800000	1900000	0
19	1900000	2000000	0
20	2000000	2100000	0
21	2100000	2200000	0
22	2200000	2300000	0
23	2300000	2400000	0
24	2400000	2500000	0
25	2500000	2600000	0
26	2600000	2700000	0
27	2700000	2800000	0
28	2800000	2900000	0
29	2900000	3000000	0
30	3000000	3100000	0
31	3100000	3200000	0
32	3200000	3300000	0
33	3300000	3400000	0
34	3400000	3500000	0
35	3500000	3600000	0
36	3600000	3700000	0
37	3700000	3800000	0
38	3800000	3900000	0
39	3900000	4000000	0
40	4000000	4100000	0
41	4100000	4200000	0
42	4200000	4300000	0
43	4300000	4400000	0
44	4400000	4500000	0
45	4500000	4600000	0
46	4600000	4700000	0
47	4700000	4800000	0
48	4800000	4900000	0
49	4900000	5000000	0
50	5000000	5100000	0
51	5100000	5200000	0
52	5200000	5300000	0
53	5300000	5400000	0
54	5400000	5500000	0
55	5500000	5600000	0
56	5600000	5700000	0
57	5700000	5800000	0
58	5800000	5900000	0
59	5900000	6000000	0
60	6000000	6100000	0
61	6100000	6200000	0
62	6200000	6300000	0
63	6300000	6400000	0
64	6400000	6500000	0
65	6500000	6600000	0
66	6600000	6700000	0
67	6700000	6800000	0
68	6800000	6900000	0
69	6900000	7000000	0
70	7000000	7100000	0
71	7100000	7200000	0
72	7200000	7300000	0
73	7300000	7400000	0
74	7400000	7500000	0
75	7500000	7600000	0
76	7600000	7700000	0
77	7700000	7800000	0
78	7800000	7900000	0
79	7900000	8000000	0
80	8000000	8100000	0
81	8100000	8200000	0
82	8200000	8300000	0
83	8300000	8400000	0
84	8400000	8500000	0
85	8500000	8600000	0
86	8600000	8700000	0
87	8700000	8800000	0
88	8800000	8900000	0
89	8900000	9000000	0
90	9000000	9100000	0
91	9100000	9200000	0
92	9200000	9300000	0
93	9300000	9400000	0
94	9400000	9500000	0
95	9500000	9600000	0
96	9600000	9700000	0
97	9700000	9800000	0
98	9800000	9900000	0
99	9900000	10000000	0
100	10000000	10100000	0
101	10100000	10200000	0
102	10200000	10300000	0
103	10300000	10400000	0
104	10400000	10500000	0
105	10500000	10600000	908
106	10600000	10700000	1157
107	10700000	10800000	1152
108	10800000	10900000	445
109	10900000	11000000	589
110	11000000	11100000	705
111	11100000	11200000	577
112	11200000	11300000	930
113	11300000	11400000	1060
114	11400000	11500000	906
115	11500000	11600000	669
116	11600000	11700000	644
117	11700000	11800000	586
118	11800000	11900000	1388
119	11900000	12000000	1078
120	12000000	12100000	976
121	12100000	12200000	1344
122	12200000	12300000	687
123	12300000	12400000	1330
124	12400000	12500000	648
125	12500000	12600000	1363
126	12600000	12700000	727
127	12700000	12800000	670
128	12800000	12900000	444
129	12900000	13000000	42
130	13000000	13100000	0
131	13100000	13200000	0
132	13200000	13300000	2
