3563	chr19
1785	chr2
1099	chr7
1079	chr1
1024	chr12
968	chr5
924	chr8
921	chr9
886	chr10
853	chr17
673	chr3
667	chr15
657	chr11
629	chr20
565	chr16
488	chr14
286	chr6
276	chr4
179	chrX
128	chr18
118	chr13
115	chr22
89	chr21
75	chr14_GL000225v1_random
42	chrUn_GL000216v2
32	chr17_KI270729v1_random
22	chr17_KI270730v1_random
20	chrY
16	chrUn_KI270538v1
15	chr1_KI270709v1_random
14	chrUn_KI270442v1
8	chr5_GL000208v1_random
7	chrUn_KI270438v1
7	chr22_KI270736v1_random
4	chrUn_KI270744v1
4	chr2_KI270716v1_random
4	chr14_KI270722v1_random
3	chrUn_KI270589v1
3	chr22_KI270735v1_random
3	chr16_KI270728v1_random
2	chrUn_KI270757v1
2	chrUn_KI270756v1
2	chrUn_KI270754v1
2	chrUn_KI270751v1
2	chrUn_KI270519v1
2	chrUn_GL000214v1
2	chr1_KI270712v1_random
1	chrUn_KI270591v1
1	chrUn_KI270467v1
1	chrUn_KI270466v1
1	chrUn_KI270435v1
1	chrUn_KI270429v1
1	chrUn_KI270337v1
1	chrUn_KI270336v1
1	chrUn_KI270333v1
1	chr14_KI270724v1_random
