chrom1	start1	end1	chrom2	start2	end2	cstart1	cstart2	c_label	c_size	count	la_exp.donut.value	la_exp.vertical.value	la_exp.horizontal.value	la_exp.lowleft.value	la_exp.donut.qval	la_exp.vertical.qval	la_exp.horizontal.qval	la_exp.lowleft.qval
chr12	7675000	7680000	chr12	7805000	7810000	7660000.0	7806666.666666666	104	3	161	23.00258527769523	40.39318119483058	22.258091219097363	24.017493017901753	1.1988440969677515e-68	2.153917538867196e-32	3.742303558631751e-68	1.6775684280589226e-68
chr12	7715000	7720000	chr12	7805000	7810000	7715625.0	7797500.0	106	8	101	22.822216124440928	33.66353705438034	23.431586629295587	22.237189075720963	8.407023721591978e-27	1.1706104200393366e-13	1.693309313625647e-26	1.0116021204633224e-26
chr12	7795000	7800000	chr12	7905000	7910000	7795000.0	7905000.0	107	1	27	6.489763925409515	8.360146061626072	5.2639087877882265	6.0842433728305885	0.0001782479575851951	0.005034300384595925	1.1743263877642204e-05	6.286765275930384e-06
chr12	17640000	17650000	chr12	17970000	17980000	17640000.0	17970000.0	233	1	47	17.68603455372972	23.839093172835174	14.768919231604118	17.266457915266663	0.00010974503352546864	0.010700591664382518	9.4250972910679e-07	9.136132958677597e-05
chr12	17770000	17780000	chr12	17860000	17870000	17761250.0	17857500.0	234	8	108	16.02048722018036	17.99176691721207	18.612296762427686	14.486342150434178	3.1212066550671887e-38	8.980410604787547e-38	1.197627979649489e-37	1.288010724580954e-46
chr12	27730000	27735000	chr12	27940000	27945000	27730000.0	27940000.0	216	1	45	6.882802799521802	8.39151526438836	8.200750129446	7.58647113889379	2.587642721387525e-15	7.807842764223112e-12	6.0877593290851445e-12	2.4896781230444823e-15
chr12	47715000	47720000	chr12	47780000	47785000	47713333.33333333	47780000.0	273	3	299	91.940646810702	146.80941119428732	110.74932045807816	97.17609601928386	9.4992302533651e-55	5.7766936788121675e-21	2.6366072797172975e-36	9.779828339520247e-55
chr12	47740000	47745000	chr12	47835000	47840000	47724090.90909091	47839090.90909091	274	11	299	77.35765366161388	136.75027883887927	75.56624496623398	65.14915548829046	2.867129613997219e-75	5.7766936788121675e-21	4.790214594183207e-75	3.277290932509083e-75
chr12	57620000	57630000	chr12	57730000	57740000	57626000.0	57732000.0	548	7	862	269.7213335496404	326.76194140691763	273.9240711540506	300.61203373122396	2.0777564210492141e-134	1.8058870184857195e-84	3.177723705834618e-134	2.5206115556638705e-134
chr12	67650000	67660000	chr12	67940000	67950000	67653333.33333333	67943333.33333333	640	3	115	54.113772904473535	68.62154327245973	61.553379723475345	53.89546794768486	2.793119230143553e-07	0.0032151661792398467	3.6713358511756813e-07	2.79467843469032e-07
chr12	76620000	76625000	chr12	76790000	76795000	76626785.71428572	76787142.85714285	501	13	149	19.042615161768747	21.00350989859054	32.60489238495302	18.569998635781893	1.967235751878126e-71	7.084707188709258e-59	1.2622188187863758e-36	3.0940005877251408e-71
chr12	76620000	76625000	chr12	76925000	76930000	76615000.0	76925000.0	499	2	53	8.421548060764117	8.973731620428408	10.532366467208261	7.318643138686968	1.6068934116345907e-17	5.147313481874224e-17	1.6001530413937549e-13	2.5184730211694425e-21
chr12	76620000	76625000	chr12	77010000	77015000	76616666.66666666	77008333.33333333	500	3	45	7.011485500601343	7.529994697168786	10.104218963963287	7.100390366414998	2.587642721387525e-15	6.936054429250078e-15	3.903580588249686e-09	2.4896781230444823e-15
chr12	76685000	76690000	chr12	76790000	76795000	76696250.0	76786250.0	502	5	60	22.157273806583902	25.312240743206395	25.07036127097057	22.226381377253094	4.82563442663865e-07	6.758382595230422e-07	6.553372541831797e-07	5.06279655922469e-07
