chrom1	start1	end1	chrom2	start2	end2	cstart1	cstart2	c_label	c_size	count	la_exp.donut.value	la_exp.vertical.value	la_exp.horizontal.value	la_exp.lowleft.value	la_exp.donut.qval	la_exp.vertical.qval	la_exp.horizontal.qval	la_exp.lowleft.qval
chr12	7640000	7650000	chr12	8070000	8080000	7656666.666666666	8070000.0	177	3	33	10.26194394997398	13.68460614099332	13.318040902860643	13.546523152741866	0.0005327514948260322	0.016163352477551594	0.015968608648769398	0.009959551624651864
chr12	7675000	7680000	chr12	7805000	7810000	7675000.0	7802500.0	183	6	197	19.743752241946638	33.501270963760646	16.754982887455544	21.92441969655182	5.2837452614613385e-117	1.879775157661258e-67	1.2692280862749352e-116	8.514648992323698e-100
chr12	7795000	7800000	chr12	7905000	7910000	7792500.0	7897500.0	185	2	73	5.92710805954609	8.858212375407867	3.4967541160460214	6.0897987642209195	4.656228546036583e-46	1.2901306450795416e-33	4.916215554537298e-58	4.050668618681755e-46
chr12	17770000	17780000	chr12	17860000	17870000	17766250.0	17862500.0	341	8	133	14.4017644543236	14.77057558283494	16.935341981352337	13.53865539743358	1.697460554995845e-69	5.974909524236396e-69	4.2147350711946446e-58	1.506775360797567e-69
chr12	27730000	27735000	chr12	27820000	27825000	27740500.0	27822500.0	439	10	87	19.35615836720187	21.968488862613246	28.07534472632512	19.300878307001852	1.0277746243078276e-25	1.8358217074505266e-19	5.945442952917021e-14	1.2020422436323816e-25
chr12	27730000	27735000	chr12	27940000	27945000	27740000.0	27936428.57142857	440	13	100	11.765159721905697	13.346552967648623	15.955049418998563	13.510239469882949	2.631094505530229e-50	8.294851494992018e-42	7.673721871653817e-42	4.9227290662327816e-42
chr12	27730000	27735000	chr12	28870000	28875000	27735000.0	28870000.0	442	3	20	1.5227820884397032	2.8267831321096395	1.536882751151022	1.7426105939031988	1.555328573919121e-10	2.7621773948094657e-06	2.3872719715647586e-10	2.617271971501031e-09
chr12	27735000	27740000	chr12	28170000	28175000	27743000.0	28175000.0	441	5	32	4.844017144421686	6.719630446257551	6.382123363495404	4.570229834884582	4.018584542743377e-12	1.2823900695901842e-07	1.264177053828366e-07	3.71166510173355e-12
chr12	47710000	47715000	chr12	47775000	47780000	47709000.0	47776000.0	627	5	374	62.877100329077685	105.07777206320152	91.0196483443832	66.02944878906342	2.556426011950941e-152	1.045717364508266e-67	1.0519816539984335e-93	3.3468478408732207e-122
chr12	47715000	47720000	chr12	47835000	47840000	47716250.0	47833750.0	628	16	609	59.1722843451085	118.9281787428452	74.03816611213891	65.06699572084148	0.0	9.716293103743458e-204	3.59690610852605e-305	1.9142786933350259e-305
chr12	47715000	47720000	chr12	47945000	47950000	47716250.0	47952500.0	629	8	81	19.574161547819553	29.895447283356656	20.955952457317128	18.08534546012668	4.7359564642083835e-22	1.7565847482468302e-11	2.1327928560717543e-16	5.431763790389178e-22
chr12	47715000	47720000	chr12	48160000	48165000	47712500.0	48162500.0	630	4	29	5.7928764792770435	5.777054382381025	8.110394224834655	4.810703879684446	6.151529889867267e-08	8.921010304373113e-08	0.00020337371177691296	6.354831639765474e-10
chr12	67650000	67660000	chr12	67820000	67830000	67666000.0	67818000.0	1061	5	175	70.09480616722465	75.05755576030306	92.64644255859086	83.35775191518493	2.240987886418724e-18	2.9220348633910517e-18	4.1923904120786537e-10	3.2520916781357613e-10
chr12	67650000	67655000	chr12	67940000	67945000	67661875.0	67940625.0	956	8	149	32.695604389419096	38.07941725141609	51.97214944767296	48.8273599120174	1.6510315274030806e-37	2.2852379752591052e-37	2.6285451817120048e-18	1.8593402602981654e-27
chr12	76340000	76350000	chr12	76450000	76460000	76350000.0	76447500.0	1190	4	243	76.79650975968562	98.82257125334564	50.609999103946784	91.82998001426368	3.901212136062035e-46	4.532073940406857e-31	5.974785194513791e-81	3.560544472053152e-31
chr12	76340000	76350000	chr12	76580000	76590000	76358000.0	76574000.0	1191	5	110	35.22415805817535	55.394266015345146	29.6992887139308	52.05476699896047	1.5484742125881203e-17	2.631080995024212e-06	2.206229484587305e-24	2.181678907920443e-06
chr12	76475000	76480000	chr12	76555000	76560000	76463333.33333333	76560000.0	1046	6	60	25.338466398657154	28.327768060327312	29.377286321848334	25.618009204296985	1.7182922881963887e-07	0.00015361375721616201	0.00015283060196375468	0.00012096634266929824
chr12	76620000	76625000	chr12	76715000	76720000	76621250.0	76703750.0	1050	4	104	31.70449117723177	28.755151328464123	45.83271940893194	36.38259356664645	5.324128006391716e-22	7.361626977447253e-22	8.903610483882088e-10	1.6818952290357355e-15
chr12	76620000	76625000	chr12	76790000	76795000	76625000.0	76782954.54545455	1047	21	412	27.855727806111783	29.72892592449804	61.738157759267814	32.00415557719109	4.7819527063672834e-291	1.9011760060702116e-290	5.9456608848887574e-182	1.3013798755785702e-253
chr12	76620000	76625000	chr12	76925000	76930000	76618571.42857142	76927142.85714285	1049	7	85	10.381543529947452	13.86479853372005	14.662640292216688	7.608660246100526	1.5396187740047045e-37	1.3927251482302431e-30	1.3385176220291674e-30	1.2382957492896849e-51
chr12	76620000	76625000	chr12	77010000	77015000	76618125.0	77008750.0	1048	8	68	7.6119368106094365	9.52821438165876	11.844810198405971	7.886593679554673	2.869729241737181e-35	1.7310041392250158e-29	3.0497834084599917e-24	2.7685780856445697e-35
chr12	76810000	76820000	chr12	77010000	77020000	76806666.66666666	77010000.0	1199	3	77	28.664588951540278	42.891465959222714	32.38680493773038	39.14985477767817	1.2987653273626824e-09	0.0065648145483141645	8.719232451228273e-06	6.963316976344828e-06
chr12	76820000	76830000	chr12	76920000	76930000	76805000.0	76920000.0	1198	2	132	56.559491364586236	78.38853647136844	65.15300141247837	53.097468065881	2.561168730300924e-12	1.697167622140301e-06	1.6924564187883988e-06	2.6037601570411757e-12
chr12	76875000	76880000	chr12	76940000	76945000	76867500.0	76940000.0	1055	2	88	43.588463246444206	42.17588553173832	52.53596558747366	42.97375995496385	1.3919212027195046e-05	1.9979089603357567e-05	0.01975444082958332	1.392426758275693e-05
chr12	76875000	76880000	chr12	77010000	77015000	76871666.66666666	77010000.0	1056	3	81	21.3517655322192	36.064863507187106	20.279804836739125	24.677803329621387	1.530549654106487e-16	2.828503105924641e-07	2.1327928560717543e-16	1.7403943111041722e-16
chr12	76940000	76945000	chr12	77005000	77010000	76931666.66666666	77008333.33333333	1057	3	59	27.59771743724188	33.40045198334082	26.27838937798257	29.40910193220443	0.00022302809046396055	0.034312772481118116	0.00027658518373286685	0.0002191946167251604
chr12	77040000	77050000	chr12	77680000	77690000	77045714.28571428	77681428.57142857	1204	7	87	15.64631866054057	23.23797616154225	20.04771194301712	12.961133411355931	1.3231882732670925e-31	7.176266962955445e-19	6.718246231083764e-25	1.1418384356946803e-31
chr12	77045000	77050000	chr12	77325000	77330000	77051428.57142857	77320714.28571428	1059	7	53	14.58172106260131	16.298070933764446	19.56295177954197	17.166051111773776	4.5422636391464226e-11	9.064655583254076e-08	8.828780927246519e-08	7.312249949370666e-08
chr12	77060000	77065000	chr12	77125000	77130000	77050833.33333333	77130000.0	1058	6	80	33.593555639762556	31.847593194269013	44.68962136776893	34.15022218362105	4.22542911660792e-07	4.3374483781713717e-11	0.0010228888579600134	4.1778224840703335e-07
chr12	77060000	77065000	chr12	77940000	77945000	77060000.0	77932500.0	1060	2	24	3.9751849589417585	6.482457529803942	2.90317066003847	2.8930416183487693	5.227534268987543e-08	0.0011777807449948991	2.0793135922490648e-09	1.0464109645732283e-09
chr12	77150000	77155000	chr12	77320000	77325000	77150000.0	77321000.0	1062	5	89	24.4263474854708	31.323419655090557	34.404129125645646	24.549761357743378	1.1597298942417924e-20	8.393464469206233e-15	8.426856870020214e-10	1.3444978710136039e-20
chr12	77150000	77160000	chr12	77570000	77580000	77150000.0	77570000.0	1212	1	72	26.46957984708317	27.103946637656477	40.23367528566124	24.2887155558073	7.640634335543794e-08	9.450331913039232e-08	0.0001606480650122523	7.311776258972255e-12
chr12	77150000	77160000	chr12	77680000	77690000	77144285.71428572	77681428.57142857	1209	7	227	23.49544238360748	30.38101771465012	30.12515106861618	23.751540030463534	1.3538675179254681e-126	8.300021479176693e-107	8.390334347483584e-107	1.3886037008822446e-126
chr12	77150000	77160000	chr12	77920000	77930000	77135000.0	77925000.0	1208	2	43	16.364625928783134	25.366426066433224	13.397478171839776	13.784325660494929	0.0007135248782268041	0.036285848001781945	7.19355480842917e-06	4.301598232326554e-06
chr12	77320000	77330000	chr12	77680000	77690000	77320000.0	77680000.0	1213	1	108	41.99432540459849	61.189206617332935	39.59368811460011	46.20640565155335	1.0164658543001458e-10	7.434649996454646e-06	1.5200886362109348e-16	1.027363187638653e-10
chr12	77320000	77330000	chr12	77920000	77930000	77320000.0	77920000.0	1214	1	50	16.441313051971118	22.55299104757389	14.478247867607891	16.79994916389401	3.063271124772144e-06	0.0008163132045515474	6.8746236779795334e-09	2.477756327208409e-06
chr12	77550000	77560000	chr12	77680000	77690000	77540000.0	77677500.0	1215	4	103	50.099685116362714	63.43179459250688	49.34649276126794	48.30314539155103	3.5746454051418966e-09	8.369999736350449e-05	4.3409708545237875e-09	3.560981848297075e-09
chr12	77570000	77580000	chr12	77920000	77930000	77570000.0	77925000.0	1216	2	63	20.85226490933722	37.35698024979184	18.208723995407468	22.954223494632128	3.8409642544570276e-08	0.012841098667915291	1.1583970588170054e-11	3.3533742736438123e-08
chr12	77720000	77725000	chr12	77925000	77930000	77722631.57894737	77923157.89473684	1066	19	178	11.883158987831097	21.002056080900182	16.188126468080412	16.363565381392938	3.2345619419139923e-130	2.7386763449724904e-83	2.3588012817008074e-98	1.383984554873691e-98
chr12	77720000	77730000	chr12	78110000	78120000	77720000.0	78115000.0	1219	2	33	6.80013572682788	7.925751272814492	11.159565748063152	6.779810243341383	1.1004456077463488e-07	1.5536932976230813e-07	0.0006381315123255478	7.826279533741757e-08
chr12	77845000	77850000	chr12	77920000	77925000	77849000.0	77920000.0	1068	5	61	17.98852381132122	22.80607980191332	19.609906359967123	19.887323447815586	2.2564415260803355e-11	9.294586464246152e-08	2.9502306670471796e-11	2.4255162487805695e-11
chr12	78005000	78010000	chr12	78120000	78125000	78005000.0	78119000.0	1069	5	31	11.2889775810835	13.953061769897086	13.33594082246946	12.409985265536074	0.0008897712714373852	0.022030904095014438	0.02183256543408041	0.0008290127562459719
chr12	97640000	97650000	chr12	98370000	98380000	97635000.0	98370000.0	1559	2	37	14.896308224202793	19.402372147027187	14.101234447345508	15.080530215366268	0.000927848819136185	0.0314952256393574	0.0010496867149693688	0.000646252472239463
chr12	107675000	107680000	chr12	107880000	107885000	107676923.07692309	107883076.92307691	1488	13	137	11.785425553710187	19.620353912150946	16.487048811527306	9.273949125608189	9.478620158351261e-86	4.3593054621920614e-62	4.1943787872578124e-62	1.0110330275852875e-97
chr12	107675000	107680000	chr12	108190000	108195000	107675000.0	108190000.0	1491	3	27	4.418388802214947	4.2495102729017615	6.040419486739513	2.6990274663589005	1.8228216505547147e-08	2.99024414598508e-08	1.4138704353666432e-06	2.8398866332118662e-12
chr12	107675000	107680000	chr12	108455000	108460000	107671666.66666666	108453333.33333331	1492	3	45	9.20328756460817	8.943106557769227	16.623447109995197	4.8008356644883525	4.789894058290516e-13	7.547193235564171e-13	7.356918259826325e-05	3.3572465911111805e-23
chr12	107675000	107680000	chr12	108510000	108515000	107678000.0	108509000.0	1493	10	123	9.223243089185097	11.264918415470019	13.735339427880373	10.146281784024122	1.7805988173347813e-82	2.7723557364929385e-71	6.00606866622351e-61	1.167385891986063e-71
chr12	107685000	107690000	chr12	107755000	107760000	107686250.0	107755000.0	1489	4	82	21.402942323844048	19.881371925285766	24.37922458554968	24.438078364729428	4.868639362718959e-17	1.8044454035222208e-22	6.830209930080898e-17	5.548848321122794e-17
chr12	107760000	107765000	chr12	107885000	107890000	107762500.0	107881250.0	1490	4	57	13.576121031255909	18.283804044987775	14.611051702898394	17.511016976039514	3.703202944260881e-13	1.9311624687029905e-09	5.524522871762756e-13	1.5366085167642685e-09
chr12	107760000	107765000	chr12	108510000	108515000	107751875.0	108513750.0	1494	8	32	7.007136204221862	11.33517901934097	7.268831241925286	6.477429817197651	8.913630163093068e-08	0.0004772106991495818	1.264177053828366e-07	8.312557115111329e-08
chr12	117685000	117690000	chr12	117830000	117835000	117681176.47058824	117830294.11764704	1672	17	189	33.31602509888344	51.67151574031188	31.57424446031799	32.49517810074139	3.33969422949639e-62	4.712713382781175e-35	5.659281393386756e-77	3.7329188699637455e-62
chr12	127680000	127685000	chr12	128065000	128070000	127687500.0	128065000.0	1836	2	27	6.220408990838406	11.167477143585694	5.136060182112057	8.23930098678772	1.0131319876261642e-06	0.019696068599486118	1.4138704353666432e-06	0.0009536066792845377
