metric	value
selection	gene_name == Lepr; feature == exon
coordinate_convention	GTF 1-based inclusive; length = end - start + 1
matching_records	154
gene_id	ENSMUSG00000057722.18
transcript_count	7
exon_record_count	73
raw_exon_bp_with_repeated_transcripts	15378
non_overlapping_segment_count	22
total_non_overlapping_exonic_bp	7049
feature_counts	CDS:55,UTR:11,exon:73,gene:1,start_codon:4,stop_codon:3,transcript:7
segment	seqid	strand	start	end	length
segment	chr4	+	101574601	101575135	535
segment	chr4	+	101585207	101585266	60
segment	chr4	+	101590464	101590793	330
segment	chr4	+	101592757	101592880	124
segment	chr4	+	101602708	101602913	206
segment	chr4	+	101607484	101607626	143
segment	chr4	+	101609258	101609402	145
segment	chr4	+	101622058	101622348	291
segment	chr4	+	101622501	101622618	118
segment	chr4	+	101625244	101625443	200
segment	chr4	+	101628494	101628642	149
segment	chr4	+	101630033	101630192	160
segment	chr4	+	101631398	101631480	83
segment	chr4	+	101636596	101636790	195
segment	chr4	+	101637102	101637318	217
segment	chr4	+	101639742	101640092	351
segment	chr4	+	101646111	101646161	51
segment	chr4	+	101646460	101646555	96
segment	chr4	+	101647998	101648103	106
segment	chr4	+	101649192	101649455	264
segment	chr4	+	101668545	101670864	2320
segment	chr4	+	101671645	101672549	905
