metric	value
matching_rule	gene_name == Lepr (case-sensitive)
matching_records	154
gene_ids	ENSMUSG00000057722.18
gene_id_count	1
transcript_count	7
exon_record_count	73
feature_counts	CDS:55,UTR:11,exon:73,gene:1,start_codon:4,stop_codon:3,transcript:7
exon	seqid	start	end	strand	gene_id	transcript_id	exon_id
exon	chr4	101574601	101575135	+	ENSMUSG00000057722.18	ENSMUST00000037552.10	ENSMUSE00000662575.4
exon	chr4	101574601	101575135	+	ENSMUSG00000057722.18	ENSMUST00000102777.10	ENSMUSE00000662575.4
exon	chr4	101574601	101575135	+	ENSMUSG00000057722.18	ENSMUST00000106921.9	ENSMUSE00000662575.4
exon	chr4	101574604	101574700	+	ENSMUSG00000057722.18	ENSMUST00000145024.2	ENSMUSE00000794413.2
exon	chr4	101585207	101585266	+	ENSMUSG00000057722.18	ENSMUST00000037552.10	ENSMUSE00001274678.2
exon	chr4	101585207	101585266	+	ENSMUSG00000057722.18	ENSMUST00000102777.10	ENSMUSE00001274678.2
exon	chr4	101585207	101585266	+	ENSMUSG00000057722.18	ENSMUST00000106921.9	ENSMUSE00001274678.2
exon	chr4	101585207	101585266	+	ENSMUSG00000057722.18	ENSMUST00000145024.2	ENSMUSE00001274678.2
exon	chr4	101590464	101590514	+	ENSMUSG00000057722.18	ENSMUST00000145024.2	ENSMUSE00000831550.2
exon	chr4	101590464	101590793	+	ENSMUSG00000057722.18	ENSMUST00000037552.10	ENSMUSE00001288305.2
exon	chr4	101590464	101590793	+	ENSMUSG00000057722.18	ENSMUST00000102777.10	ENSMUSE00001288305.2
exon	chr4	101590464	101590793	+	ENSMUSG00000057722.18	ENSMUST00000106921.9	ENSMUSE00001288305.2
exon	chr4	101592757	101592880	+	ENSMUSG00000057722.18	ENSMUST00000037552.10	ENSMUSE00001307332.2
exon	chr4	101592757	101592880	+	ENSMUSG00000057722.18	ENSMUST00000102777.10	ENSMUSE00001307332.2
exon	chr4	101592757	101592880	+	ENSMUSG00000057722.18	ENSMUST00000106921.9	ENSMUSE00001307332.2
exon	chr4	101602708	101602913	+	ENSMUSG00000057722.18	ENSMUST00000037552.10	ENSMUSE00001222831.2
exon	chr4	101602708	101602913	+	ENSMUSG00000057722.18	ENSMUST00000102777.10	ENSMUSE00001222831.2
exon	chr4	101602708	101602913	+	ENSMUSG00000057722.18	ENSMUST00000106921.9	ENSMUSE00001222831.2
exon	chr4	101607484	101607626	+	ENSMUSG00000057722.18	ENSMUST00000037552.10	ENSMUSE00001268020.2
exon	chr4	101607484	101607626	+	ENSMUSG00000057722.18	ENSMUST00000102777.10	ENSMUSE00001268020.2
exon	chr4	101607484	101607626	+	ENSMUSG00000057722.18	ENSMUST00000106921.9	ENSMUSE00001268020.2
exon	chr4	101609258	101609402	+	ENSMUSG00000057722.18	ENSMUST00000037552.10	ENSMUSE00001286693.2
exon	chr4	101609258	101609402	+	ENSMUSG00000057722.18	ENSMUST00000102777.10	ENSMUSE00001286693.2
exon	chr4	101609258	101609402	+	ENSMUSG00000057722.18	ENSMUST00000106921.9	ENSMUSE00001286693.2
exon	chr4	101622058	101622348	+	ENSMUSG00000057722.18	ENSMUST00000037552.10	ENSMUSE00001213593.2
exon	chr4	101622058	101622348	+	ENSMUSG00000057722.18	ENSMUST00000102777.10	ENSMUSE00001213593.2
exon	chr4	101622058	101622348	+	ENSMUSG00000057722.18	ENSMUST00000106921.9	ENSMUSE00001213593.2
exon	chr4	101622501	101622618	+	ENSMUSG00000057722.18	ENSMUST00000037552.10	ENSMUSE00001218167.2
exon	chr4	101622501	101622618	+	ENSMUSG00000057722.18	ENSMUST00000102777.10	ENSMUSE00001218167.2
exon	chr4	101622501	101622618	+	ENSMUSG00000057722.18	ENSMUST00000106921.9	ENSMUSE00001218167.2
exon	chr4	101625244	101625443	+	ENSMUSG00000057722.18	ENSMUST00000037552.10	ENSMUSE00001279819.2
exon	chr4	101625244	101625443	+	ENSMUSG00000057722.18	ENSMUST00000102777.10	ENSMUSE00001279819.2
exon	chr4	101625244	101625443	+	ENSMUSG00000057722.18	ENSMUST00000106921.9	ENSMUSE00001279819.2
exon	chr4	101625244	101625443	+	ENSMUSG00000057722.18	ENSMUST00000128948.8	ENSMUSE00001287274.2
exon	chr4	101628494	101628642	+	ENSMUSG00000057722.18	ENSMUST00000037552.10	ENSMUSE00001262640.2
exon	chr4	101628494	101628642	+	ENSMUSG00000057722.18	ENSMUST00000102777.10	ENSMUSE00001262640.2
exon	chr4	101628494	101628642	+	ENSMUSG00000057722.18	ENSMUST00000106921.9	ENSMUSE00001262640.2
exon	chr4	101628494	101628642	+	ENSMUSG00000057722.18	ENSMUST00000128948.8	ENSMUSE00001233703.2
exon	chr4	101628565	101628642	+	ENSMUSG00000057722.18	ENSMUST00000156402.2	ENSMUSE00000783838.2
exon	chr4	101630033	101630192	+	ENSMUSG00000057722.18	ENSMUST00000037552.10	ENSMUSE00001207785.2
exon	chr4	101630033	101630192	+	ENSMUSG00000057722.18	ENSMUST00000102777.10	ENSMUSE00001207785.2
exon	chr4	101630033	101630192	+	ENSMUSG00000057722.18	ENSMUST00000106921.9	ENSMUSE00001207785.2
exon	chr4	101630033	101630192	+	ENSMUSG00000057722.18	ENSMUST00000128948.8	ENSMUSE00001206026.2
exon	chr4	101630033	101630192	+	ENSMUSG00000057722.18	ENSMUST00000156402.2	ENSMUSE00001206026.2
exon	chr4	101631398	101631480	+	ENSMUSG00000057722.18	ENSMUST00000037552.10	ENSMUSE00001233695.2
exon	chr4	101631398	101631480	+	ENSMUSG00000057722.18	ENSMUST00000102777.10	ENSMUSE00001233695.2
exon	chr4	101631398	101631480	+	ENSMUSG00000057722.18	ENSMUST00000106921.9	ENSMUSE00001233695.2
exon	chr4	101631398	101631480	+	ENSMUSG00000057722.18	ENSMUST00000128948.8	ENSMUSE00001208698.2
exon	chr4	101631398	101631480	+	ENSMUSG00000057722.18	ENSMUST00000156402.2	ENSMUSE00001208698.2
exon	chr4	101636596	101636790	+	ENSMUSG00000057722.18	ENSMUST00000128948.8	ENSMUSE00000741732.2
exon	chr4	101637102	101637318	+	ENSMUSG00000057722.18	ENSMUST00000037552.10	ENSMUSE00001227971.2
exon	chr4	101637102	101637318	+	ENSMUSG00000057722.18	ENSMUST00000102777.10	ENSMUSE00001227971.2
exon	chr4	101637102	101637318	+	ENSMUSG00000057722.18	ENSMUST00000106921.9	ENSMUSE00001227971.2
exon	chr4	101637102	101637318	+	ENSMUSG00000057722.18	ENSMUST00000156402.2	ENSMUSE00001215337.2
exon	chr4	101639742	101639924	+	ENSMUSG00000057722.18	ENSMUST00000037552.10	ENSMUSE00001277993.2
exon	chr4	101639742	101639924	+	ENSMUSG00000057722.18	ENSMUST00000102777.10	ENSMUSE00001277993.2
exon	chr4	101639742	101639924	+	ENSMUSG00000057722.18	ENSMUST00000106921.9	ENSMUSE00001277993.2
exon	chr4	101639742	101640092	+	ENSMUSG00000057722.18	ENSMUST00000156402.2	ENSMUSE00000760586.2
exon	chr4	101646111	101646161	+	ENSMUSG00000057722.18	ENSMUST00000151733.2	ENSMUSE00000756972.2
exon	chr4	101646460	101646555	+	ENSMUSG00000057722.18	ENSMUST00000037552.10	ENSMUSE00001211177.2
exon	chr4	101646460	101646555	+	ENSMUSG00000057722.18	ENSMUST00000102777.10	ENSMUSE00001211177.2
exon	chr4	101646460	101646555	+	ENSMUSG00000057722.18	ENSMUST00000106921.9	ENSMUSE00001211177.2
exon	chr4	101646460	101646555	+	ENSMUSG00000057722.18	ENSMUST00000151733.2	ENSMUSE00001241832.2
exon	chr4	101647998	101648103	+	ENSMUSG00000057722.18	ENSMUST00000037552.10	ENSMUSE00001234194.2
exon	chr4	101647998	101648103	+	ENSMUSG00000057722.18	ENSMUST00000102777.10	ENSMUSE00001234194.2
exon	chr4	101647998	101648103	+	ENSMUSG00000057722.18	ENSMUST00000106921.9	ENSMUSE00001234194.2
exon	chr4	101647998	101648103	+	ENSMUSG00000057722.18	ENSMUST00000151733.2	ENSMUSE00001259337.2
exon	chr4	101649192	101649267	+	ENSMUSG00000057722.18	ENSMUST00000037552.10	ENSMUSE00001250768.2
exon	chr4	101649192	101649267	+	ENSMUSG00000057722.18	ENSMUST00000106921.9	ENSMUSE00001250768.2
exon	chr4	101649192	101649353	+	ENSMUSG00000057722.18	ENSMUST00000151733.2	ENSMUSE00000830069.2
exon	chr4	101649192	101649455	+	ENSMUSG00000057722.18	ENSMUST00000102777.10	ENSMUSE00000662573.4
exon	chr4	101668545	101670864	+	ENSMUSG00000057722.18	ENSMUST00000106921.9	ENSMUSE00000741576.2
exon	chr4	101671645	101672549	+	ENSMUSG00000057722.18	ENSMUST00000037552.10	ENSMUSE00001246029.2
