READ_2321	NC_017519.1	100.000	75	1	75	452825	452899	3.67e-34	136	75	NC_017519.1	N/A	100
READ_29706	NC_017519.1	100.000	75	1	75	456215	456141	3.67e-34	136	75	NC_017519.1	N/A	100
READ_32044	NC_017519.1	100.000	75	1	75	41279	41353	3.67e-34	136	75	NC_017519.1	N/A	100
READ_32044	NC_017519.1	94.366	71	5	75	40384	40453	1.78e-25	107	75	NC_017519.1	N/A	95
READ_32044	NC_017519.1	91.781	73	5	75	42113	42184	1.12e-21	95.1	75	NC_017519.1	N/A	95
READ_32044	NC_017519.1	85.075	67	5	68	43410	43474	1.28e-14	72.5	75	NC_017519.1	N/A	85
READ_35152	NC_017519.1	100.000	75	1	75	456101	456175	3.67e-34	136	75	NC_017519.1	N/A	100
READ_38971	NC_017519.1	100.000	75	1	75	453270	453344	3.67e-34	136	75	NC_017519.1	N/A	100
READ_43760	NC_017519.1	100.000	75	1	75	823127	823201	3.67e-34	136	75	NC_017519.1	N/A	100
READ_51944	NC_017519.1	100.000	75	1	75	671877	671951	3.67e-34	136	75	NC_017519.1	N/A	100
READ_58022	NC_017519.1	98.667	75	1	75	455351	455425	1.56e-32	132	75	NC_017519.1	N/A	100
READ_60143	NC_017519.1	100.000	75	1	75	383099	383173	3.67e-34	136	75	NC_017519.1	N/A	100
READ_71044	NC_017519.1	100.000	75	1	75	456245	456171	3.67e-34	136	75	NC_017519.1	N/A	100
READ_73911	NC_017519.1	100.000	75	1	75	454757	454831	3.67e-34	136	75	NC_017519.1	N/A	100
READ_76109	NC_017519.1	100.000	75	1	75	733707	733633	3.67e-34	136	75	NC_017519.1	N/A	100
READ_76129	NC_017519.1	100.000	75	1	75	41058	40984	3.67e-34	136	75	NC_017519.1	N/A	100
READ_76129	NC_017519.1	85.938	64	1	64	43157	43094	1.05e-15	76.1	75	NC_017519.1	N/A	85
READ_76129	NC_017519.1	86.364	44	4	44	40995	40952	1.20e-08	51.8	75	NC_017519.1	N/A	55
READ_76805	NC_017519.1	100.000	75	1	75	456156	456082	3.67e-34	136	75	NC_017519.1	N/A	100
READ_88380	NC_017519.1	100.000	75	1	75	454890	454816	3.67e-34	136	75	NC_017519.1	N/A	100
READ_94673	NC_017519.1	100.000	75	1	75	454114	454040	3.67e-34	136	75	NC_017519.1	N/A	100
READ_108485	NC_017519.1	100.000	75	1	75	378819	378893	3.67e-34	136	75	NC_017519.1	N/A	100
READ_108485	NC_017519.1	88.095	42	10	51	447364	447405	3.44e-09	54.5	75	NC_017519.1	N/A	56
READ_109793	NC_017519.1	100.000	75	1	75	456252	456178	3.67e-34	136	75	NC_017519.1	N/A	100
READ_116709	NC_017519.1	100.000	75	1	75	455608	455682	3.67e-34	136	75	NC_017519.1	N/A	100
READ_123203	NC_017519.1	100.000	75	1	75	36784	36858	3.67e-34	136	75	NC_017519.1	N/A	100
READ_129957	NC_017519.1	100.000	75	1	75	21611	21537	3.67e-34	136	75	NC_017519.1	N/A	100
READ_132183	NC_017519.1	100.000	75	1	75	500146	500220	3.67e-34	136	75	NC_017519.1	N/A	100
READ_134385	NC_017519.1	100.000	75	1	75	455619	455545	3.67e-34	136	75	NC_017519.1	N/A	100
READ_146953	NC_017519.1	100.000	75	1	75	454365	454439	3.67e-34	136	75	NC_017519.1	N/A	100
READ_149463	NC_017519.1	100.000	43	1	43	453250	453208	8.64e-17	78.8	75	NC_017519.1	N/A	57
READ_152394	NC_017519.1	100.000	75	1	75	671175	671101	3.67e-34	136	75	NC_017519.1	N/A	100
READ_158838	NC_017519.1	100.000	75	1	75	453093	453019	3.67e-34	136	75	NC_017519.1	N/A	100
READ_168499	NC_017519.1	100.000	75	1	75	454350	454424	3.67e-34	136	75	NC_017519.1	N/A	100
READ_181780	NC_017519.1	98.649	74	2	75	455393	455466	5.45e-32	130	75	NC_017519.1	N/A	99
READ_182678	NC_017519.1	100.000	75	1	75	382778	382704	3.67e-34	136	75	NC_017519.1	N/A	100
READ_183829	NC_017519.1	100.000	75	1	75	452649	452723	3.67e-34	136	75	NC_017519.1	N/A	100
READ_184577	NC_017519.1	100.000	75	1	75	696323	696397	3.67e-34	136	75	NC_017519.1	N/A	100
READ_190108	NC_017519.1	100.000	75	1	75	452611	452685	3.67e-34	136	75	NC_017519.1	N/A	100
READ_202371	NC_017519.1	100.000	75	1	75	453136	453210	3.67e-34	136	75	NC_017519.1	N/A	100
READ_206800	NC_017519.1	100.000	74	2	75	454850	454923	1.28e-33	134	75	NC_017519.1	N/A	99
READ_213512	NC_017519.1	100.000	75	1	75	455946	456020	3.67e-34	136	75	NC_017519.1	N/A	100
READ_216439	NC_017519.1	100.000	75	1	75	37307	37381	3.67e-34	136	75	NC_017519.1	N/A	100
READ_238530	NC_017519.1	98.667	75	1	75	455964	456038	1.56e-32	132	75	NC_017519.1	N/A	100
