sample	metric	value
signal	reads	44898157
signal	chromosomes	173
signal	mean_read_length	50.47795594371502
signal	min_read_length	15
signal	max_read_length	51
signal	distinct_read_lengths	37
signal	malformed_lines	0
signal	occupied_bins_1000	8348781
signal	median_reads_per_occupied_bin_1000	4.0
signal	p90_reads_per_occupied_bin_1000	10.0
signal	p99_reads_per_occupied_bin_1000	20.0
signal	max_reads_per_occupied_bin_1000	618
signal	gini_1000	0.3591513369883508
signal	top_1pct_read_share_1000	0.051453916025996346
signal	top_5pct_read_share_1000	0.16188815946275925
signal	top_10pct_read_share_1000	0.26239266346723317
signal	occupied_bins_5000	1725903
signal	median_reads_per_occupied_bin_5000	23.0
signal	p90_reads_per_occupied_bin_5000	45.0
signal	p99_reads_per_occupied_bin_5000	85.0
signal	max_reads_per_occupied_bin_5000	1181
signal	gini_5000	0.3222368497780137
signal	top_1pct_read_share_5000	0.04529248271816592
signal	top_5pct_read_share_5000	0.14543561331481825
signal	top_10pct_read_share_5000	0.23995018325585168
signal	occupied_bins_10000	868726
signal	median_reads_per_occupied_bin_10000	46.0
signal	p90_reads_per_occupied_bin_10000	87.0
signal	p99_reads_per_occupied_bin_10000	156.0
signal	max_reads_per_occupied_bin_10000	1617
signal	gini_10000	0.3059952746481456
signal	top_1pct_read_share_10000	0.04197181189419423
signal	top_5pct_read_share_10000	0.1362624305492094
signal	top_10pct_read_share_10000	0.2280419439042899
signal	top_chromosomes	chr2:4570189,chr5:3135836,chr1:3017105,chr3:3000003,chr7:2737221,chr8:2674918,chr12:2340072,chr10:2286836
signal	length_histogram	15:1701,16:5698,17:14738,18:22502,19:27385,20:30261,21:32128,22:32922,23:34881,24:37345,25:41044,26:40659,27:41863,28:43631,29:43151,30:42737,31:43091,32:42594,33:42704,34:43354,35:43573,36:42591,37:42941,38:43344,39:42920,40:42833,41:43475,42:44449,43:45421,44:47527,45:51350,46:54639,47:61780,48:86248,49:179976,50:636240,51:42724461
control	reads	27109157
control	chromosomes	156
control	mean_read_length	51.00054505567989
control	min_read_length	50
control	max_read_length	52
control	distinct_read_lengths	3
control	malformed_lines	0
control	occupied_bins_1000	8101925
control	median_reads_per_occupied_bin_1000	3.0
control	p90_reads_per_occupied_bin_1000	6.0
control	p99_reads_per_occupied_bin_1000	10.0
control	max_reads_per_occupied_bin_1000	1000
control	gini_1000	0.3102311194806977
control	top_1pct_read_share_1000	0.03538070180492887
control	top_5pct_read_share_1000	0.12940863487566212
control	top_10pct_read_share_1000	0.2240807414262273
control	occupied_bins_5000	1715783
control	median_reads_per_occupied_bin_5000	15.0
control	p90_reads_per_occupied_bin_5000	26.0
control	p99_reads_per_occupied_bin_5000	40.0
control	max_reads_per_occupied_bin_5000	4599
control	gini_5000	0.27016954891483436
control	top_1pct_read_share_5000	0.030796088568892054
control	top_5pct_read_share_5000	0.11607465329888347
control	top_10pct_read_share_5000	0.20365856452120587
control	occupied_bins_10000	864145
control	median_reads_per_occupied_bin_10000	29.0
control	p90_reads_per_occupied_bin_10000	50.0
control	p99_reads_per_occupied_bin_10000	76.0
control	max_reads_per_occupied_bin_10000	6117
control	gini_10000	0.25948423081988503
control	top_1pct_read_share_10000	0.029394421965979984
control	top_5pct_read_share_10000	0.1121990255912421
control	top_10pct_read_share_10000	0.19806750169324705
control	top_chromosomes	chr2:2797843,chr1:2043421,chr5:1840188,chr3:1828880,chr7:1602734,chr8:1507572,chr12:1475388,chr10:1367286
control	length_histogram	50:40705,51:27012971,52:55481
