sample	metric	value
signal	reads	44898157
signal	chromosomes	173
signal	mean_read_length	50.47795594371502
signal	min_read_length	15
signal	max_read_length	51
signal	distinct_read_lengths	37
signal	malformed_lines	0
signal	occupied_bins_1000	2843277
signal	median_reads_per_occupied_bin_1000	14.0
signal	p90_reads_per_occupied_bin_1000	27.0
signal	p99_reads_per_occupied_bin_1000	58.0
signal	max_reads_per_occupied_bin_1000	1512
signal	gini_1000	0.3277154858880338
signal	top_1pct_read_share_1000	0.05031714330724087
signal	top_5pct_read_share_1000	0.1558590701172879
signal	top_10pct_read_share_1000	0.25030648808145955
signal	occupied_bins_5000	578109
signal	median_reads_per_occupied_bin_5000	69.0
signal	p90_reads_per_occupied_bin_5000	129.0
signal	p99_reads_per_occupied_bin_5000	248.0
signal	max_reads_per_occupied_bin_5000	2918
signal	gini_5000	0.3007939553312975
signal	top_1pct_read_share_5000	0.04428371079908692
signal	top_5pct_read_share_5000	0.14076005391490792
signal	top_10pct_read_share_5000	0.23130742315324881
signal	occupied_bins_10000	290680
signal	median_reads_per_occupied_bin_10000	140.0
signal	p90_reads_per_occupied_bin_10000	251.0
signal	p99_reads_per_occupied_bin_10000	449.0
signal	max_reads_per_occupied_bin_10000	4696
signal	gini_10000	0.2861691364348615
signal	top_1pct_read_share_10000	0.04103239694226202
signal	top_5pct_read_share_10000	0.1315069124106809
signal	top_10pct_read_share_10000	0.21947201529897986
signal	top_chromosomes	chr2:4570189,chr5:3135836,chr1:3017105,chr3:3000003,chr7:2737221,chr8:2674918,chr12:2340072,chr10:2286836
signal	length_histogram	15:1701,16:5698,17:14738,18:22502,19:27385,20:30261,21:32128,22:32922,23:34881,24:37345,25:41044,26:40659,27:41863,28:43631,29:43151,30:42737,31:43091,32:42594,33:42704,34:43354,35:43573,36:42591,37:42941,38:43344,39:42920,40:42833,41:43475,42:44449,43:45421,44:47527,45:51350,46:54639,47:61780,48:86248,49:179976,50:636240,51:42724461
control	reads	27109157
control	chromosomes	156
control	mean_read_length	51.00054505567989
control	min_read_length	50
control	max_read_length	52
control	distinct_read_lengths	3
control	malformed_lines	0
control	occupied_bins_1000	2823894
control	median_reads_per_occupied_bin_1000	9.0
control	p90_reads_per_occupied_bin_1000	16.0
control	p99_reads_per_occupied_bin_1000	25.0
control	max_reads_per_occupied_bin_1000	2998
control	gini_1000	0.27464407542270464
control	top_1pct_read_share_1000	0.03144015138500987
control	top_5pct_read_share_1000	0.1176142806653855
control	top_10pct_read_share_1000	0.20578448824506052
control	occupied_bins_5000	576006
control	median_reads_per_occupied_bin_5000	44.0
control	p90_reads_per_occupied_bin_5000	74.0
control	p99_reads_per_occupied_bin_5000	109.0
control	max_reads_per_occupied_bin_5000	13780
control	gini_5000	0.24725027705605607
control	top_1pct_read_share_5000	0.028006698991045718
control	top_5pct_read_share_5000	0.10806348570706201
control	top_10pct_read_share_5000	0.1920319765015194
control	occupied_bins_10000	289894
control	median_reads_per_occupied_bin_10000	89.0
control	p90_reads_per_occupied_bin_10000	146.0
control	p99_reads_per_occupied_bin_10000	210.0
control	max_reads_per_occupied_bin_10000	18325
control	gini_10000	0.2419298916111321
control	top_1pct_read_share_10000	0.026899692970902785
control	top_5pct_read_share_10000	0.10519338539372508
control	top_10pct_read_share_10000	0.1882266202523376
control	top_chromosomes	chr2:2797843,chr1:2043421,chr5:1840188,chr3:1828880,chr7:1602734,chr8:1507572,chr12:1475388,chr10:1367286
control	length_histogram	50:40705,51:27012971,52:55481
