peak_set	metric	value
narrow_peaks	canonical_peak_count	12993
narrow_peaks	malformed_lines	0
narrow_peaks	width_min	200
narrow_peaks	width_median	317.0
narrow_peaks	width_p90	777.0
narrow_peaks	width_p99	2069.0
narrow_peaks	width_max	12129
narrow_peaks	peaks_with_nearest_tss	12993
narrow_peaks	nearest_tss_distance_median	11921.0
narrow_peaks	nearest_tss_distance_p90	53081.60000000001
narrow_peaks	nearest_tss_distance_p99	192147.0
narrow_peaks	top_chromosomes	chr19:3734,chr2:1147,chr17:726,chr12:724,chr7:709,chr8:637,chr1:622,chr9:616
narrow_peaks	fraction_within_1000_bp_tss	0.07311629338874778
narrow_peaks	fraction_within_2000_bp_tss	0.11921804048333719
narrow_peaks	fraction_within_5000_bp_tss	0.25429077195412914
narrow_peaks	fraction_within_10000_bp_tss	0.4456245670745786
narrow_peaks	fraction_within_25000_bp_tss	0.7484799507427076
narrow_peaks	fraction_within_50000_bp_tss	0.8912491341491572
narrow_peaks	fraction_0_1kb_tss	0.06141768644654814
narrow_peaks	fraction_1_2kb_tss	0.0461017470945894
narrow_peaks	fraction_2_5kb_tss	0.13507273147079196
narrow_peaks	fraction_5_10kb_tss	0.19133379512044948
narrow_peaks	fraction_10_25kb_tss	0.302855383668129
narrow_peaks	fraction_over_25kb_tss	0.2515200492572924
broad_peaks	canonical_peak_count	17992
broad_peaks	malformed_lines	0
broad_peaks	width_min	200
broad_peaks	width_median	435.0
broad_peaks	width_p90	1288.8999999999996
broad_peaks	width_p99	4228.27
broad_peaks	width_max	17964
broad_peaks	peaks_with_nearest_tss	17992
broad_peaks	nearest_tss_distance_median	13551.5
broad_peaks	nearest_tss_distance_p90	64119.5
broad_peaks	nearest_tss_distance_p99	244239.97
broad_peaks	top_chromosomes	chr19:3563,chr2:1785,chr7:1099,chr1:1079,chr12:1024,chr5:968,chr8:924,chr9:921
broad_peaks	fraction_within_1000_bp_tss	0.06797465540240107
broad_peaks	fraction_within_2000_bp_tss	0.11166073810582482
broad_peaks	fraction_within_5000_bp_tss	0.2334370831480658
broad_peaks	fraction_within_10000_bp_tss	0.4067919075144509
broad_peaks	fraction_within_25000_bp_tss	0.6929190751445087
broad_peaks	fraction_within_50000_bp_tss	0.8575477990217875
broad_peaks	fraction_0_1kb_tss	0.05191196087149844
broad_peaks	fraction_1_2kb_tss	0.043686082703423744
broad_peaks	fraction_2_5kb_tss	0.121776345042241
broad_peaks	fraction_5_10kb_tss	0.17335482436638505
broad_peaks	fraction_10_25kb_tss	0.2861271676300578
broad_peaks	fraction_over_25kb_tss	0.3070809248554913
annotation	canonical_chromosome_count	26
annotation	unique_gene_tss_count	62616
