metric	value
peak_count	13251
malformed_peak_lines	0
width_min	200
width_median	318.0
width_p90	775.0
width_p99	2059.5
width_max	12129
fold_enrichment_median	4.17465
fold_enrichment_p90	5.26652
score_median	34.0
qvalue_neglog10_median	3.49497
summit_offset_median	156.0
summit_offset_p90	411.0
chromosomes_with_peaks	56
top_chromosomes	chr19:3734,chr2:1147,chr17:726,chr12:724,chr7:709,chr8:637,chr1:622,chr9:616,chr10:579,chr5:563
comment_0	# This file is generated by MACS version 2.2.9.1
comment_1	# Command line: callpeak -t /corral4/main/objects/2/b/c/dataset_2bc3ac30-9b6e-4788-9b44-7c6d0718bdee.dat --name histone_chip_q1_signal_tagalign_gz -c /corral4/main/objects/8/3/2/dataset_832a715d-99a0-4495-b63f-396179b02a17.dat --format BED --gsize 2700000000 --keep-dup all --d-min 20 --buffer-size 100000 --qvalue 0.05 --nomodel --extsize 200 --shift 0
comment_2	# ARGUMENTS LIST:
comment_3	# name = histone_chip_q1_signal_tagalign_gz
comment_4	# format = BED
comment_5	# ChIP-seq file = ['/corral4/main/objects/2/b/c/dataset_2bc3ac30-9b6e-4788-9b44-7c6d0718bdee.dat']
comment_6	# control file = ['/corral4/main/objects/8/3/2/dataset_832a715d-99a0-4495-b63f-396179b02a17.dat']
comment_7	# effective genome size = 2.70e+09
comment_8	# band width = 300
comment_9	# model fold = [5, 50]
comment_10	# qvalue cutoff = 5.00e-02
comment_11	# The maximum gap between significant sites is assigned as the read length/tag size.
comment_12	# The minimum length of peaks is assigned as the predicted fragment length "d".
comment_13	# Larger dataset will be scaled towards smaller dataset.
comment_14	# Range for calculating regional lambda is: 1000 bps and 10000 bps
comment_15	# Broad region calling is off
comment_16	# Paired-End mode is off
comment_17	# tag size is determined as 50 bps
comment_18	# total tags in treatment: 44898157
comment_19	# total tags in control: 27109157
comment_20	# d = 200
