offset_start	offset_end	signal_count	control_count	signal_per_million_peak_reads	control_per_million_peak_reads	signal_over_control
-5000	-4900	65401	16509	0.11236782068300713	0.04696949769050913	2.392357300123154
-4900	-4800	64620	16183	0.1110259563697179	0.04604200018932154	2.4114060187043744
-4800	-4700	65613	16218	0.11273206554141599	0.04614157814190303	2.4431775002303064
-4700	-4600	65407	16134	0.11237812949975455	0.04590259105570745	2.448187061235221
-4600	-4500	65492	16109	0.112524171070343	0.04583146394672067	2.4551729615521984
-4500	-4400	66310	16132	0.11392960642024132	0.04589690088698851	2.482294103054345
-4400	-4300	65690	16166	0.11286436202300788	0.045993633755210525	2.4539127006946195
-4300	-4200	66338	16257	0.11397771423172928	0.0462525364319224	2.4642478666978485
-4200	-4100	66791	16273	0.11475602989615952	0.04629805778167394	2.4786359384082663
-4100	-4000	67050	16104	0.11520102715242317	0.045817238524923316	2.5143598973071453
-4000	-3900	67761	16238	0.11642262193699249	0.04619847982909245	2.5200530919564583
-3900	-3800	67613	16206	0.11616833779055612	0.046107437129589375	2.5195140962629057
-3800	-3700	68435	16253	0.11758064568495272	0.046241156094484516	2.5427704585218476
-3700	-3600	68649	16170	0.11794832681561071	0.046005014092648414	2.5638146002537323
-3600	-3500	69097	16355	0.1187180517994181	0.046531354699150575	2.5513560171843714
-3500	-3400	69204	16275	0.1189018923647471	0.04630374795039288	2.567867562084426
-3400	-3300	69875	16424	0.12005476170433362	0.04672766551995408	2.5692437310626337
-3300	-3200	69344	16219	0.11914243142218692	0.0461444232262625	2.581946486534012
-3200	-3100	70101	16272	0.12044306046848645	0.046295212697314465	2.6016309992128672
-3100	-3000	71176	16153	0.12229005680239928	0.0459566476585374	2.6609873224658798
-3000	-2900	71461	16264	0.12277972559790175	0.046272452022438695	2.653408674741566
-2900	-2800	72161	16363	0.1239824208851008	0.046554115374026345	2.663189277446212
-2800	-2700	72539	16297	0.12463187634018828	0.04636633980630125	2.6879817742967633
-2700	-2600	73510	16524	0.12630018651714583	0.047012173955901196	2.6865421419485753
-2600	-2500	74353	16390	0.1277485752701584	0.046630932651732064	2.7395672358574044
-2500	-2400	74802	16422	0.12852001839009036	0.04672197535123514	2.750740254964259
-2400	-2300	75345	16328	0.1294529663057319	0.04645453742144485	2.786659247756763
-2300	-2200	76833	16284	0.13200955285909216	0.046329353709628124	2.849371775968851
-2200	-2100	77348	16349	0.13289439296324576	0.04651428419299374	2.857066281227716
-2100	-2000	78509	16356	0.1348891490038716	0.04653419978351005	2.8987099731254258
-2000	-1900	79925	16438	0.13732202975626281	0.04676749670098668	2.9362706888984644
-1900	-1800	80151	16490	0.13771032852041565	0.04691544108767918	2.9352879420456053
-1800	-1700	81432	16439	0.1399112608959899	0.04677034178534615	2.9914526076828074
-1700	-1600	82915	16522	0.14245925676872734	0.04700648378718225	3.0306299321110504
-1600	-1500	84140	16438	0.14456397352132566	0.04676749670098668	3.0911206226326784
-1500	-1400	85681	16452	0.14721162128928814	0.04680732788201927	3.1450550148973258
-1400	-1300	87173	16540	0.14977508038714668	0.047057695305652736	3.1827967649991384
-1300	-1200	89237	16463	0.1533213133482593	0.04683862380997346	3.2733949223250285
-1200	-1100	91016	16496	0.15637787751386947	0.046932511593836004	3.3319733422152447
-1100	-1000	92483	16479	0.15889838320861374	0.04688414515972499	3.3891709589089967
-1000	-900	93905	16199	0.1613415727777524	0.04608752153907307	3.5007647925039054
-900	-800	96074	16581	0.16506821003194488	0.04717434376439105	3.4991098308938113
-800	-700	99134	16551	0.1703257065731293	0.047088991233606915	3.6171024715341455
-700	-600	99772	16238	0.171421877420605	0.04619847982909245	3.710552339703956
