min_signal	min_ratio	chrom	start	end	bin_count	signal_tags	control_tags	signal_per_bin	control_per_bin	normalized_ratio
100	2.0	chr19	21260000	24050000	279	100628	17433	360.673835125448	62.483870967741936	3.485770851251224
100	2.0	chr19	51710000	53790000	208	118128	17754	567.9230769230769	85.35576923076923	4.017988265322973
100	2.0	chr19	56320000	57810000	149	100943	14928	677.4697986577181	100.18791946308725	4.083425226424169
100	2.0	chr19	11600000	12660000	106	33451	5007	315.57547169811323	47.235849056603776	4.034196607034908
100	2.0	chr19	36310000	37270000	96	96865	14406	1009.0104166666666	150.0625	4.060439668552624
100	2.0	chr7	63770000	64600000	83	26523	4507	319.5542168674699	54.30120481927711	3.5535098036611767
100	2.0	chr7	62500000	63290000	79	23653	3880	299.40506329113924	49.11392405063291	3.681036683544656
100	2.0	chr1	247560000	248340000	78	20127	4856	258.03846153846155	62.256410256410255	2.502815657475222
100	2.0	chr19	19670000	20440000	77	19588	3290	254.3896103896104	42.72727272727273	3.5950232778208933
100	2.0	chr5	178630000	179330000	70	28770	4651	411.0	66.44285714285714	3.7352253228741352
100	4.0	chr19	57860000	58270000	41	33954	3912	828.1463414634146	95.41463414634147	5.240894411545211
100	4.0	chr19	57670000	57790000	12	10793	1306	899.4166666666666	108.83333333333333	4.989020664528211
100	4.0	chrY	10880000	10990000	11	1866	213	169.63636363636363	19.363636363636363	5.2794968597314575
100	4.0	chr19	52510000	52620000	11	5278	721	479.8181818181818	65.54545454545455	4.418110884320305
100	4.0	chrY	10750000	10850000	10	1884	190	188.4	19.0	5.97397750267916
100	4.0	chr19	52770000	52870000	10	4606	607	460.6	60.7	4.579174717063015
100	4.0	chr12	132880000	132980000	10	7075	901	707.5	90.1	4.7397324289412515
100	4.0	chr19	52410000	52500000	9	4771	665	530.1111111111111	73.88888888888889	4.329814488509631
100	4.0	chr19	52030000	52120000	9	6841	905	760.1111111111111	100.55555555555556	4.5627355422310965
100	4.0	chr19	36690000	36780000	9	10692	1378	1188.0	153.11111111111111	4.684194388515329
20	2.0	chr19	21260000	24050000	279	100628	17433	360.673835125448	62.483870967741936	3.485770851251224
20	2.0	chr19	51710000	53790000	208	118128	17754	567.9230769230769	85.35576923076923	4.017988265322973
20	2.0	chr19	56320000	57810000	149	100943	14928	677.4697986577181	100.18791946308725	4.083425226424169
20	2.0	chr1	123250000	124580000	133	10503	2174	78.96992481203007	16.345864661654137	2.9170041619394738
20	2.0	chr19	11600000	12660000	106	33451	5007	315.57547169811323	47.235849056603776	4.034196607034908
20	2.0	chr19	36310000	37270000	96	96865	14406	1009.0104166666666	150.0625	4.060439668552624
20	2.0	chr7	63760000	64600000	84	26593	4512	316.5833333333333	53.714285714285715	3.5589403182467163
20	2.0	chr7	62500000	63300000	80	23708	3888	296.35	48.6	3.6820051822015767
20	2.0	chr1	247560000	248340000	78	20127	4856	258.03846153846155	62.256410256410255	2.502815657475222
20	2.0	chr19	19670000	20440000	77	19588	3290	254.3896103896104	42.72727272727273	3.5950232778208933
