input	source	ensembl_gene	symbol	evidence
1	mygene:refseq.rna:"NM_001276266.2"	ENSG00000140254	DUOXA1	{"_score": 10.530754, "entrezgene": "90527", "name": "dual oxidase maturation factor 1"}
1	mygene:refseq.rna:"NM_001276266"	ENSG00000140254	DUOXA1	{"_score": 5.781872, "entrezgene": "90527", "name": "dual oxidase maturation factor 1"}
1	mygene:NM_001276266.2	ENSG00000140254	DUOXA1	{"_score": 11.597019, "entrezgene": "90527", "name": "dual oxidase maturation factor 1"}
2	mygene:symbol:TERB2	ENSG00000167014	TERB2	{"_score": 17.4881, "entrezgene": "145645", "name": "telomere repeat binding bouquet formation protein 2"}
2	mygene:TERB2	ENSG00000167014	TERB2	{"_score": 139.90013, "entrezgene": "145645", "name": "telomere repeat binding bouquet formation protein 2"}
3	mygene:ensembl.transcript:ENST00000267814	ENSG00000140263	SORD	{"_score": 32.53698, "entrezgene": "6652", "name": "sorbitol dehydrogenase"}
3	mygene:ENST00000267814	ENSG00000140263	SORD	{"_score": 3.2875652, "entrezgene": "6652", "name": "sorbitol dehydrogenase"}
5	mygene:entrezgene:9153	ENSG00000137860	SLC28A2	{"_score": 26.111883, "entrezgene": "9153", "name": "solute carrier family 28 member 2"}
5	mygene:9153	ENSG00000137860	SLC28A2	{"_score": 208.89507, "entrezgene": "9153", "name": "solute carrier family 28 member 2"}
6	mygene:refseq.protein:"NP_922946.1"	ENSG00000166920	COXFA4L3	{"_score": 41.346077, "entrezgene": "84419", "name": "cytochrome c oxidase associated subunit FA4L3"}
6	mygene:refseq.protein:"NP_922946"	ENSG00000166920	COXFA4L3	{"_score": 31.68868, "entrezgene": "84419", "name": "cytochrome c oxidase associated subunit FA4L3"}
6	mygene:NP_922946.1	ENSG00000166920	COXFA4L3	{"_score": 45.481594, "entrezgene": "84419", "name": "cytochrome c oxidase associated subunit FA4L3"}
7	mygene:MIM:617658	ENSG00000137767	SQOR	{"_score": 13.987215, "entrezgene": "58472", "name": "sulfide quinone oxidoreductase"}
8	mygene:name:"BEN domain containing 5"	ENSG00000162373	BEND5	{"_score": 29.556808, "entrezgene": "79656", "name": "BEN domain containing 5"}
8	mygene:symbol:BEND5	ENSG00000162373	BEND5	{"_score": 17.903585, "entrezgene": "79656", "name": "BEN domain containing 5"}
1:ensembl	ERROR			HTTP Error 400: Bad Request
2	ensembl:/xrefs/symbol/homo_sapiens/TERB2	ENSG00000167014		{"id": "ENSG00000167014", "type": "gene"}
3	ensembl:/lookup/id/ENST00000267814	ENSG00000140263		{"Exon": [{"assembly_name": "GRCh38", "db_type": "core", "end": 45023349, "id": "ENSE00002548215", "object_type": "Exon", "seq_region_name": "15", "species": "homo_sapiens", "start": 45023195, "strand": 1, "version": 1}, {"assembly_name": "GRCh38", "db_type": "core", "end": 45040441, "id": "ENSE00001121784", "object_type": "Exon", "seq_region_name": "15", "species": "homo_sapiens", "start": 45040408, "strand": 1, "version": 1}, {"assembly_name": "GRCh38", "db_type": "core", "end": 45043421, "id": "ENSE00001121776", "object_type": "Exon", "seq_region_name": "15", "species": "homo_sapiens", "start": 45043257, "strand": 1, "version": 1}, {"assembly_name": "GRCh38", "db_type": "core", "end": 45061226, "id": "ENSE00001121766", "object_type": "Exon", "seq_region_name": "15", "species": "homo_sapiens", "start": 45061067, "strand": 1, "version": 1}, {"assembly_name": "GRCh38", "db_type": "core", "end": 45065389, "id": "ENSE00003620190", "object_type": "Exon", "seq_region_name": "15", "species": "homo_sapiens", "start": 45065271, "strand": 1, "version": 1}, {"assembly_name": "GRCh38", "db_type": "core", "end": 45068246, "id": "ENSE00003562386", "object_type": "Exon", "seq_region_name": "15", "species": "homo_sapiens", "start": 45068181, "strand": 1, "version": 1}, {"assembly_name": "GRCh38", "db_type": "core", "end": 45069052, "id": "ENSE00003677720", "object_type": "Exon", "seq_region_name": "15", "species": "homo_sapiens", "start": 45068877, "strand": 1, "version": 1}, {"assembly_name": "GRCh38", "db_type": "core", "end": 45072438, "id": "ENSE00003587170", "object_type": "Exon", "seq_region_name": "15", "species": "homo_sapiens", "start": 45072317, "strand": 1, "version": 1}, {"assembly_name": "GRCh38", "db_type": "core", "end": 45077185, "id": "ENSE00001140428", "object_type": "Exon", "seq_region_name": "15", "species": "homo_sapiens", "start": 45073365, "strand": 1, "version": 5}], "Parent": "ENSG00000140263", "Translation": {"Parent": "ENST00000267814", "db_type": "core", "end": 45073530, "id": "ENSP00000267814", "length": 357, "object_type": "Translation", "species": "homo_sapiens", "start": 45023284, "version": 9}, "assembly_name": "GRCh38", "biotype": "protein_coding", "db_type": "core", "display_name": "SORD-201", "end": 45077185, "ens_canon_extended": 0, "gencode_primary": 1, "id": "ENST00000267814", "is_canonical": 1, "length": 4818, "logic_name": "ensembl_havana_transcript_homo_sapiens", "object_type": "Transcript", "seq_region_name": "15", "source": "ensembl_havana", "species": "homo_sapiens", "start": 45023195, "strand": 1, "version": 14}
4	ensembl:/overlap/region/human/15:45167214-45187966	ENSG00000259539		{"assembly_name": "GRCh38", "biotype": "lncRNA", "canonical_transcript": "ENST00000558039.1", "description": "novel transcript", "end": 45167526, "feature_type": "gene", "gene_id": "ENSG00000259539", "id": "ENSG00000259539", "logic_name": "havana_homo_sapiens", "seq_region_name": "15", "source": "havana", "start": 45152664, "strand": -1, "version": 1}
4	ensembl:/overlap/region/human/15:45167214-45187966	ENSG00000259519		{"assembly_name": "GRCh38", "biotype": "lncRNA", "canonical_transcript": "ENST00000560034.1", "description": "novel transcript, antisense to SHF", "end": 45199958, "feature_type": "gene", "gene_id": "ENSG00000259519", "id": "ENSG00000259519", "logic_name": "havana_homo_sapiens", "seq_region_name": "15", "source": "havana", "start": 45170344, "strand": 1, "version": 1}
4	ensembl:/overlap/region/human/15:45167214-45187966	ENSG00000309776		{"assembly_name": "GRCh38", "biotype": "lncRNA", "canonical_transcript": "ENST00000843836.1", "description": "novel transcript, antisense to SHF", "end": 45188820, "feature_type": "gene", "gene_id": "ENSG00000309776", "id": "ENSG00000309776", "logic_name": "havana_tagene_homo_sapiens", "seq_region_name": "15", "source": "havana_tagene", "start": 45187090, "strand": 1, "version": 1}
4	ensembl:/overlap/region/human/15:45167214-45187966	ENSG00000138606	SHF	{"assembly_name": "GRCh38", "biotype": "protein_coding", "canonical_transcript": "ENST00000690270.1", "description": "Src homology 2 domain containing F [Source:HGNC Symbol;Acc:HGNC:25116]", "end": 45201175, "external_name": "SHF", "feature_type": "gene", "gene_id": "ENSG00000138606", "id": "ENSG00000138606", "logic_name": "ensembl_havana_gene_homo_sapiens", "seq_region_name": "15", "source": "ensembl_havana", "start": 45165572, "strand": -1, "version": 21}
5:ensembl	ERROR			HTTP Error 400: Bad Request
6:ensembl	ERROR			HTTP Error 400: Bad Request
7:ensembl	ERROR			HTTP Error 400: Bad Request
8	ensembl:/xrefs/symbol/homo_sapiens/BEND5	ENSG00000162373		{"id": "ENSG00000162373", "type": "gene"}
