READ_27069__1.2735	VDB|004A-0089-0-0002|M173-c3187-c0-c12
READ_49682__1.5014	EUK990121__A0A0V0Z753__T12_10171
READ_74511__1.7526	VDB|004A-0089-0-0001|M892-c3062-c1-c27
READ_91514__1.9259	VDB|0030-0094-0-000A|M199-c927-c0-c2
READ_86135__1.8725	VDB|002E-0000-0-0009|M566-c2434-c0-c0
READ_102886__1.10412	EUK990121__A0A0V0Z753__T12_10171
READ_109266__1.11035	VDB|002E-0000-0-0009|M566-c2434-c0-c0
READ_127063__1.12780	VDB|0030-0094-0-000A|M199-c927-c0-c2
READ_142415__1.14330	EUK990121__A0A0V0Z753__T12_10171
READ_148088__1.14845	VDB|004A-007F-0-0002|M506-c1758-c0-c5
READ_154509__1.15455	EUK990121__A0A0V0Z753__T12_10171
READ_181075__1.18127	EUK990121__A0A0V0Z753__T12_10171
READ_204868__1.20485	EUK990121__A0A0V0Z753__T12_10171
READ_205107__1.20507	VDB|004A-0003-0-0000|M506-c2726-c0-c21
#nreads	21582
#avg_read_length	75.0
