sample	top_taxonomy_name	distance	pvalue	matching	full_taxonomy	taxonomic_species	taxonomic_genus	taxonomic_family	taxonomic_order	taxonomic_class	taxonomic_phylum	taxonomic_superkingdom	subspecies	serovar	plasmid	bioproject	biosample	taxid	assembly_accession	match_id	taxonomic_species subgroup	taxonomic_subfamily	taxonomic_species group
FASTQ to FASTA on dataset 26	Human herpesvirus 4 type 2	0.245123	1.8560599999999999e-09	4/400	Viruses; dsDNA viruses, no RNA stage; Herpesvirales; Herpesviridae; Gammaherpesvirinae; Lymphocryptovirus; Human gammaherpesvirus 4; Human herpesvirus 4 type 2	Human gammaherpesvirus 4	Lymphocryptovirus	Herpesviridae	Herpesvirales			Viruses				PRJNA20959		12509		./rcn/refseq-NC-12509-PRJNA20959-.-.-.-Human_herpesvirus_4_type_2.fna		Gammaherpesvirinae	
FASTQ to FASTA on dataset 26	Streptomyces exfoliatus DSM 41693	0.245123	1.2048099999999999e-05	4/400	Bacteria; Terrabacteria group; Actinobacteria; ; Streptomycetales; Streptomycetaceae; Streptomyces; exfoliatus; DSM 41693	Streptomyces exfoliatus	Streptomyces	Streptomycetaceae	Streptomycetales	Actinobacteria	Actinobacteria	Bacteria				PRJNA224116	SAMN02597357	1440059	NZ_AZSS	./rcn/refseq-NZ-1440059-PRJNA224116-SAMN02597357-NZ_AZSS-.-Streptomyces_exfoliatus_DSM_41693.fna			
FASTQ to FASTA on dataset 26	Thermus filiformis	0.245123	2.88057e-06	4/400	Bacteria; Terrabacteria group; Deinococcus-Thermus; Deinococci; Thermales; Thermaceae; Thermus; filiformis	Thermus filiformis	Thermus	Thermaceae	Thermales	Deinococci	Deinococcus-Thermus	Bacteria				PRJNA224116	SAMN02898028	276	GCF_000771745.2	./rcn/refseq-NZ-276-PRJNA224116-SAMN02898028-GCF_000771745.2-.-Thermus_filiformis.fna			
FASTQ to FASTA on dataset 26	Human gammaherpesvirus 4	0.245123	1.8196600000000001e-09	4/400	Viruses; dsDNA viruses, no RNA stage; Herpesvirales; Herpesviridae; Gammaherpesvirinae; Lymphocryptovirus; Human gammaherpesvirus 4	Human gammaherpesvirus 4	Lymphocryptovirus	Herpesviridae	Herpesvirales			Viruses				PRJNA14413		10376		./rcn/refseq-NC-10376-PRJNA14413-.-.-.-Human_herpesvirus_4.fna		Gammaherpesvirinae	
FASTQ to FASTA on dataset 26	Microbacterium sp. KROCY2	0.245123	3.6356900000000003e-06	4/400	Bacteria; Terrabacteria group; Actinobacteria; ; Micrococcales; Microbacteriaceae; Microbacterium; sp. KROCY2	Microbacterium sp. KROCY2	Microbacterium	Microbacteriaceae	Micrococcales	Actinobacteria	Actinobacteria	Bacteria				PRJNA224116	SAMN02584943	1305732	NZ_JAGG	./rcn/refseq-NZ-1305732-PRJNA224116-SAMN02584943-NZ_JAGG-.-Microbacterium_sp._KROCY2.fna			
FASTQ to FASTA on dataset 26	Bacteroides fragilis str. 3998T(B)3	0.262949	0.000295903	3/400	Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; fragilis; str. 3998T(B)3	Bacteroides fragilis	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria				PRJNA224116	SAMN02363970	1339316	GCF_000598485.1	./rcn/refseq-NZ-1339316-PRJNA224116-SAMN02363970-GCF_000598485.1-.-Bacteroides_fragilis_str._3998T_B_3.fna			
FASTQ to FASTA on dataset 26	Kocuria palustris PEL	0.262949	0.000155185	3/400	Bacteria; Terrabacteria group; Actinobacteria; ; Micrococcales; Micrococcaceae; Kocuria; palustris; PEL	Kocuria palustris	Kocuria	Micrococcaceae	Micrococcales	Actinobacteria	Actinobacteria	Bacteria				PRJNA224116	SAMN02469979	1236550	NZ_ANHZ	./rcn/refseq-NZ-1236550-PRJNA224116-SAMN02469979-NZ_ANHZ-.-Kocuria_palustris_PEL.fna			
FASTQ to FASTA on dataset 26	Mannheimia granulomatis DSM 19156	0.262949	0.000117621	3/400	Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Mannheimia; granulomatis; DSM 19156	Mannheimia granulomatis	Mannheimia	Pasteurellaceae	Pasteurellales	Gammaproteobacteria	Proteobacteria	Bacteria				PRJNA224116	SAMN02743975	1122190	GCF_000621105.1	./rcn/refseq-NZ-1122190-PRJNA224116-SAMN02743975-GCF_000621105.1-.-Mannheimia_granulomatis_DSM_19156.fna			
FASTQ to FASTA on dataset 26	Nautella sp. ECSMB14104	0.262949	0.000210803	3/400	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Nautella; sp. ECSMB14104	Nautella sp. ECSMB14104	Nautella	Rhodobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria				PRJNA224116	SAMN03457166	1638950	GCF_000972285.1	./rcn/refseq-NZ-1638950-PRJNA224116-SAMN03457166-GCF_000972285.1-.-Nautella_sp._ECSMB14104.fna			
FASTQ to FASTA on dataset 26	Candidatus Caldatribacterium saccharofermentans OP9-77CS	0.262949	0.00011637799999999999	3/400	Bacteria; unclassified; Bacteria candidate phyla; Candidatus Atribacteria; Candidatus Caldatribacteirum; Candidatus Caldatribacterium saccharofermentans; OP9-77CS	Candidatus Caldatribacterium saccharofermentans	Candidatus Caldatribacteirum				Candidatus Atribacteria	Bacteria				PRJNA224116	SAMN02471906	1262132	NZ_APCU	./rcn/refseq-NZ-1262132-PRJNA224116-SAMN02471906-NZ_APCU-.-Candidatus_Caldatribacterium_saccharofermentans_OP9_77CS.fna			
