field	value
source	https://sep2025.rest.ensembl.org
ensembl_release	115
requested_transcript	ENST00000269305
transcript_version	9
assembly	GRCh38
chromosome	17
transcript_start	7668421
transcript_end	7687490
tss	7687490
strand	-
promoter_start_1based_closed	7687391
promoter_end_1based_closed	7687990
promoter_length	600
genomic_sequence_length	600
transcript_sequence_length	600
reverse_complement_check	pass
gc_count	292
gc_fraction	0.486666666667
gc_fraction_rounded_2dp	0.49
alternative_plus_arithmetic_start	7686990
alternative_plus_arithmetic_end	7687589
alternative_plus_arithmetic_gc_count	331
sequence_sha256	f5785861c5119ff33ac08ce1fbdd2a4b38f3888507317441d62b2261f18b54db
