section	entrez	symbol	name	ensembl_gene	genomic_pos	refseq_rna_hit	refseq_protein_hit	mim_hit
region_candidate	90525	SHF	Src homology 2 domain containing F	ENSG00000138606	15:45165572-45201175:-1			
region_candidate	130056984	LOC130056984	ATAC-STARR-seq lymphoblastoid silent region 6401					
region_candidate	130056983	LOC130056983	ATAC-STARR-seq lymphoblastoid active region 9350					
region_candidate	130056982	LOC130056982	ATAC-STARR-seq lymphoblastoid silent region 6400					
region_candidate	127829461	LOC127829461	H3K27ac-H3K4me1 hESC enhancer GRCh37_chr15:45478592-45479144					
region_candidate	127829460	LOC127829460	H3K27ac-H3K4me1 hESC enhancer GRCh37_chr15:45475299-45475847					
region_candidate	127829459	LOC127829459	H3K4me1 hESC enhancer GRCh37_chr15:45471346-45471852					
region_candidate	127829458	LOC127829458	H3K4me1 hESC enhancer GRCh37_chr15:45461773-45462375					
region_candidate	127829457	LOC127829457	H3K4me1 hESC enhancer GRCh37_chr15:45461170-45461772					
region_candidate	127829456	LOC127829456	H3K4me1 hESC enhancer GRCh37_chr15:45459911-45460412					
region_candidate	124903481	LOC124903481	uncharacterized LOC124903481					
region_candidate	105370799		MYGENE_LOOKUP_ERROR:HTTP Error 404: Not Found.					
final_id_check	90527	DUOXA1	dual oxidase maturation factor 1	ENSG00000140254	15:45117364-45130611:-1	NM_001276266.2		
final_id_check	145645	TERB2	telomere repeat binding bouquet formation protein 2	ENSG00000167014	15:44956687-44979229:1			
final_id_check	6652	SORD	sorbitol dehydrogenase	ENSG00000140263	15:45023116-45077185:1			
final_id_check	90525	SHF	Src homology 2 domain containing F	ENSG00000138606	15:45165572-45201175:-1			
final_id_check	9153	SLC28A2	solute carrier family 28 member 2	ENSG00000137860	15:45252227-45277846:1			
final_id_check	84419	COXFA4L3	cytochrome c oxidase associated subunit FA4L3	ENSG00000166920	15:45430579-45448761:1		NP_922946.1	
final_id_check	58472	SQOR	sulfide quinone oxidoreductase	ENSG00000137767	15:45631148-45691299:1			
final_id_check	79656	BEND5	BEN domain containing 5	ENSG00000162373	1:48727519-48777020:-1			
ucsc_ncbiRefSeqCurated		SHF	NM_001301171.2		chr15:45167213-45181207:-			
ucsc_ncbiRefSeqCurated		SHF	NM_001394037.1		chr15:45167213-45187966:-			
ucsc_ncbiRefSeqCurated		SHF	NM_001394038.1		chr15:45167213-45187966:-			
ucsc_ncbiRefSeqCurated		SHF	NM_001301168.2		chr15:45167213-45187966:-			
ucsc_ncbiRefSeqCurated		SHF	NM_001301169.2		chr15:45167213-45187966:-			
ucsc_ncbiRefSeqCurated		SHF	NM_001394040.1		chr15:45167213-45187966:-			
ucsc_ncbiRefSeqCurated		SHF	NM_001394039.1		chr15:45167213-45187966:-			
ucsc_ncbiRefSeqCurated		SHF	NM_001394042.1		chr15:45167213-45187966:-			
ucsc_ncbiRefSeqCurated		SHF	NM_001301170.2		chr15:45167213-45187966:-			
ucsc_ncbiRefSeqCurated		SHF	NM_138356.3		chr15:45167213-45201116:-			
ucsc_ncbiRefSeqCurated		SHF	NM_001394041.1		chr15:45167213-45201116:-			
ucsc_ncbiRefSeqCurated		SHF	NM_001394043.1		chr15:45167213-45201116:-			
ucsc_ncbiRefSeqCurated		SHF	NM_001394045.1		chr15:45167213-45201116:-			
ucsc_ncbiRefSeqCurated		SHF	NM_001394046.1		chr15:45167213-45201116:-			
ucsc_ncbiRefSeqCurated		SHF	NM_001394047.1		chr15:45167213-45201116:-			
ucsc_ncbiRefSeqCurated		SHF	NM_001394048.1		chr15:45167213-45201116:-			
ucsc_ncbiRefSeqCurated		SHF	NM_001394044.1		chr15:45174194-45187966:-			
ucsc_ncbiRefSeq		SHF	NM_001301171.2		chr15:45167213-45181207:-			
ucsc_ncbiRefSeq		SHF	NM_001394037.1		chr15:45167213-45187966:-			
ucsc_ncbiRefSeq		SHF	NM_001394038.1		chr15:45167213-45187966:-			
ucsc_ncbiRefSeq		SHF	XM_017022710.2		chr15:45167213-45187966:-			
ucsc_ncbiRefSeq		SHF	NM_001301168.2		chr15:45167213-45187966:-			
ucsc_ncbiRefSeq		SHF	NM_001301169.2		chr15:45167213-45187966:-			
ucsc_ncbiRefSeq		SHF	NM_001394040.1		chr15:45167213-45187966:-			
ucsc_ncbiRefSeq		SHF	NM_001394039.1		chr15:45167213-45187966:-			
ucsc_ncbiRefSeq		SHF	NM_001394042.1		chr15:45167213-45187966:-			
ucsc_ncbiRefSeq		SHF	NM_001301170.2		chr15:45167213-45187966:-			
ucsc_ncbiRefSeq		SHF	NM_138356.3		chr15:45167213-45201116:-			
ucsc_ncbiRefSeq		SHF	NM_001394041.1		chr15:45167213-45201116:-			
ucsc_ncbiRefSeq		SHF	XM_047433285.1		chr15:45167213-45201116:-			
ucsc_ncbiRefSeq		SHF	NM_001394043.1		chr15:45167213-45201116:-			
ucsc_ncbiRefSeq		SHF	XM_047433286.1		chr15:45167213-45201116:-			
ucsc_ncbiRefSeq		SHF	NM_001394045.1		chr15:45167213-45201116:-			
ucsc_ncbiRefSeq		SHF	NM_001394046.1		chr15:45167213-45201116:-			
ucsc_ncbiRefSeq		SHF	NM_001394047.1		chr15:45167213-45201116:-			
ucsc_ncbiRefSeq		SHF	NM_001394048.1		chr15:45167213-45201116:-			
ucsc_ncbiRefSeq		SHF	XM_047433284.1		chr15:45170217-45187966:-			
