# all_stranded_junction_rows=35105	GTF_coordinate_novel_rows=704	protein_coding_gene_span_pairs=10
rank	gene	ensembl_gene_id	gene_type	chrom	strand	cryptic_exon_start	cryptic_exon_end	cryptic_exon_length	left_intron_start	left_intron_end	right_intron_start	right_intron_end	left_unique_reads	right_unique_reads	left_multimap_reads	right_multimap_reads	left_max_overhang	right_max_overhang	left_motif_code	right_motif_code	left_STAR_annotated_flag	right_STAR_annotated_flag	left_outer_boundary_annotated	right_outer_boundary_annotated	gene_count_unstranded	gene_count_forward	gene_count_reverse
1	GNG10	ENSG00000242616	protein_coding	chr9	+	111664537	111664589	53	111661716	111664536	111664590	111666814	48	48	0	0	52	53	1	1	1	1	1	1	30	17	13
2	DNAJC25-GNG10	ENSG00000244115	protein_coding	chr9	+	111664537	111664589	53	111661716	111664536	111664590	111666814	48	48	0	0	52	53	1	1	1	1	0	1	0	0	0
3	TMEM156	ENSG00000121895	protein_coding	chr4	-	39032226	39032443	218	39028598	39032225	39032444	39032641	2	1	0	0	46	48	2	2	1	1	1	0	5	2	3
4	EIF2AK3	ENSG00000172071	protein_coding	chr2	-	88593272	88594108	837	88591009	88593271	88594109	88595468	1	1	0	0	35	14	2	2	1	1	0	1	37	26	21
5	DRAM2	ENSG00000156171	protein_coding	chr1	-	111122616	111122643	28	111120694	111122615	111122644	111126226	1	1	0	0	28	28	2	2	1	1	1	1	20	16	11
6	TAF1D	ENSG00000166012	protein_coding	chr11	-	93732244	93732291	48	93731800	93732243	93732292	93733086	1	1	0	0	17	38	2	2	1	1	0	0	10	8	2
7	CLK4	ENSG00000113240	protein_coding	chr5	-	178619838	178619896	59	178618779	178619837	178619897	178623255	1	1	0	0	33	15	2	2	1	1	1	1	4	1	3
8	UBC	ENSG00000150991	protein_coding	chr12	-	124912465	124912506	42	124912183	124912464	124912507	124912734	0	12	1	36	27	52	2	2	1	1	0	0	211	101	110
9	UBC	ENSG00000150991	protein_coding	chr12	-	124912237	124912506	270	124912183	124912236	124912507	124912734	0	12	1	36	27	52	2	2	1	1	0	0	211	101	110
10	UBC	ENSG00000150991	protein_coding	chr12	-	124912237	124912408	172	124912183	124912236	124912409	124913320	0	0	1	40	27	50	2	2	1	1	0	1	211	101	110
