# novel_junction_rows=16	protein_coding_gene_span_pairs=0
rank	gene	ensembl_gene_id	gene_type	chrom	strand	cryptic_exon_start	cryptic_exon_end	cryptic_exon_length	left_intron_start	left_intron_end	right_intron_start	right_intron_end	left_unique_reads	right_unique_reads	left_multimap_reads	right_multimap_reads	left_max_overhang	right_max_overhang	left_motif_code	right_motif_code	left_outer_boundary_annotated	right_outer_boundary_annotated	gene_count_unstranded	gene_count_forward	gene_count_reverse
# ALL_NOVEL_JUNCTIONS
chrom	intron_start	intron_end	strand_code	motif_code	unique_reads	multimap_reads	max_overhang	overlapping_genes
chr6_GL000251v2_alt	4497676	4498004	1	1	6	1	24	.
chr6_GL000255v2_alt	3715686	3780128	2	2	6	0	24	.
chr6_GL000251v2_alt	4497693	4498004	1	1	1	0	24	.
chr6_GL000254v2_alt	2696499	2696604	2	2	0	11	33	.
chr6_GL000255v2_alt	2610214	2610319	2	2	0	11	33	.
chr6_GL000251v2_alt	2834887	2834992	2	2	0	10	33	.
chr6_GL000253v2_alt	2663139	2663244	2	2	0	10	33	.
chr6_GL000256v2_alt	2656765	2656870	2	2	0	10	33	.
chr6_GL000250v2_alt	1202840	1202981	1	1	0	7	36	.
chr6_GL000251v2_alt	1424515	1424656	1	1	0	7	36	.
chr6_GL000255v2_alt	2524956	2610793	2	2	0	3	33	.
chr6_GL000254v2_alt	2612254	2697078	2	2	0	2	33	.
chr6_GL000254v2_alt	2696269	2696450	2	2	0	2	20	.
chr6_GL000255v2_alt	2609994	2610165	2	2	0	2	20	.
chr6_GL000255v2_alt	2524956	2525394	2	2	0	1	20	.
chr6_GL000256v2_alt	2571482	2571920	2	2	0	1	23	.
