rows	295420
columns	9
column	total	nonzero	frac_nonzero	mean_log1p
AIIamacrine	11836803	279885	0.94741385	2.80484431
Astrocyte	7530916	270142	0.91443369	2.19724193
Cone	48403523	282518	0.95632659	3.79191284
GABAamacrine	37015795	282551	0.95643829	3.98540043
Horizontal	31640818	282550	0.95643491	3.71856326
Microglia	8155368	276957	0.93750254	2.39474441
Mullerglia	94395242	282832	0.95738948	4.39494720
Retinalganglioncell	21014655	282266	0.95547356	3.51066569
Rod	413545691	283153	0.95847607	5.48541100

pair	pearson_raw	pearson_log1p
AIIamacrine,Astrocyte	0.87721353	0.79788506
AIIamacrine,Cone	0.84156903	0.81235298
AIIamacrine,GABAamacrine	0.94045177	0.87835283
AIIamacrine,Horizontal	0.91804678	0.86670675
AIIamacrine,Microglia	0.89883529	0.82249895
AIIamacrine,Mullerglia	0.88503058	0.84772083
AIIamacrine,Retinalganglioncell	0.88292488	0.83983403
AIIamacrine,Rod	0.83671741	0.80467354
Astrocyte,Cone	0.85001933	0.79981803
Astrocyte,GABAamacrine	0.86944060	0.77554724
Astrocyte,Horizontal	0.85735603	0.78576611
Astrocyte,Microglia	0.93272882	0.85106446
Astrocyte,Mullerglia	0.95657871	0.88484787
Astrocyte,Retinalganglioncell	0.83770474	0.76873246
Astrocyte,Rod	0.85467779	0.79140300
Cone,GABAamacrine	0.84458563	0.83235959
Cone,Horizontal	0.84663865	0.85250624
Cone,Microglia	0.89753449	0.84015508
Cone,Mullerglia	0.85137378	0.85884064
Cone,Retinalganglioncell	0.80843616	0.81966132
Cone,Rod	0.95216561	0.94468870
GABAamacrine,Horizontal	0.91977721	0.89264590
GABAamacrine,Microglia	0.89430312	0.80794834
GABAamacrine,Mullerglia	0.87103789	0.86029037
GABAamacrine,Retinalganglioncell	0.91378792	0.90642912
GABAamacrine,Rod	0.83378018	0.83812055
Horizontal,Microglia	0.88890914	0.82998149
Horizontal,Mullerglia	0.85989150	0.86056315
Horizontal,Retinalganglioncell	0.87461429	0.86334552
Horizontal,Rod	0.84130311	0.86206207
Microglia,Mullerglia	0.94657324	0.88765404
Microglia,Retinalganglioncell	0.85190046	0.79495769
Microglia,Rod	0.91360296	0.84290601
Mullerglia,Retinalganglioncell	0.83367789	0.84500759
Mullerglia,Rod	0.86299233	0.88270671
Retinalganglioncell,Rod	0.79139346	0.82487594

top_log_correlations
Cone,Rod	pearson_raw=0.95216561	pearson_log1p=0.94468870
GABAamacrine,Retinalganglioncell	pearson_raw=0.91378792	pearson_log1p=0.90642912
GABAamacrine,Horizontal	pearson_raw=0.91977721	pearson_log1p=0.89264590
Microglia,Mullerglia	pearson_raw=0.94657324	pearson_log1p=0.88765404
Astrocyte,Mullerglia	pearson_raw=0.95657871	pearson_log1p=0.88484787
Mullerglia,Rod	pearson_raw=0.86299233	pearson_log1p=0.88270671
AIIamacrine,GABAamacrine	pearson_raw=0.94045177	pearson_log1p=0.87835283
AIIamacrine,Horizontal	pearson_raw=0.91804678	pearson_log1p=0.86670675
Horizontal,Retinalganglioncell	pearson_raw=0.87461429	pearson_log1p=0.86334552
Horizontal,Rod	pearson_raw=0.84130311	pearson_log1p=0.86206207
Horizontal,Mullerglia	pearson_raw=0.85989150	pearson_log1p=0.86056315
GABAamacrine,Mullerglia	pearson_raw=0.87103789	pearson_log1p=0.86029037
Cone,Mullerglia	pearson_raw=0.85137378	pearson_log1p=0.85884064
Cone,Horizontal	pearson_raw=0.84663865	pearson_log1p=0.85250624
Astrocyte,Microglia	pearson_raw=0.93272882	pearson_log1p=0.85106446
AIIamacrine,Mullerglia	pearson_raw=0.88503058	pearson_log1p=0.84772083
Mullerglia,Retinalganglioncell	pearson_raw=0.83367789	pearson_log1p=0.84500759
