sample	exact_phase3_membership	normalized_1000g_sample	normalized_phase3_membership	experiment	bam_accession	md5sum	dataset	filtered_bam_alias
GM18498	0	NA18498	1	ENCSR924SDV	ENCFF935PGL	e6adf601f0f4b5d143e62d3fceba89dc	/experiments/ENCSR924SDV/	encode-processing-pipeline:c2f54b83-032a-4bfb-9edb-cde8eb4c1830-encode-processing-caper_out_v01_21-atac-c2f54b83-032a-4bfb-9edb-cde8eb4c1830-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF912OKM.trim.srt.nodup.no_chrM_MT.bam
GM18499	0	NA18499	1	ENCSR700HPA	ENCFF617WPF	afe244ce86f8c504a3239d88ad687bbc	/experiments/ENCSR700HPA/	encode-processing-pipeline:39853abc-7d77-4b1e-999a-edf766274d5e-encode-processing-caper_out_v01_21-atac-39853abc-7d77-4b1e-999a-edf766274d5e-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF103STN.trim.srt.nodup.no_chrM_MT.bam
GM18502	0	NA18502	1	ENCSR241VGH	ENCFF854BZA	aa380634252dbacddda3c21ffd78f1e3	/experiments/ENCSR241VGH/	encode-processing-pipeline:67ceaab8-807a-4a55-bf92-bd3714917406-encode-processing-caper_out_v01_21-atac-b589f634-e5f1-4a22-ae8c-32468652ed17-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF305ISV.trim.srt.nodup.no_chrM_MT.bam
GM18505	0	NA18505	1	ENCSR084FHK	ENCFF204XQS	32950e9b2e0d0f218d71c5fd2a2fbd39	/experiments/ENCSR084FHK/	encode-processing-pipeline:8f1fbb84-5ba3-4217-b7fa-efc455c8feea-encode-processing-caper_out_v01_21-atac-8f1fbb84-5ba3-4217-b7fa-efc455c8feea-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF051VJF.trim.srt.nodup.no_chrM_MT.bam
GM18508	0	NA18508	1	ENCSR357WQH	ENCFF932BSQ	91a668c8d93a5be0cca6ce8aab7e6647	/experiments/ENCSR357WQH/	encode-processing-pipeline:a407b027-e0fb-44bb-9fcd-95eaaacfcf3b-encode-processing-caper_out_v01_21-atac-a407b027-e0fb-44bb-9fcd-95eaaacfcf3b-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF037CGZ.trim.srt.nodup.no_chrM_MT.bam
GM18511	0	NA18511	1	ENCSR253QLW	ENCFF686SWP	24c07b77753deaac172a5582619dfc5e	/experiments/ENCSR253QLW/	encode-processing-pipeline:8bd13fe6-2fb5-4d80-b7ff-e304d677a527-encode-processing-caper_out_v01_21-atac-8bd13fe6-2fb5-4d80-b7ff-e304d677a527-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF236FBU.trim.srt.nodup.no_chrM_MT.bam
GM18517	0	NA18517	1	ENCSR442OAV	ENCFF697VLB	e1230fa9e4aa86d97f1f75eec38d4a0e	/experiments/ENCSR442OAV/	encode-processing-pipeline:1e25ae40-d82d-461e-ba75-4e29135989a0-encode-processing-caper_out_v01_21-atac-1e25ae40-d82d-461e-ba75-4e29135989a0-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF744KJM.trim.srt.nodup.no_chrM_MT.bam
GM18519	0	NA18519	1	ENCSR312UCH	ENCFF603MOL	95519f4b652c60947be8060a030e295d	/experiments/ENCSR312UCH/	encode-processing-pipeline:3ffb9b96-709a-4a77-8e79-61e8542cde2a-encode-processing-caper_out_v01_21-atac-3ffb9b96-709a-4a77-8e79-61e8542cde2a-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF999YSU.trim.srt.nodup.no_chrM_MT.bam
GM18520	0	NA18520	1	ENCSR762YFD	ENCFF988EGP	58978b027f5c6179f0dacca0412803a3	/experiments/ENCSR762YFD/	encode-processing-pipeline:75c343a6-229e-415f-ace0-3a4ac0c026af-encode-processing-caper_out_v01_21-atac-75c343a6-229e-415f-ace0-3a4ac0c026af-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF995IXZ.trim.srt.nodup.no_chrM_MT.bam
GM18858	0	NA18858	1	ENCSR011NJP	ENCFF283UHH	58b2103ecaedd5c3b80c125cca3a5d4f	/experiments/ENCSR011NJP/	encode-processing-pipeline:343af873-7a62-4c7c-b70c-6418a06134d4-encode-processing-caper_out_v01_21-atac-343af873-7a62-4c7c-b70c-6418a06134d4-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF376ERD.trim.srt.nodup.no_chrM_MT.bam
