normalized_1000g_sample	afgr_encode_sample	bam_accession	md5sum	experiment	filtered_bam_alias
HG02571	HG02571	ENCFF030ITR	d709c0152e841bea79d68951b47df427	/experiments/ENCSR400ISH/	encode-processing-pipeline:4b155158-aed5-4a8f-a16a-0982c626c521-encode-processing-caper_out_v01_21-atac-4b155158-aed5-4a8f-a16a-0982c626c521-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF345HTJ.trim.srt.nodup.no_chrM_MT.bam
HG02588	HG02588	ENCFF025ITU	e592b054de8903cce5e2fb25f88b1c9e	/experiments/ENCSR189VFC/	encode-processing-pipeline:e5d6fdfe-c17e-4f6d-b525-f142dce7cd63-encode-processing-caper_out_v01_21-atac-e5d6fdfe-c17e-4f6d-b525-f142dce7cd63-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF268KUB.trim.srt.nodup.no_chrM_MT.bam
HG02610	HG02610	ENCFF230HVR	7eed78f47dea039f1532eb0605286b18	/experiments/ENCSR905PWV/	encode-processing-pipeline:6ca4e1a6-e9ff-44c9-9254-98e163069473-encode-processing-caper_out_v01_21-atac-6ca4e1a6-e9ff-44c9-9254-98e163069473-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF482QKQ.trim.srt.nodup.no_chrM_MT.bam
HG02623	HG02623	ENCFF495DQP	2fa733308a2dac4cbfc09dba79c332ea	/experiments/ENCSR821JHD/	encode-processing-pipeline:17518704-1fda-4ccd-9cf1-43a1ddcb25ff-encode-processing-caper_out_v01_21-atac-17518704-1fda-4ccd-9cf1-43a1ddcb25ff-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF690IKL.trim.srt.nodup.no_chrM_MT.bam
HG02642	HG02642	ENCFF705PBQ	4d4e6827add661e394804f575041cd34	/experiments/ENCSR821QHC/	encode-processing-pipeline:cfac1f3a-55d6-4375-a447-248ab76eeb2d-encode-processing-caper_out_v01_21-atac-cfac1f3a-55d6-4375-a447-248ab76eeb2d-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF646DYR.trim.srt.nodup.no_chrM_MT.bam
HG02678	HG02678	ENCFF447ZRG	5cfd6787d8e02211b9cfcf0cdbb3d5a5	/experiments/ENCSR180HEL/	encode-processing-pipeline:fed072e7-9488-4c8e-89d0-a6520c563911-encode-processing-caper_out_v01_21-atac-fed072e7-9488-4c8e-89d0-a6520c563911-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF740MGQ.trim.srt.nodup.no_chrM_MT.bam
HG02759	HG02759	ENCFF687QML	73e60d0446bdb995b38cf37274c7e7e7	/experiments/ENCSR144ZXR/	encode-processing-pipeline:ab0aa1ee-cb60-4dc1-9c4e-f9b14b137030-encode-processing-caper_out_v01_21-atac-ab0aa1ee-cb60-4dc1-9c4e-f9b14b137030-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF003XMY.trim.srt.nodup.no_chrM_MT.bam
HG02763	HG02763	ENCFF321SNO	9fa70b420130ca0150ec6e5d5d27b22e	/experiments/ENCSR404OEO/	encode-processing-pipeline:86d591f1-bd3e-4062-8b65-aa23bd094f09-encode-processing-caper_out_atac-atac-86d591f1-bd3e-4062-8b65-aa23bd094f09-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF711UJA.trim.srt.nodup.no_chrM_MT.bam
HG02798	HG02798	ENCFF960AXI	3c01ff80f2e0f57aa299fa95b4009119	/experiments/ENCSR524CPZ/	encode-processing-pipeline:217fbdea-6426-47d6-a93e-368d72e75b21-encode-processing-caper_out_v01_21-atac-217fbdea-6426-47d6-a93e-368d72e75b21-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF724XKP.trim.srt.nodup.no_chrM_MT.bam
HG02840	HG02840	ENCFF720BLR	9f3be2a35c75c9b7b0f73290883b1591	/experiments/ENCSR854ZBA/	encode-processing-pipeline:fbe78d3f-b33a-4288-a455-f7531fd2b955-encode-processing-caper_out_v01_21-atac-fbe78d3f-b33a-4288-a455-f7531fd2b955-call-filter-shard-0-glob-3bcbe4e7489c90f75e0523ac6f3a9385-ENCFF726MBY.trim.srt.nodup.no_chrM_MT.bam
